case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex240,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.aig,1,1,590,51,30090,13299,2.262576,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.aig,
ex241,ex241_semantic_mul_product_nested_exp_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_product_nested_exp_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex241/verilog/ex241_semantic_mul_product_nested_exp_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig.aig,1,1,536,29,15544,7224,2.151717,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig.aig,
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig,fp8_e4m3fn_div_low_over_high,semantic_div_field_sparse_clean_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex242/verilog/ex242_semantic_div_field_sparse_clean_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig.aig,1,1,1266,20,25320,11900,2.127731,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig.aig,
ex243,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_modsig_nested_delta_abc_g_aig,student/seeds/float_fp8/ex240_ex254_current/ex243/verilog/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.aig,1,1,1790,27,48330,53227,0.907998,1,1,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex243/verilog/ex243_semantic_fmod_modsig_nested_delta.v,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.aig,
ex244,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.aig,1,1,301,34,10234,4272,2.395599,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.aig,
ex245,ex245_semantic_add_gap_class_synth_preset_aig,fp8_e5m2fn_add,semantic_add_gap_class_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex245/verilog/ex245_semantic_add_gap_class_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig.aig,1,1,701,34,23834,11050,2.156923,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig.aig,; curated_source_csv=student/runs/float_fp8/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/results/candidates.csv
ex246,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig,1,1,341,22,7502,2805,2.674510,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig,
ex247,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_bound_smallpat_nested_den_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex247/verilog/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.aig,1,1,365,25,9125,2975,3.067227,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055/ex247/verilog/ex247_semantic_div_bound_smallpat_nested_den.v,student/work/ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.aig,
ex248,ex248_semantic_fmod_periodic_rem_abc_g_aig,fp8_e5m2fn_fmod_low_by_high,semantic_fmod_periodic_rem_abc_g_aig,student/seeds/float_fp8/ex240_ex254_current/ex248/verilog/ex248_semantic_fmod_periodic_rem_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex248/aigs/ex248_semantic_fmod_periodic_rem_abc_g_aig.aig,1,1,285,30,8550,4180,2.045455,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex248_frontend_fp8_e5m2_fmod_periodic_20260608_1646/ex248/verilog/ex248_semantic_fmod_periodic_rem.v,student/work/ex248_frontend_fp8_e5m2_fmod_periodic_20260608_1646/ex248/aigs/ex248_semantic_fmod_periodic_rem_abc_g_aig.aig,; curated_source_csv=student/runs/float_fp8/ex248_frontend_fp8_e5m2_fmod_periodic_20260608_1646/results/candidates.csv
ex249,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,fp8_e5m2fn_hypot_abs,semantic_hypot_threshold_rawexp_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_current/ex249/verilog/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig,1,1,168,26,4368,2079,2.101010,0,0,semantic_exact,,current_best_by_case,current_best,student/results/current_best_by_case.csv,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig,; curated_source_csv=student/runs/float_fp8/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/results/candidates.csv
