case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex200,bf16,ex200_bf16_exp_semantic_exp_active_mant_cases,1,3695,18,66510,40052,54405,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/verilog/ex200_bf16_exp_semantic_exp_active_mant_cases.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/aigs/ex200_bf16_exp_semantic_exp_active_mant_cases.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/official_eval/ex200_bf16_exp_semantic_exp_active_mant_cases/evaluate.py.log,ex200|bf16_exp_daz_rne_ftz|semantic_exp_active_mant_cases|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic active-exponent full mantissa cases=3840; exact over 65536 inputs; official evaluate.py OK
ex200,bf16,ex200_bf16_exp_semantic_exp_delta_add,1,3736,45,168120,40052,54405,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/verilog/ex200_bf16_exp_semantic_exp_delta_add.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/aigs/ex200_bf16_exp_semantic_exp_delta_add.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex200/official_eval/ex200_bf16_exp_semantic_exp_delta_add/evaluate.py.log,ex200|bf16_exp_daz_rne_ftz|semantic_exp_delta_add|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic base plus delta table items=3863; exact over 65536 inputs; official evaluate.py OK
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,1,1545,17,26265,15180,25670,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/ex204/aigs/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/official_eval/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14/evaluate.py.log,ex204|bf16_log2|log2_arithbase_delta_hilo3_formula_bits_11_14|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides= bit_items=0; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14,1,1552,19,29488,15180,25670,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/ex204/aigs/ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex204/official_eval/ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14/evaluate.py.log,ex204|bf16_log2|log2_arithbase_delta_hilo4_formulaeq_bits_11_14|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,log2 arithmetic base delta_mode=hilo4 items=7177 bit_overrides= bit_items=0; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK
ex205,bf16,ex205_bf16_log10_log10_exp_base_delta_hilo3,1,4549,23,104627,47128,71104,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/ex205/verilog/ex205_bf16_log10_log10_exp_base_delta_hilo3.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/ex205/aigs/ex205_bf16_log10_log10_exp_base_delta_hilo3.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/official_eval/ex205_bf16_log10_log10_exp_base_delta_hilo3/evaluate.py.log,ex205|bf16_log10|log10_exp_base_delta_hilo3|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,log10 positive exponent base xor mantissa delta_mode=hilo3 items=7880; official evaluate.py OK
ex205,bf16,ex205_bf16_log10_log10_exp_runs_mant_sep_m4,1,4886,18,87948,47128,71104,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/ex205/verilog/ex205_bf16_log10_log10_exp_runs_mant_sep_m4.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/ex205/aigs/ex205_bf16_log10_log10_exp_runs_mant_sep_m4.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex205/official_eval/ex205_bf16_log10_log10_exp_runs_mant_sep_m4/evaluate.py.log,ex205|bf16_log10|log10_exp_runs_mant_sep_m4|shared_fp_field_decode_and_selected_residual|unknown_flow|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,log10 positive exp range runs plus mant sep mhi=4 exp_items=194 items=7582; official evaluate.py OK
ex223,fp16,ex223_log_nested_low13_hi5_abc_g_aig,1,10754,19,204326,120549,203756,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/verilog/ex223_log_nested_low13_hi5.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/aigs/ex223_log_nested_low13_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/official_eval/ex223_log_nested_low13_hi5_abc_g_aig/evaluate.py.log,ex223|fp16_log|log_nested_low13_hi5|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK"
ex223,fp16,ex223_log_nested_low14_hi4_abc_g_aig,1,10621,20,212420,120549,203756,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/verilog/ex223_log_nested_low14_hi4.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/aigs/ex223_log_nested_low14_hi4_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex223/official_eval/ex223_log_nested_low14_hi4_abc_g_aig/evaluate.py.log,ex223|fp16_log|log_nested_low14_hi4|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; official evaluate.py OK"
ex224,fp16,ex224_log_nested_low13_hi5_abc_g_aig,1,5779,18,104022,64708,96224,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/verilog/ex224_log_nested_low13_hi5.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/aigs/ex224_log_nested_low13_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/official_eval/ex224_log_nested_low13_hi5_abc_g_aig/evaluate.py.log,ex224|fp16_log2|log_nested_low13_hi5|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; official evaluate.py OK"
ex224,fp16,ex224_log_nested_low14_hi4_abc_g_aig,1,5913,18,106434,64708,96224,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/verilog/ex224_log_nested_low14_hi4.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/aigs/ex224_log_nested_low14_hi4_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex224/official_eval/ex224_log_nested_low14_hi4_abc_g_aig/evaluate.py.log,ex224|fp16_log2|log_nested_low14_hi4|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; official evaluate.py OK"
ex225,fp16,ex225_log_nested_low13_hi5_abc_g_aig,1,11535,19,219165,116676,218728,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/verilog/ex225_log_nested_low13_hi5.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/aigs/ex225_log_nested_low13_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/official_eval/ex225_log_nested_low13_hi5_abc_g_aig/evaluate.py.log,ex225|fp16_log10|log_nested_low13_hi5|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK"
ex225,fp16,ex225_log_nested_low14_hi4_abc_g_aig,1,11265,20,225300,116676,218728,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/verilog/ex225_log_nested_low14_hi4.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/aigs/ex225_log_nested_low14_hi4_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex225/official_eval/ex225_log_nested_low14_hi4_abc_g_aig/evaluate.py.log,ex225|fp16_log10|log_nested_low14_hi4|shared_special_sign_exp_decode_and_mantissa_groups|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; official evaluate.py OK"
ex244,float_fp8,ex244_round10_delta_maxeff_bdd_smallinc_abc_g_aig,1,361,36,12996,4272,10234,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/verilog/ex244_round10_delta_maxeff_bdd_smallinc.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/aigs/ex244_round10_delta_maxeff_bdd_smallinc_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_delta_maxeff_bdd_smallinc_abc_g_aig.official_evaluate.log,"ex244|E4M3FN packed hypot max-plus-delta can reduce delay by output grouping tiny increments|max-eff/gap/sig shared BDD delta with explicit constant-increment output bits|shared max/min exponent/significand decode, max-eff delta BDD roots, manual saturation|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|tiny_delta_increment_outputs",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_delta_maxeff_bdd_smallinc_abc_g_aig.yosys.log; runtime_sec=0.826
ex244,float_fp8,ex244_round10_delta_maxeff_bdd_smallinc_synth_preset_aig,1,381,38,14478,4272,10234,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/verilog/ex244_round10_delta_maxeff_bdd_smallinc.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/aigs/ex244_round10_delta_maxeff_bdd_smallinc_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_delta_maxeff_bdd_smallinc_synth_preset_aig.official_evaluate.log,"ex244|E4M3FN packed hypot max-plus-delta can reduce delay by output grouping tiny increments|max-eff/gap/sig shared BDD delta with explicit constant-increment output bits|shared max/min exponent/significand decode, max-eff delta BDD roots, manual saturation|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|tiny_delta_increment_outputs",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_delta_maxeff_bdd_smallinc_synth_preset_aig.yosys.log; runtime_sec=0.985
ex244,float_fp8,ex244_round10_threshold_pack_smallinc_synth_preset_aig,1,410,42,17220,4272,10234,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/verilog/ex244_round10_threshold_pack_smallinc.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/aigs/ex244_round10_threshold_pack_smallinc_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_threshold_pack_smallinc_synth_preset_aig.official_evaluate.log,ex244|E4M3FN packed hypot threshold pack may trade BDD nodes for shallower grouped output|max-eff threshold pack plus explicit constant-increment output bits|shared max/min decode and packed min-sig thresholds per max-eff/gap/max-sig|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_count_increment_outputs,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex244/logs/ex244_round10_threshold_pack_smallinc_synth_preset_aig.yosys.log; runtime_sec=1.135
ex246,float_fp8,ex246_round10_product_bound_region_grouped_abc_g_aig,1,334,32,10688,2805,7502,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/verilog/ex246_round10_product_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/aigs/ex246_round10_product_bound_region_grouped_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/logs/ex246_round10_product_bound_region_grouped_abc_g_aig.official_evaluate.log,ex246|E5M2FN packed multiply can expose boundary regions as shared output-bit masks|product bound/smallpat attributes with grouped zero/low/linear/saturation outputs|shared sign xor exponent-sum significand-product decode and region predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|region_masked_output_bits,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/logs/ex246_round10_product_bound_region_grouped_abc_g_aig.yosys.log; runtime_sec=0.738
ex246,float_fp8,ex246_round10_product_bound_region_grouped_synth_preset_aig,1,328,32,10496,2805,7502,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/verilog/ex246_round10_product_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/aigs/ex246_round10_product_bound_region_grouped_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/logs/ex246_round10_product_bound_region_grouped_synth_preset_aig.official_evaluate.log,ex246|E5M2FN packed multiply can expose boundary regions as shared output-bit masks|product bound/smallpat attributes with grouped zero/low/linear/saturation outputs|shared sign xor exponent-sum significand-product decode and region predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|region_masked_output_bits,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex246/logs/ex246_round10_product_bound_region_grouped_synth_preset_aig.yosys.log; runtime_sec=0.834
ex247,float_fp8,ex247_round10_flat_bound_region_grouped_abc_g_aig,1,398,25,9950,2975,8349,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/verilog/ex247_round10_flat_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/aigs/ex247_round10_flat_bound_region_grouped_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_flat_bound_region_grouped_abc_g_aig.official_evaluate.log,"ex247|E5M2FN packed division can trade denominator nesting for flat shared boundary masks|flat sigpair bound/smallpat attributes with grouped zero/low/linear/saturation outputs|shared sign exponent-delta significand decode, divide boundary predicates, and region output masks|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|region_masked_output_bits",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_flat_bound_region_grouped_abc_g_aig.yosys.log; runtime_sec=0.741
ex247,float_fp8,ex247_round10_flat_bound_region_grouped_synth_preset_aig,1,387,25,9675,2975,8349,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/verilog/ex247_round10_flat_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/aigs/ex247_round10_flat_bound_region_grouped_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_flat_bound_region_grouped_synth_preset_aig.official_evaluate.log,"ex247|E5M2FN packed division can trade denominator nesting for flat shared boundary masks|flat sigpair bound/smallpat attributes with grouped zero/low/linear/saturation outputs|shared sign exponent-delta significand decode, divide boundary predicates, and region output masks|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|region_masked_output_bits",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_flat_bound_region_grouped_synth_preset_aig.yosys.log; runtime_sec=0.866
ex247,float_fp8,ex247_round10_nested_bound_region_grouped_abc_g_aig,1,364,23,8372,2975,8349,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/verilog/ex247_round10_nested_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/aigs/ex247_round10_nested_bound_region_grouped_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_nested_bound_region_grouped_abc_g_aig.official_evaluate.log,"ex247|E5M2FN packed division round8 boundary plan can be changed by output-bit region grouping|denominator-nested bound/smallpat attributes with grouped output-bit region mux|shared denominator/numerator decode, exponent-delta boundary predicates, and region output masks|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|region_masked_output_bits",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_nested_bound_region_grouped_abc_g_aig.yosys.log; runtime_sec=0.744
ex247,float_fp8,ex247_round10_nested_bound_region_grouped_synth_preset_aig,1,358,25,8950,2975,8349,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/verilog/ex247_round10_nested_bound_region_grouped.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/aigs/ex247_round10_nested_bound_region_grouped_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_nested_bound_region_grouped_synth_preset_aig.official_evaluate.log,"ex247|E5M2FN packed division round8 boundary plan can be changed by output-bit region grouping|denominator-nested bound/smallpat attributes with grouped output-bit region mux|shared denominator/numerator decode, exponent-delta boundary predicates, and region output masks|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|region_masked_output_bits",fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/fp8-r10/ex247/logs/ex247_round10_nested_bound_region_grouped_synth_preset_aig.yosys.log; runtime_sec=0.864
ex260,integer,ex260_smul_signcorr_core_wallace_abc_g_aig,1,89,19,1691,657,1144,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/verilog/ex260_smul_signcorr_core_wallace.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/aigs/ex260_smul_signcorr_core_wallace_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/official_eval/ex260_smul_signcorr_core_wallace_abc_g_aig/evaluate.py.log,ex260|signed low4_high4:a*b|signcorr_core_wallace+abc_g_aig|shared_partial_products_and_final_carry|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=abc_g_aig; official evaluate.py OK
ex260,integer,ex260_smul_signed_correction_csa_cla_abc_g_aig,1,123,24,2952,657,1144,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/verilog/ex260_smul_signed_correction_csa_cla.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/aigs/ex260_smul_signed_correction_csa_cla_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/mixed-r10/ex260/official_eval/ex260_smul_signed_correction_csa_cla_abc_g_aig/evaluate.py.log,ex260|signed low4_high4:a*b|signed_correction_csa_cla+abc_g_aig|shared_partial_products_and_final_carry|abc_g_aig|abc_xf_official_evaluate|grouped_multi_output,,ex200_ex299_frontend_refgap_round10_20260612_1911,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_csa_cla; flow=abc_g_aig; official evaluate.py OK
ex281,unknown,ex281_r10_kept_gf2_monomial_bank_abc_g_aig,1,189,29,5481,2336,3328,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/verilog/ex281_r10_kept_gf2_monomial_bank.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/aigs/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/logs/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.evaluate.log,ex281|quartic_gf2_event_filter|small_roots_kept_monomial_bank|kept_shared_root_product_and_linear_form_bank|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|grouped_output_xor_from_preserved_monomial_bank,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; equivalent non-winning candidate
ex282,unknown,ex282_r10_kept_gf2_monomial_bank_abc_g_aig,1,156,32,4992,2704,4032,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex282/verilog/ex282_r10_kept_gf2_monomial_bank.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex282/aigs/ex282_r10_kept_gf2_monomial_bank_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex282/logs/ex282_r10_kept_gf2_monomial_bank_abc_g_aig.evaluate.log,ex282|quartic_gf2_event_filter|mixed_roots_kept_monomial_bank|kept_shared_root_product_and_linear_form_bank|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|grouped_output_xor_from_preserved_monomial_bank,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; equivalent non-winning candidate
ex283,unknown,ex283_r10_kept_gf2_monomial_bank_abc_g_aig,1,174,30,5220,3168,4500,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex283/verilog/ex283_r10_kept_gf2_monomial_bank.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex283/aigs/ex283_r10_kept_gf2_monomial_bank_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex283/logs/ex283_r10_kept_gf2_monomial_bank_abc_g_aig.evaluate.log,ex283|quartic_gf2_event_filter|wide_roots_kept_monomial_bank|kept_shared_root_product_and_linear_form_bank|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|grouped_output_xor_from_preserved_monomial_bank,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; equivalent non-winning candidate
ex285,unknown,ex285_r10_lane_component_bdd_abc_g_aig,1,1621,20,32420,5499,13175,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-top-r10/ex285/verilog/ex285_r10_lane_component_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-top-r10/ex285/aigs/ex285_r10_lane_component_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-top-r10/ex285/logs/ex285_r10_lane_component_bdd_abc_g_aig.evaluate.py.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|lane_component_shared_bdd|mod4_lane_order_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|lane_grouped_output_roots,,ex200_ex299_frontend_refgap_round10_20260612_1911,evaluate.py returncode 0
