case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex223,ex223_log_nested_low9_hi5_abc_g_aig,fp16_log,log_nested_low9_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/verilog/ex223_log_nested_low9_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/aigs/ex223_log_nested_low9_hi5_abc_g_aig.aig,1,1,1,10846,19,206074,120549,1.709463,0,0,12.304,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16"
ex223,ex223_log_nested_low9_hi6_abc_g_aig,fp16_log,log_nested_low9_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/verilog/ex223_log_nested_low9_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/aigs/ex223_log_nested_low9_hi6_abc_g_aig.aig,1,1,1,11577,19,219963,120549,1.824677,0,0,13.131,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16"
ex223,ex223_log_nested_low9_hi7_abc_g_aig,fp16_log,log_nested_low9_hi7,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/verilog/ex223_log_nested_low9_hi7.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/aigs/ex223_log_nested_low9_hi7_abc_g_aig.aig,1,1,1,13107,19,249033,120549,2.065824,0,0,16.315,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16"
ex223,ex223_log_nested_low8_hi4_abc_g_aig,fp16_log,log_nested_low8_hi4,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/verilog/ex223_log_nested_low8_hi4.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/aigs/ex223_log_nested_low8_hi4_abc_g_aig.aig,1,1,1,10872,20,217440,120549,1.803748,0,0,12.327,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16; b8:runs=125,max=34,const=9",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16; b8:runs=125,max=34,const=9"
ex223,ex223_log_nested_low8_hi7_abc_g_aig,fp16_log,log_nested_low8_hi7,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/verilog/ex223_log_nested_low8_hi7.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex223/aigs/ex223_log_nested_low8_hi7_abc_g_aig.aig,1,1,1,13147,19,249793,120549,2.072128,0,0,16.844,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16; b8:runs=125,max=34,const=9",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16; b8:runs=125,max=34,const=9"
ex224,ex224_log_nested_low9_hi5_abc_g_aig,fp16_log2,log_nested_low9_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/verilog/ex224_log_nested_low9_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/aigs/ex224_log_nested_low9_hi5_abc_g_aig.aig,1,1,1,5870,18,105660,64708,1.632874,0,0,8.655,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15"
ex224,ex224_log_nested_low9_hi6_abc_g_aig,fp16_log2,log_nested_low9_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/verilog/ex224_log_nested_low9_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/aigs/ex224_log_nested_low9_hi6_abc_g_aig.aig,1,1,1,6021,17,102357,64708,1.581829,0,0,9.703,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15"
ex224,ex224_log_nested_low9_hi7_abc_g_aig,fp16_log2,log_nested_low9_hi7,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/verilog/ex224_log_nested_low9_hi7.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/aigs/ex224_log_nested_low9_hi7_abc_g_aig.aig,1,1,1,7294,17,123998,64708,1.916270,0,0,13.594,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=7; nested_lo=3; low_items=28956; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=7; nested_lo=3; low_items=28956; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15"
ex224,ex224_log_nested_low8_hi4_abc_g_aig,fp16_log2,log_nested_low8_hi4,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/verilog/ex224_log_nested_low8_hi4.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/aigs/ex224_log_nested_low8_hi4_abc_g_aig.aig,1,1,1,6033,18,108594,64708,1.678216,0,0,8.997,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15; b8:runs=126,max=36,const=7",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15; b8:runs=126,max=36,const=7"
ex224,ex224_log_nested_low8_hi7_abc_g_aig,fp16_log2,log_nested_low8_hi7,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/verilog/ex224_log_nested_low8_hi7.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup_20260607_2110/ex224/aigs/ex224_log_nested_low8_hi7_abc_g_aig.aig,1,1,1,7444,18,133992,64708,2.070718,0,0,12.869,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=7; nested_lo=3; low_items=28956; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15; b8:runs=126,max=36,const=7",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=7; nested_lo=3; low_items=28956; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15; b8:runs=126,max=36,const=7"
