round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp16-int-source-r93,ex223,fp16,fp16_log_current_source_multi_bit_root_checkpoint,multi_bit_positive_normal_root_screen_over_current_truthroot,current_r86_bit11_source_has_no_compact_additional_root,ex223|fp16_log_current_source_multi_bit_root_checkpoint|multi_bit_positive_normal_root_screen_over_current_truthroot|current_r86_bit11_source_has_no_compact_additional_root|not_run|DAZ_log_FP16_RNE_FTZ|no_candidate,BLOCKED_TABLE_SIZED,Current source already includes the r86 single bit11 truthroot. Prior r87 multi-bit root bank over bits12/11/10 was official evaluate.py OK but nonwinning at ADP 204440. r88 evidence shows 9716 positive-normal distinct words and 8532 low12 mode exceptions. Any r93 overlay beyond bit11 would either replay that nonwinning multi-bit root family or materialize a dense residual table.,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex223/diagnostics/ex223_r88_blocker_evidence.md,No r93 Verilog/AIG/log emitted; candidates.csv and evaluation_results.csv intentionally contain no planned row.,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp16-int-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp16-int-source-r93,ex225,fp16,fp16_log10_current_source_shallow_normalizer_checkpoint,exponent_base_residual_compactness_screen_over_r79_boundary,current_r79_highrun_boundary_has_dense_low12_residual,ex225|fp16_log10_current_source_shallow_normalizer_checkpoint|exponent_base_residual_compactness_screen_over_r79_boundary|current_r79_highrun_boundary_has_dense_low12_residual|not_run|DAZ_log10_FP16_RNE_FTZ|no_candidate,BLOCKED_TABLE_SIZED,Current source is the r79 high-run boundary seed. Prior shallow normalizer and residual families were exact but too deep or dense; r88 evidence shows 9769 positive-normal distinct words and 8653 low12 mode exceptions. A r93 selected overlay would be non-distinct from the r79/r90 boundary replay or would require a dense nested residual table.,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp16-source-r79/ex225/verilog/ex225_r79_split_hi3_keep_highrun.v,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex225/diagnostics/ex225_r88_blocker_evidence.md,No r93 Verilog/AIG/log emitted; candidates.csv and evaluation_results.csv intentionally contain no planned row.,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp16-int-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp16-int-source-r93,ex260,integer,signed_low4_high4_current_source_selected_correction_checkpoint,selected_correction_or_shared_compressor_factoring_over_r78_keep_common,current_r78_common_wire_boundary_already_exposes_small_signed_correction_terms,ex260|signed_low4_high4_current_source_selected_correction_checkpoint|selected_correction_or_shared_compressor_factoring_over_r78_keep_common|current_r78_common_wire_boundary_already_exposes_small_signed_correction_terms|not_run|signed_low4_high4_multiply|no_candidate,BLOCKED_NON_DISTINCT,Required starting source is r78 keep_common. The source already factors sign bits partial products correction rows and final hCLA boundary wires. Recent r90 replay tied the current frontend shape and r92 bitweight/pairrow official evaluate.py row was nonwinning at ADP 1785. A small selected correction overlay would be either non-distinct from r78/r90 common-wire factoring or a replay of the prohibited r92 bitweight family.,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex260/verilog/ex260_r78_keep_common.v,student/runs/integer/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex260/official_eval/ex260_r92_bitweight_pairrows_abc_g_aig/ex260_r92_bitweight_pairrows_abc_g_aig.evaluate.py.log,No r93 Verilog/AIG/log emitted; candidates.csv and evaluation_results.csv intentionally contain no planned row.,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp16-int-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp16-int-source-r93,ex266,integer,unsigned_low5_high5_current_source_selector_factoring_checkpoint,shared_quotient_selector_or_trial_subtract_factoring_over_current_wordmux,current_bhi2_a4_wordmux_has_no_compact_distinct_selector_refactor,ex266|unsigned_low5_high5_current_source_selector_factoring_checkpoint|shared_quotient_selector_or_trial_subtract_factoring_over_current_wordmux|current_bhi2_a4_wordmux_has_no_compact_distinct_selector_refactor|not_run|unsigned_low5_high5_divide_dbz_sat|no_candidate,BLOCKED_NON_DISTINCT,Current source is the bhi2+a4 local bit-BDD wordmux. Prior selector screens found alternate x9/x8/x4/x3 style selectors trade fewer exceptions for larger distinct-word groups. r90 direct wordmux replays were nonwinning and r92 top2 residual low3 official evaluate.py row was nonwinning at ADP 3100 and is explicitly out of scope. No compact shared quotient or trial-subtract selector factoring was identified that is distinct from current wordmux and not r92 low3 residual replay.,student/work/ex266_frontend_udiv_best_wordmux_flow_20260609_1204/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/runs/integer/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex266/official_eval/ex266_r92_top2_residual_low3_abc_g_aig/ex266_r92_top2_residual_low3_abc_g_aig.evaluate.py.log,No r93 Verilog/AIG/log emitted; candidates.csv and evaluation_results.csv intentionally contain no planned row.,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp16-int-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-arith-source-r93,ex240,float_fp8,E4M3FN packed add high byte plus low byte,selected residual overlay around r64 sign/magnitude source,shared sorted field decode same-sign GRS and diff cancellation predicates,ex240|E4M3FN packed add high byte plus low byte|compact selected residual overlay screen over current r64 source|shared same-sign GRS diff normalizer and sign magnitude selected output|repo_yosys_frontend_default|official_evaluate|selected_residual_overlay,BLOCKED_TABLE_SIZED_RESIDUAL,screen inherited from r92 cancellation residual rows=7652 and exact selected overlay would be table-sized or duplicate r89 r90 r91 output-tail variants,,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_summaries/sub-fp8-arith-source-r93.md,no official r93 candidate emitted; candidates and evaluation CSVs intentionally empty,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-arith-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-arith-source-r93,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,product and magnitude predecode rewrite around current nested product source,shared sign xor exponent sum product and rounded magnitude predicates,ex241|E4M3FN packed multiply high byte times low byte|product magnitude predecode rewrite screen around current best source|shared sign xor exp_sum product and rounded magnitude predicates|repo_yosys_frontend_default|official_evaluate|product_magnitude_predecode,BLOCKED_NON_DISTINCT,compact product rewrite would replay r92 product affine decision 710/34/24140 nonwinning while full product or nested tables are out of scope,,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_summaries/sub-fp8-arith-source-r93.md,no official r93 candidate emitted; candidates and evaluation CSVs intentionally empty,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-arith-source-r93/failed_hypotheses.csv
93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-arith-source-r93,ex245,float_fp8,E5M2FN packed add high byte plus low byte,selected residual overlay around current active table mux source,shared sorted E5M2 decode same diff active region and saturation predicates,ex245|E5M2FN packed add high byte plus low byte|compact active residual overlay screen over current best source|shared sorted decode gap same diff active residual predicates|repo_yosys_frontend_default|official_evaluate|active_residual_overlay,BLOCKED_NON_DISTINCT_TABLE_SIZED,compact overlay would duplicate r89 active branch or r92 unified active decision 665/36/23940 while broader residuals are table-sized,,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_summaries/sub-fp8-arith-source-r93.md,no official r93 candidate emitted; candidates and evaluation CSVs intentionally empty,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-arith-source-r93/failed_hypotheses.csv
round93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-top-source-r93,ex247,float_fp8,current-best source rewrite with selected low-underflow overlay,denominator-nested bound-smallpat source,shared denominator numerator special predecode and low-pattern predicates,ex247|current_best_source_rewrite|denominator_nested_bound_smallpat_overlay|shared_den_num_special_lowpat_predecode|not_emitted|exact_e5m2fn_div_low_over_high|selected_low_underflow_cluster,BLOCKED_NOT_EMITTED,Distinct compact overlay was not feasible before checkpoint because non-cone source overlays repeat r75 shell_low2 or r77 copy control while a fresh low-underflow replacement expands to the documented qclass smallpat table shape,not_emitted,not_run,No official evaluate.py row claimed,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-top-source-r93/failed_hypotheses.csv
round93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-top-source-r93,ex246,float_fp8,current-best product source rewrite with selected exp mant overlay,seed12 product magnitude table,shared sign exponent sum significand product and product boundary predicates,ex246|current_best_source_rewrite|seed12_product_exp_mant_overlay|shared_sign_expsum_sigprod_boundary_predecode|not_emitted|exact_e5m2fn_mul_high_times_low|selected_exp_mant_cluster,BLOCKED_NOT_EMITTED,Distinct compact overlay was not feasible before checkpoint because current source already centralizes product_mag and selected exp mant rewrites repeat r75 shell_mant2 or r92 product nodebus while a new boundary residual is table-sized,not_emitted,not_run,No official evaluate.py row claimed,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-top-source-r93/failed_hypotheses.csv
round93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-top-source-r93,ex244,float_fp8,current-best maxeff delta source rewrite with selected delta overlay,max-eff gap sig delta BDD source,shared max min effective exponent gap and delta predicates,ex244|current_best_source_rewrite|maxeff_delta_selected_overlay|shared_max_min_gap_delta_predecode|not_emitted|exact_e4m3fn_hypot_abs_high_low|selected_delta_cluster,BLOCKED_NOT_EMITTED,Distinct compact overlay was not feasible before checkpoint because selected delta grafts repeat r75 delta_high5 and replacing the BDD with explicit formulas becomes table-sized over max_eff gap max_sig and min_sig,not_emitted,not_run,No official evaluate.py row claimed,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-top-source-r93/failed_hypotheses.csv
round93,frontend_current_source_rewrite_round93_20260614_0119,sub-fp8-top-source-r93,ex249,float_fp8,current-best rawexp threshold rewrite with selected delta saturation overlay,raw-exponent gap0 gap1 threshold source,shared ordered magnitude rawexp active-gap delta and saturation predicates,ex249|current_best_source_rewrite|rawexp_delta_sat_overlay|shared_ordered_mag_activegap_saturation_predecode|not_emitted|exact_e5m2fn_hypot_abs_high_low|selected_delta_saturation_cluster,BLOCKED_NOT_EMITTED,Distinct compact overlay was not feasible before checkpoint because raw-exp output grouping and source-tail overlays are already documented nonwinning and new delta saturation predicates collapse to the same threshold table or r92 topconvert nodebus shape,not_emitted,not_run,No official evaluate.py row claimed,student/frontend_campaigns/campaigns/frontend_current_source_rewrite_round93_20260614_0119/agent_shards/sub-fp8-top-source-r93/failed_hypotheses.csv
