case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex202,ex202_bf16_exp10_default_se07d_m00,bf16_exp10,default_choice_se07d_m00,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m00.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m00.aig,1,1,1,3702,16,59232,3.114,current best shape with sign_exp 07d default changed from 4001 to mant 00 word 3fe4
ex202,ex202_bf16_exp10_default_se07d_m01,bf16_exp10,default_choice_se07d_m01,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m01.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m01.aig,1,1,1,3702,16,59232,3.101,current best shape with sign_exp 07d default changed from 4001 to mant 01 word 3fe5
ex202,ex202_bf16_exp10_default_se07d_m02,bf16_exp10,default_choice_se07d_m02,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m02.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m02.aig,1,1,1,3702,16,59232,3.040,current best shape with sign_exp 07d default changed from 4001 to mant 02 word 3fe6
ex202,ex202_bf16_exp10_default_se07d_m04,bf16_exp10,default_choice_se07d_m04,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m04.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m04.aig,1,1,1,3702,16,59232,3.188,current best shape with sign_exp 07d default changed from 4001 to mant 04 word 3fe8
ex202,ex202_bf16_exp10_default_se07d_m08,bf16_exp10,default_choice_se07d_m08,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m08.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m08.aig,1,1,1,3702,16,59232,3.115,current best shape with sign_exp 07d default changed from 4001 to mant 08 word 3fec
ex202,ex202_bf16_exp10_default_se07d_m10,bf16_exp10,default_choice_se07d_m10,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m10.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m10.aig,1,1,1,3702,16,59232,3.110,current best shape with sign_exp 07d default changed from 4001 to mant 10 word 3ff5
ex202,ex202_bf16_exp10_default_se07d_m20,bf16_exp10,default_choice_se07d_m20,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m20.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m20.aig,1,1,1,3702,16,59232,3.117,current best shape with sign_exp 07d default changed from 4001 to mant 20 word 4003
ex202,ex202_bf16_exp10_default_se07d_m30,bf16_exp10,default_choice_se07d_m30,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m30.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m30.aig,1,1,1,3702,16,59232,3.140,current best shape with sign_exp 07d default changed from 4001 to mant 30 word 400d
ex202,ex202_bf16_exp10_default_se07d_m40,bf16_exp10,default_choice_se07d_m40,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m40.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m40.aig,1,1,1,3702,16,59232,3.127,current best shape with sign_exp 07d default changed from 4001 to mant 40 word 4018
ex202,ex202_bf16_exp10_default_se07d_m50,bf16_exp10,default_choice_se07d_m50,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m50.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m50.aig,1,1,1,3702,16,59232,3.134,current best shape with sign_exp 07d default changed from 4001 to mant 50 word 4023
ex202,ex202_bf16_exp10_default_se07d_m60,bf16_exp10,default_choice_se07d_m60,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_default_se07d_m60.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_default_se07d_m60.aig,1,1,1,3702,16,59232,3.151,current best shape with sign_exp 07d default changed from 4001 to mant 60 word 402f
