case,agent_id,candidate_id,method_signature,drop_reason,equivalent,adp,verilog_path,aig_path,evaluate_log,notes
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d14,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d14|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d14.aig,,Yosys abc gate set aig delay target 14
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d15,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d15|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d15.aig,,Yosys abc gate set aig delay target 15
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d16,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d16|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d16.aig,,Yosys abc gate set aig delay target 16
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d17,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d17|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d17.aig,,Yosys abc gate set aig delay target 17
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d18,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d18|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d18.aig,,Yosys abc gate set aig delay target 18
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d19,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d19|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d19.aig,,Yosys abc gate set aig delay target 19
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d20,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d20|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d20.aig,,Yosys abc gate set aig delay target 20
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d21,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig_d21|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,59232,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig_d21.aig,,Yosys abc gate set aig delay target 21
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_synth_preset|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,61829,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset.aig,,Yosys synth preset with flatten
ex200,bf16-agent,ex200_semantic_exp_default_one_casez_all_special_synth_preset,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_synth_preset|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,62407,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_casez_all_special_synth_preset.aig,,Yosys synth preset with flatten
