case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,shard_csv,shared_structure,simulation_pass,round,run_id,domain,verified_truth,current_target_adp,reference_adp,evaluate_log,variant,official_output_dir,beats_overall_current
ex266,ex266_r74_q4_formula_current_wordmux,udiv selected q4 semantic override,current cofactor wordmux low bits plus exact q4 formula,shared current cofactor wordmux for q3:q0 and simple dbz or b1 q4 predicate,synth_preset_d18,ex266|udiv_q4_formula_current_wordmux|q4_formula_over_current_wordmux|shared_cofactor_wordmux_low4_plus_dbz_b1_q4|synth_preset_d18|unsigned_low5_high5_div_dbz_sat|q4_only,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/verilog/ex266_r74_q4_formula_current_wordmux.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/aigs/ex266_r74_q4_formula_current_wordmux_synth_preset_d18.aig,student/runs/integer/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/logs/ex266_r74_q4_formula_current_wordmux.evaluate.py.log,1,153,12,1836,0,0,official equivalent but worse than frontend 1480 and prompt target 1296,sub-fp16-int-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/candidates.csv,,,,,,,,,,,,
ex240,ex240_r74_action_sign_r64_high_r68_low,E4M3FN packed add source hybrid,action sign plus r64 selected-output high magnitude plus r68 formula low bits,,,ex240|E4M3FN packed add|action_sign_r64_high_r68_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/verilog/ex240_r74_action_sign_r64_high_r68_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/aigs/ex240_r74_action_sign_r64_high_r68_low/ex240.aig,,1,640,47,30080,,,source-only bit-slice hybrid; target overall ADP 21046; frontend best 26230,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact source families sliced as sign/high/low producers over shared input field decode,not_run,,,,,,,,,,
ex240,ex240_r74_r64_sign_r68_high_action_low,E4M3FN packed add source hybrid,r64 sign plus r68 direct-cancel high magnitude plus action low bits,,,ex240|E4M3FN packed add|r64_sign_r68_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/verilog/ex240_r74_r64_sign_r68_high_action_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/aigs/ex240_r74_r64_sign_r68_high_action_low/ex240.aig,,1,635,45,28575,,,source-only bit-slice hybrid; target overall ADP 21046; frontend best 26230,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact source families sliced as sign/high/low producers over shared input field decode,not_run,,,,,,,,,,
ex241,ex241_r74_action_sign_nested_high_wires_low,E4M3FN packed multiply high byte times low byte source hybrid,action sign plus nested product high magnitude plus shared-wire low bits,,,ex241|E4M3FN packed multiply|action_sign_nested_high_wires_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/verilog/ex241_r74_action_sign_nested_high_wires_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/aigs/ex241_r74_action_sign_nested_high_wires_low/ex241.aig,,1,555,32,17760,,,source-only bit-slice hybrid; target overall ADP 11592; frontend best 14094,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact product source families sliced as sign/high/low producers over shared sign/exp/product semantics,not_run,,,,,,,,,,
ex241,ex241_r74_wires_sign_action_high_nested_low,E4M3FN packed multiply high byte times low byte source hybrid,shared-wire sign plus action high magnitude plus nested product low bits,,,ex241|E4M3FN packed multiply|wires_sign_action_high_nested_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/verilog/ex241_r74_wires_sign_action_high_nested_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/aigs/ex241_r74_wires_sign_action_high_nested_low/ex241.aig,,1,563,35,19705,,,source-only bit-slice hybrid; target overall ADP 11592; frontend best 14094,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact product source families sliced as sign/high/low producers over shared sign/exp/product semantics,not_run,,,,,,,,,,
ex245,ex245_r74_action_sign_active_high_gap_low,E5M2FN packed add source hybrid,action sign plus active-table high magnitude plus gap-class low bits,,,ex245|E5M2FN packed add|action_sign_active_high_gap_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/verilog/ex245_r74_action_sign_active_high_gap_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/aigs/ex245_r74_action_sign_active_high_gap_low/ex245.aig,,1,713,35,24955,,,source-only bit-slice hybrid; target overall ADP 17319; frontend best 22077,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact E5M2 add source families sliced as sign/high/low producers over sorted field decode,not_run,,,,,,,,,,
ex245,ex245_r74_active_sign_gap_high_action_low,E5M2FN packed add source hybrid,active-table sign plus gap-class high magnitude plus action low bits,,,ex245|E5M2FN packed add|active_sign_gap_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/verilog/ex245_r74_active_sign_gap_high_action_low.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/aigs/ex245_r74_active_sign_gap_high_action_low/ex245.aig,,1,720,35,25200,,,source-only bit-slice hybrid; target overall ADP 17319; frontend best 22077,sub-fp8-mid-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/candidates.csv,three exact E5M2 add source families sliced as sign/high/low producers over sorted field decode,not_run,,,,,,,,,,
ex244,ex244_r74_hybrid_a_upper_b_lower,E4M3FN packed hypot abs high low,source_hybrid_field_select_a_upper_b_lower,,,ex244|E4M3FN packed hypot abs high low|source_hybrid_field_select_a_upper_b_lower|upper_out_maxeff_delta_bdd_expfirst_lower_out_shared_truth_bdd_interleaved_with_yosys_pruned_unused_cones|repo_yosys_frontend_default|official_evaluate|upper_7_to_3_lower_2_to_0,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/verilog/ex244_r74_hybrid_a_upper_b_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/aigs/ex244_r74_hybrid_a_upper_b_lower.aig,,1,322,36,11592,,,source-only field-select hybrid from two equivalent source representations,sub-fp8-worst-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/candidates.csv,upper_out_maxeff_delta_bdd_expfirst_lower_out_shared_truth_bdd_interleaved_with_yosys_pruned_unused_cones,1,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1,8928,4272,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_a_upper_b_lower.evaluate.py.log,,,
ex244,ex244_r74_hybrid_b_upper_a_lower,E4M3FN packed hypot abs high low,source_hybrid_field_select_b_upper_a_lower,,,ex244|E4M3FN packed hypot abs high low|source_hybrid_field_select_b_upper_a_lower|upper_out_shared_truth_bdd_interleaved_lower_out_maxeff_delta_bdd_expfirst_with_yosys_pruned_unused_cones|repo_yosys_frontend_default|official_evaluate|upper_7_to_3_lower_2_to_0,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/verilog/ex244_r74_hybrid_b_upper_a_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/aigs/ex244_r74_hybrid_b_upper_a_lower.aig,,1,327,37,12099,,,source-only field-select hybrid from two equivalent source representations,sub-fp8-worst-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/candidates.csv,upper_out_shared_truth_bdd_interleaved_lower_out_maxeff_delta_bdd_expfirst_with_yosys_pruned_unused_cones,1,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1,8928,4272,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_b_upper_a_lower.evaluate.py.log,,,
ex246,ex246_r74_hybrid_a_upper_b_lower,E5M2FN packed multiply high byte times low byte,source_hybrid_field_select_a_upper_b_lower,,,ex246|E5M2FN packed multiply high byte times low byte|source_hybrid_field_select_a_upper_b_lower|upper_out_product_seed12_lower_out_sigprodcode_factored_with_yosys_pruned_unused_cones|repo_yosys_frontend_default|official_evaluate|upper_7_to_2_lower_1_to_0,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/verilog/ex246_r74_hybrid_a_upper_b_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/aigs/ex246_r74_hybrid_a_upper_b_lower.aig,,1,379,23,8717,,,source-only field-select hybrid from two equivalent source representations,sub-fp8-worst-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/candidates.csv,upper_out_product_seed12_lower_out_sigprodcode_factored_with_yosys_pruned_unused_cones,1,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1,5984,2805,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/logs/ex246_r74_hybrid_a_upper_b_lower.evaluate.py.log,,,
ex246,ex246_r74_hybrid_b_upper_a_lower,E5M2FN packed multiply high byte times low byte,source_hybrid_field_select_b_upper_a_lower,,,ex246|E5M2FN packed multiply high byte times low byte|source_hybrid_field_select_b_upper_a_lower|upper_out_sigprodcode_factored_lower_out_product_seed12_with_yosys_pruned_unused_cones|repo_yosys_frontend_default|official_evaluate|upper_7_to_2_lower_1_to_0,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/verilog/ex246_r74_hybrid_b_upper_a_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/aigs/ex246_r74_hybrid_b_upper_a_lower.aig,,1,359,24,8616,,,source-only field-select hybrid from two equivalent source representations,sub-fp8-worst-hybrid-r74,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/candidates.csv,upper_out_sigprodcode_factored_lower_out_product_seed12_with_yosys_pruned_unused_cones,1,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1,5984,2805,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/logs/ex246_r74_hybrid_b_upper_a_lower.evaluate.py.log,,,
