case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex247,fp8-core-r9,ex247_semantic_div_key_bdd_delta_then_sig_abc_g_aig,semantic-key cofactor residual logic,shared special-case shell with exponent-delta and significand-key output cofactors,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 694/21/14574,materially different from quotient-class/bound attributes; exact but area is too high
ex247,fp8-core-r9,ex247_semantic_div_key_bdd_delta_then_sig_synth_preset_aig,semantic-key cofactor residual logic,shared special-case shell with exponent-delta and significand-key output cofactors,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 670/20/13400,materially different from quotient-class/bound attributes; exact but area is too high
ex247,fp8-core-r9,ex247_semantic_div_threshold_compare_abc_g_aig,direct midpoint-threshold quotient normalizer,shared special-case shell sign xor exponent delta significand decode and RNE quotient threshold predicates,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 473/35/16555,materially different from bound-region and bound-smallpat; exact but comparator depth is high
ex247,fp8-core-r9,ex247_semantic_div_threshold_compare_synth_preset_aig,direct midpoint-threshold quotient normalizer,shared special-case shell sign xor exponent delta significand decode and RNE quotient threshold predicates,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 448/32/14336,materially different from bound-region and bound-smallpat; exact but comparator depth is high
ex246,fp8-core-r9,ex246_semantic_mul_key_bdd_exp_then_product_abc_g_aig,semantic-key cofactor residual logic,shared special-case shell with exponent-sum/product-key output cofactors,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 376/28/10528,materially different from product-code completion; exact but area/delay remain above current best
ex246,fp8-core-r9,ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig,semantic-key cofactor residual logic,shared special-case shell with exponent-sum/product-key output cofactors,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 386/26/10036,materially different from product-code completion; exact but area/delay remain above current best
ex246,fp8-core-r9,ex246_semantic_mul_threshold_norm_abc_g_aig,product threshold normalizer,shared special-case shell sign xor exponent sum product and RNE threshold predicates,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 402/35/14070,materially different from product-code completion; exact but much deeper than current best
ex246,fp8-core-r9,ex246_semantic_mul_threshold_norm_synth_preset_aig,product threshold normalizer,shared special-case shell sign xor exponent sum product and RNE threshold predicates,all outputs,"factor common FP8 decode/special predicates, then expose a materially different residual representation",OK 387/36/13932,materially different from product-code completion; exact but much deeper than current best
ex244,fp8-wide-r9,ex244_round9_lane_factored_delta_mask_default,lane_factored_delta_mask,shared max/min field decode plus output-bit residual masks,all 8 output bits,increase field decode and residual predicate sharing,area=665 delay=33 adp=21945,official evaluate.py result recorded
ex244,fp8-wide-r9,,sqsum_threshold_quant,"planned in dossier, not emitted in convergence pass",planned all 8 output bits,alternate sharing form for future follow-up,not evaluated,not attempted after first selected family produced an official result
