case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_abc_g_and,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual","ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|abc_g_and|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_delta_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_delta_abc_g_and.aig,1,,358,37,13246,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_and.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_and.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_abc_g_aig,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual","ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_delta_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_delta_abc_g_aig.aig,1,,344,36,12384,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_aig.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_aig.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_synth_preset_and,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual","ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|synth_preset_and|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_delta_synth_preset_and.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_delta_synth_preset_and.aig,1,,339,38,12882,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_and.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_and.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_synth_preset_aig,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual","ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_delta_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_delta_synth_preset_aig.aig,1,,327,38,12426,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_aig.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_abc_g_and,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|abc_g_and|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_orbits_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_orbits_abc_g_and.aig,1,,348,36,12528,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_and.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_and.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_abc_g_aig,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_orbits_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_orbits_abc_g_aig.aig,1,,338,36,12168,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_aig.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_aig.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_synth_preset_and,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|synth_preset_and|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_orbits_synth_preset_and.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_orbits_synth_preset_and.aig,1,,351,38,13338,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_and.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_and.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_synth_preset_aig,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_sig_gap_orbits_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_sig_gap_orbits_synth_preset_aig.aig,1,,336,37,12432,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_aig.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_abc_g_and,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,"ex244|E4M3FN packed hypot abs(high,low)|packed threshold residual table keyed by gap and max significand|shared max/min decode with compact threshold payloads|abc_g_and|exact_e4m3fn_hypot_abs_high_low|packed_threshold_delta|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_threshold_packed_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_threshold_packed_abc_g_and.aig,1,,301,42,12642,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_and.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_and.yosys.log
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_abc_g_aig,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,"ex244|E4M3FN packed hypot abs(high,low)|packed threshold residual table keyed by gap and max significand|shared max/min decode with compact threshold payloads|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|packed_threshold_delta|fp8_region_r26",student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/verilog/ex244_r26_region_threshold_packed_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/aigs/ex244_r26_region_threshold_packed_abc_g_aig.aig,1,,292,42,12264,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_aig.evaluate.py.log,official evaluate.py status OK; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_aig.yosys.log
