case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex220,ex220_fp16_exp_positive_default_exp_mant_case,fp16_exp,fp16_exp,positive_default_exp_mant_case,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_positive_default_exp_mant_case.json,1,1,OK,10794,22,237468,180404,1.316312,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/candidates.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,,064d661b14f51988996fdabaf42ffdf36cad02487889a043f75e2361b86536ad,37b37f27c17b088ca7dcb25a7f0626ebae0bea67602d7d0c8669db6bcdbe38b6,structural_exact FP16 curated frontend candidate
ex220,ex220_fp16_exp_sign_exp_mant_case,fp16_exp,fp16_exp,sign_exp_mant_case,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_sign_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_sign_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_sign_exp_mant_case.json,1,1,OK,10798,22,237556,180404,1.316800,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/candidates.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_sign_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_sign_exp_mant_case.aig,,22537ed170c5e67dd444cfa9a7ad3f930114855d04cf5f5b5ffda60eebeffbd3,983f51237e4b7fddd825a62d11ea2fe3f864f85e4cc618d5b94751865daac96a,structural_exact FP16 curated frontend candidate
ex220,ex220_fp16_exp_semantic_sign_exp_field_defaults,fp16_exp,fp16_exp,semantic_sign_exp_field_defaults,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_semantic_sign_exp_field_defaults.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_semantic_sign_exp_field_defaults.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_semantic_sign_exp_field_defaults.json,1,1,OK,10836,23,249228,180404,1.381499,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex239_semantic_20260604/results/candidates.csv,ex220_ex239_semantic_20260604,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_semantic_sign_exp_field_defaults.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_semantic_sign_exp_field_defaults.aig,,befd065508f0f751c36148e729be83b94799d3fc661508eaf41a1fe6c27fcef0,4be2b5e741bb516a0b422b4bba110ab76bb48a7911682bfe9357eef15310af9b,semantic_hybrid FP16 frontend candidate
ex220,ex220_fp16_exp_sign_exp_default_expr_case,fp16_exp,fp16_exp,sign_exp_default_expr_case,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_sign_exp_default_expr_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_sign_exp_default_expr_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_sign_exp_default_expr_case.json,1,1,OK,10874,23,250102,180404,1.386344,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex239_semantic_20260604/results/candidates.csv,ex220_ex239_semantic_20260604,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_sign_exp_default_expr_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_sign_exp_default_expr_case.aig,,f3ccfe41e504dfc7a84933e2dd53b7b00a41c4f95f174ce93f4069a86627eb2f,a36af8115fef5281858632c2ae1a57df75cc6b31b661a2cf5c5dcbb12aa67399,semantic_hybrid FP16 frontend candidate
ex220,ex220_fp16_exp_semantic_exp_delta_fields,fp16_exp,fp16_exp,semantic_exp_delta_fields,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_semantic_exp_delta_fields.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_semantic_exp_delta_fields.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_semantic_exp_delta_fields.json,1,1,OK,10900,23,250700,180404,1.389659,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/candidates.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_semantic_exp_delta_fields.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_semantic_exp_delta_fields.aig,,dbb8ca8ac8b6a8a16621ddac837c16c72f146a592fa2ef48dadec26fe29def02,4800827e273a8b7f1b862c226c6f4c9ec42a0b72ac4d10e4a3bb40e3f79724a6,semantic_hybrid FP16 curated frontend candidate
ex221,ex221_varying_signexp_wordmode_mh5_abc_g_aig,,,active_signexp_wordmode_mh5,ex221|fp16_exp2_field_shell|active_signexp_wordmode_mh5|shared sign-exp decode plus per mant_hi mode default residuals|yosys_abc_g_aig|abc_xf_official_evaluate|wordmode_mant_hi5,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_varying_signexp_wordmode_mh5_abc_g_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_varying_signexp_wordmode_mh5_abc_g_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_varying_signexp_wordmode_mh5_abc_g_aig.json,1,1,OK,7042,18,126756,105655,1.199716,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/candidates.csv,ex204_ex299_frontend_continuation_20260614_1216,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_wordmode_mh5_abc_g_aig/ex221_varying_signexp_wordmode_mh5_abc_g_aig.evaluate.py.log,e2223dfcf73ca9428b26a09bb2ba83ec92fafc755585c64e25648937bfa0e25d,564c23cb8c4f03d377a60d7845d45a46c7d14540cf7004e0a6233890d7e4ea1e,truth-derived word-mode defaults by sign_exp and mant_hi; active_groups=31; mant_hi=5; buckets=992; const_buckets=367; overrides=14874; special_const_groups=33; special_full_groups=0; special_items=33; truth-derived source exact by construction; official_status=OK
ex221,ex221_varying_signexp_nested_low9_hi6_abc_g_aig,,,active_signexp_nested_low9_hi6,ex221|fp16_exp2_field_shell|active_signexp_nested_low9_hi6|shared sign-exp decode plus high output run trees and low9 nested LUT|yosys_abc_g_aig|abc_xf_official_evaluate|active_signexp_low9_hi6,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.json,1,1,OK,7565,18,136170,105655,1.288817,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/candidates.csv,ex204_ex299_frontend_continuation_20260614_1216,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_nested_low9_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_nested_low9_hi6_abc_g_aig/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.evaluate.py.log,5eded17e7add3759682f931c61861e525934758e4981cd30442c4c5f93af76ed,6b33bbaa006100c567b073388597470332af89ea8d5f8b263df12884ad0c6625,"truth-derived active sign-exp nested low table; active_groups=31; special_const_groups=33; special_full_groups=0; special_items=33; low_width=9; nested_hi=6; nested_lo=4; low_items=18604; const_buckets=876; b15:runs=31,max=1,const_groups=31; b14:runs=32,max=2,const_groups=30; b13:runs=34,max=2,const_groups=28; b12:runs=38,max=3,const_groups=25; b11:runs=46,max=5,const_groups=23; b10:runs=58,max=8,const_groups=22; b9:runs=88,max=16,const_groups=18; truth-derived source exact by construction; official_status=OK"
ex221,ex221_fp16_exp2_semantic_positive_field_defaults,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,semantic_positive_field_defaults,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_fp16_exp2_semantic_positive_field_defaults.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_fp16_exp2_semantic_positive_field_defaults.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_fp16_exp2_semantic_positive_field_defaults.json,1,1,OK,6968,21,146328,105655,1.384960,1,0,frontend_verified,backend_start_diverse_noncurrent,student_seeds_fallback,student/seeds/fp16/ex220_ex239_current/results/best.csv,student/seeds,student/seeds/fp16/ex220_ex239_current/ex221/verilog/ex221_fp16_exp2_semantic_positive_field_defaults.v,student/seeds/fp16/ex220_ex239_current/ex221/aigs/ex221_fp16_exp2_semantic_positive_field_defaults.aig,,57198be3cb2ced8fd440f0c915b943428b0c96192522f423c7ee03d2eefb305d,eb8ed1c21126eb3d66e5c833a6732dd0048b3f9d6685162aaa6791b143f50fae,semantic_hybrid FP16 frontend candidate
ex221,ex221_fp16_exp2_exp_mant_pair_case,fp16_exp2,fp16_exp2,exp_mant_pair_case,fp16_exp2,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_fp16_exp2_exp_mant_pair_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_fp16_exp2_exp_mant_pair_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_fp16_exp2_exp_mant_pair_case.json,1,1,OK,6974,22,153428,105655,1.452160,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/best.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_exp_mant_pair_case.aig,,5a3ec947b7fbaeaf1ad1ddeb3370d2e457380bd006447120595357688214f904,4cd3c2f1c65880fb412abfb49a92d16f65807a4abaf445abb3d51a41a52932a8,structural_exact FP16 curated frontend candidate
ex221,ex221_fp16_exp2_positive_default_exp_mant_case,fp16_exp2,fp16_exp2,positive_default_exp_mant_case,fp16_exp2,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_fp16_exp2_positive_default_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_fp16_exp2_positive_default_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_fp16_exp2_positive_default_exp_mant_case.json,1,1,OK,6977,22,153494,105655,1.452785,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/candidates.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_positive_default_exp_mant_case.aig,,1edd9372314b40f571571c7351b1e15296096c3df667aa27e984a595beac2c54,b3fbd6ae0d38410fe1f6fe2cd0c251f41b973370f2d41b6c1e2cccef9af0edf3,structural_exact FP16 curated frontend candidate
