round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,,blocked_reason,next_non_repeated_route_hypothesis,evidence_path
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,fp16,blocked_repeat_of_round80_log_source_replay,shared_special_constants_or_mant_hi6_xor_residual_replay,current source with special constants or mant_hi6 base xor residual,ex223|fp16_log_r84_blocked_repeat|r80_shared_special_or_mant_hi6_xor_residual|prior_current_source_replay|not_run|DAZ_log_FP16_RNE_FTZ|blocked_repeat,blocked_prior_evidence,Required notes and r80 rows show official equivalent nonwinning ADP 204117 and 271100; assignment requires genuinely different log representation.,,,Next active direction is truth-derived output/cofactor grouping or compact root factoring under shard-local work path.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,,,,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,fp16,blocked_repeat_of_dense_log10_residual_replay,nested_low_table_sparse_residual_segment_base_or_r80_special_replay,current nested or dense low residual replay,ex225|fp16_log10_r84_blocked_repeat|nested_sparse_segment_or_r80_special_replay|prior_dense_residual_replay|not_run|DAZ_log10_FP16_RNE_FTZ|blocked_repeat,blocked_prior_evidence,Required notes show dense low12 residual/segment/base families blocked and r80 shared-special row missed frontend by 38 ADP; assignment requires a new log10 representation.,,,Next active direction is source-free output-bit grouping from truth cofactors or a compact positive-normal root factor attempt.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,,,,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,integer,blocked_repeat_of_recent_signed_multiply_families,Baugh_Wooley_prefix_carryselect_Booth_signed_digit_sign_quadrant_replay,prior signed 4x4 compressor/final merge variants,ex260|signed_low4_high4_multiply_r84_blocked_repeat|bw_prefix_csel_booth_signed_digit_sign_quadrant|prior_signed_multiplier_replay|not_run|signed_low4_high4_product_word|blocked_repeat,blocked_prior_evidence,Required notes and r80-r83 show Baugh-Wooley prefix/carry-select Booth signed-digit and sign-quadrant families are official nonwinning; assignment requests materially different compressor/partial-product family.,,,Next active direction is a truth-cofactored shared output predicate or source-free PLA-style compressor candidate under shard-local work path.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,,,,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,integer,blocked_repeat_of_recent_udiv_families,cofactor_wordmux_spelling_threshold_reciprocal_restoring_replay,prior unsigned 5x5 division quotient classifier variants,ex266|unsigned_low5_high5_divide_r84_blocked_repeat|wordmux_threshold_reciprocal_restoring|prior_udiv_replay|not_run|dbz_saturating_quotient_word|blocked_repeat,blocked_prior_evidence,Required notes and r80-r83 evidence rule out wordmux spelling broad threshold reciprocal and restoring repeats; assignment requests quotient-threshold or divisor-class structures materially different from those attempts.,,,Next active direction is compact divisor-class local quotient classifier with new output grouping under shard-local work path.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,,,,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,integer,signed_low4_high4_multiply,semantic output-word hit cover grouped by exact product value,one predicate per product word drives all output bits,ex260|signed_low4_high4_multiply_r84_truth_wordhit_cover|output_word_hit_cover|shared_product_value_predicates|yosys_abc_g_aig|official_evaluate|not_baugh_booth_signed_digit_sign_quadrant,equivalent_nonwinning,official ADP 6768 did not beat frontend best 1131,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/verilog/ex260_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/logs/ex260_r84_wordhit_cover_abc_g_aig.yosys.log,source-free grouped output cover; materially different from recent arithmetic compressor and signed-digit families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,ex260_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/aigs/ex260_r84_wordhit_cover_abc_g_aig.aig,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,integer,unsigned_low5_high5_divide_dbz_sat,semantic quotient-word hit cover grouped by exact quotient value,one predicate per quotient word drives all quotient bits,ex266|unsigned_low5_high5_divide_r84_quotient_wordhit_cover|output_word_hit_cover|shared_quotient_value_predicates|yosys_abc_g_aig|official_evaluate|not_wordmux_threshold_reciprocal_restoring,equivalent_nonwinning,official ADP 6318 did not beat frontend best 1480,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/verilog/ex266_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/logs/ex266_r84_wordhit_cover_abc_g_aig.yosys.log,source-free grouped quotient cover; materially different from current cofactor wordmux spelling and serial recurrence families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,ex266_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/aigs/ex266_r84_wordhit_cover_abc_g_aig.aig,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,fp16,fp16_log,highword grouped positive-normal run tree,truth-derived output cofactor grouping,ex223|fp16_log_r84_highword5_low11_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,official_nonwinning,nonwinning official row,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/verilog/ex223_r84_highword5_low11_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/logs/ex223_r84_highword5_low11_hi5_abc_g_aig.yosys.log,highword grouped positive-normal run tree plus exact low nested LUT; high_width=5; low_width=11; nested_hi=5; nested_lo=5; high_runs=45; high_max_runs=7; high_const_groups=24; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,ex223_r84_highword5_low11_hi5_abc_g_aig,ex223_r84_highword5_low11_hi5,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/aigs/ex223_r84_highword5_low11_hi5_abc_g_aig.aig,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,fp16,fp16_log10,highword grouped positive-normal run tree,truth-derived output cofactor grouping,ex225|fp16_log10_r84_highword4_low12_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,official_nonwinning,nonwinning official row,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/verilog/ex225_r84_highword4_low12_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/logs/ex225_r84_highword4_low12_hi5_abc_g_aig.yosys.log,highword grouped positive-normal run tree plus exact low nested LUT; high_width=4; low_width=12; nested_hi=5; nested_lo=5; high_runs=38; high_max_runs=4; high_const_groups=26; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/failed_hypotheses.csv,ex225_r84_highword4_low12_hi5_abc_g_aig,ex225_r84_highword4_low12_hi5,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/aigs/ex225_r84_highword4_low12_hi5_abc_g_aig.aig,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,float_fp8,E5M2FN packed low-over-high division,quotient/product/hypot structural family planning,shared exponent-delta and denominator-major low-boundary predicates,ex247|E5M2FN packed low-over-high division|denominator quotient residual PLA with bounded arithmetic reconstruction|shared denominator/numerator sig decode plus exponent-delta bucket predicates|repo_yosys_frontend|official_evaluate|full_word,active_pending_evaluation,Checkpoint before r84 candidate generation; no official evaluate.py row yet.,,,active case ex247; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/verilog/ex247_r84_denquot_residual_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/failed_hypotheses.csv,,,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,float_fp8,E5M2FN packed multiply,quotient/product/hypot structural family planning,shared exponent-sum and compact product residual predicates,ex246|E5M2FN packed multiply|product exponent residual PLA with bounded arithmetic reconstruction|shared sign exponent-sum product and saturation/underflow predicates|repo_yosys_frontend|official_evaluate|full_word,queued_pending_evaluation,Checkpoint before r84 candidate generation; no official evaluate.py row yet.,,,queued after ex247; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/verilog/ex246_r84_product_residual_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/failed_hypotheses.csv,,,,,,,
