case,domain,agent_id,candidate_id,simulation_status,sim_log,notes,log_path,method_signature,simulation_type,rows_checked
ex286,unknown,unknown-sym-r25,ex286_r25_weight_layer_decision_forest,not_run,,,,,,
ex286,unknown,unknown-sym-r25,ex286_r25_delta_shared_bdd_pair_late,not_run,,,,,,
ex286,unknown,unknown-sym-r25,ex286_r25_gray_output_shared_bdd_pair_late,not_run,,,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_weight_layer_decision_forest,not_run,,,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_delta_shared_bdd_pair_late,not_run,,,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_gray_output_shared_bdd_pair_late,not_run,,,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_weight_layer_decision_forest,not_run,,,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_delta_shared_bdd_pair_late,not_run,,,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_gray_output_shared_bdd_pair_late,not_run,,,,,,
ex288,unknown,unknown-sym-r25,ex288_r25_weight_layer_decision_forest,not_run,,,,,,
ex288,unknown,unknown-sym-r25,ex288_r25_delta_shared_bdd_pair_late,not_run,,,,,,
ex288,unknown,unknown-sym-r25,ex288_r25_gray_output_shared_bdd_pair_late,not_run,,,,,,
ex297,unknown,unknown-large-r25,ex297_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex297,unknown,unknown-large-r25,ex297_r25_cell_basis_delta_outer_odd_inner_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex299,unknown,unknown-large-r25,ex299_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex299,unknown,unknown-large-r25,ex299_r25_cell_basis_delta_outer_odd_inner_abc_g_aig,,,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex294,unknown,unknown-large-r25,ex294_r25_bdd_low_high_output_halves_abc_g_aig,,,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex294,unknown,unknown-large-r25,ex294_r25_bdd_mod4_output_planes_abc_g_aig,,,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex295,unknown,unknown-large-r25,ex295_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,exact Python model over 4096 rows,,,exhaustive_python_truth_model_before_synth,
ex295,unknown,unknown-large-r25,ex295_r25_cell_basis_delta_outer_odd_inner_abc_g_aig,,,exact Python model over 4096 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_bdd_low_high_output_halves_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_bdd_mod4_output_planes_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_adjacent_pairs_best_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_single_roots_best_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_mod3_output_planes_best_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_mod7_pairs_best_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_mod4_output_planes_center_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_mod4_output_planes_reverse_abc_g_aig,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex292,unknown,unknown-large-r25,ex292_r25_follow_bdd_mod4_output_planes_best_abc_g_aig_d18,,,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex247,float_fp8,fp8-r25,ex247_r25_direct_lowattrs_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex247,float_fp8,fp8-r25,ex247_r25_direct_lowattrs_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r25,ex246_r25_direct_lowattrs_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r25,ex246_r25_direct_lowattrs_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex244,float_fp8,fp8-r25,ex244_r25_gap_split_delta_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex244,float_fp8,fp8-r25,ex244_r25_gap_split_delta_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex240,float_fp8,fp8-r25,ex240_r25_direct_active_add_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex240,float_fp8,fp8-r25,ex240_r25_direct_active_add_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex245,float_fp8,fp8-r25,ex245_r25_direct_active_add_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex245,float_fp8,fp8-r25,ex245_r25_direct_active_add_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex249,float_fp8,fp8-r25,ex249_r25_gap_split_delta_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex249,float_fp8,fp8-r25,ex249_r25_gap_split_delta_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex248,float_fp8,fp8-r25,ex248_r25_mod12_rem_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex248,float_fp8,fp8-r25,ex248_r25_mod12_rem_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex204,bf16,mixed-r25,ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_9_11_14_bh2_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex204,bf16,mixed-r25,ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex204,bf16,mixed-r25,ex204_r25_bf16_log2_log2_arithbase_delta_hilo4_bits_11_14_bh2_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex218,bf16,mixed-r25,ex218_r25_bf16_recip_cube_delta_pair_mode_hilo4_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex218,bf16,mixed-r25,ex218_r25_bf16_recip_cube_sep_fields_e3_m3_s3_abc_g_gates,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex266,integer,mixed-r25,ex266_r25_int_highgap_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex266,integer,mixed-r25,ex266_r25_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex260,integer,mixed-r25,ex260_r25_signed_mul_baugh_wooley_wallace_outside_rhcla3_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex260,integer,mixed-r25,ex260_r25_signed_mul_baugh_wooley_wallace_rev_pfx3_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex273,integer,mixed-r25,ex273_r25_int_highgap_square_hybrid_bdd_mid4_synth_preset_d32,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex274,integer,mixed-r25,ex274_r25_int_highgap_square_hybrid_bdd_top2_mid2_synth_preset_d40,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex273,integer,mixed-r25,ex273_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex274,integer,mixed-r25,ex274_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,not_run,,debug simulation skipped; official evaluate.py is final,,,,
ex205,bf16,coordinator-bf16-r25,ex205_bf16_log10_hilo2_word_mode,not_run,not_run,Skipped; official evaluate.py used as equivalence authority.,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/coordinator-bf16-r25/ex205/logs/ex205_bf16_log10_hilo2_word_mode.evaluate.py.log,ex205|bf16_log10_mantissa_grouping_probe|hilo2_word_mode|shared_sign_exp_decode_mantissa_hi2_word_defaults|yosys_aigmap_official_evaluate_py|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|full_word_mantissa_hilo2,not_run,
ex205,bf16,coordinator-bf16-r25,ex205_bf16_log10_hilo5_word_mode,not_run,not_run,Skipped; official evaluate.py used as equivalence authority.,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/coordinator-bf16-r25/ex205/logs/ex205_bf16_log10_hilo5_word_mode.evaluate.py.log,ex205|bf16_log10_mantissa_grouping_probe|hilo5_word_mode|shared_sign_exp_decode_mantissa_hi5_word_defaults|yosys_aigmap_official_evaluate_py|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|full_word_mantissa_hilo5,not_run,
