case,domain,agent_id,candidate_id,simulator,result,log_path,notes
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_delta_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_sig_gap_orbits_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_packed_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_maxeff_packed_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_maxeff_packed_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_maxeff_packed_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex244,float_fp8,fp8-region-r26,ex244_r26_region_threshold_maxeff_packed_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_same_delta_diff_direct8_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_same_delta_diff_direct8_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_same_delta_diff_direct8_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_same_delta_diff_direct8_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_samegrs_diffgrs_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_samegrs_diffgrs_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_samegrs_diffgrs_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_samegrs_diffgrs_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_nested_gap_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_nested_gap_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_nested_gap_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex240,float_fp8,fp8-region-r26,ex240_r26_region_nested_gap_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_gap4_norm_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_gap4_norm_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_gap4_norm_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_gap4_norm_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_pair_delta_maxmin_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_pair_delta_maxmin_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_pair_delta_maxmin_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_pair_delta_maxmin_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_full_norm_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_full_norm_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_full_norm_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex245,float_fp8,fp8-region-r26,ex245_r26_region_full_norm_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_param_exception_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_param_exception_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_param_exception_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_param_exception_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_bit_exception_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_bit_exception_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_bit_exception_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex241,float_fp8,fp8-region-r26,ex241_r26_region_product_bit_exception_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_formula_bit_exception_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_formula_bit_exception_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_formula_bit_exception_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_formula_bit_exception_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_field_nested_delta_abc_g_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_field_nested_delta_abc_g_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_field_nested_delta_synth_preset_and,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex242,float_fp8,fp8-region-r26,ex242_r26_region_div_field_nested_delta_synth_preset_aig,,,,iverilog skipped; official evaluate.py used for equivalence/QoR
ex246,float_fp8,fp8-rounding-r26,ex246_r26r_mul_formula_norm_grs_abc_g_and,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-rounding-r26,ex246_r26r_mul_formula_norm_grs_abc_g_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-rounding-r26,ex246_r26r_mul_formula_norm_grs_synth_preset_and,,,,Official evaluate.py was run for final equivalence/QoR.
