round,run_id,agent_id,case,candidate_id,simulator,status,patterns,log_path,notes,shard_csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_shared_special_constants_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_mant_hi6_xor_residual_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_shared_special_constants_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_mant_hi6_xor_residual_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_step_onehot_low_region,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_region_mask_blend,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_zero_product_bypass,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_sorted_sig_product,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_sat_delta_case_tail,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_zero_guard_sat_delta_tail,not_run,not_run,,,official evaluate.py used as acceptance check,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_quadrant_word_lut_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_bias_correct_unsigned_synth_preset_d13,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_mixed_region_udiv_synth_preset_d10,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_parallel_topbits_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex265,ex265_r80_mixed_region_udiv_synth_preset_d10,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex267,ex267_r80_mixed_region_udiv_synth_preset_d18,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex270,ex270_r80_square_balanced_term_tree_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex273,ex273_r80_square_balanced_term_tree_synth_preset_d32,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex274,ex274_r80_square_balanced_term_tree_synth_preset_d40,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex276,ex276_r80_hi6_interval_wordmux_abc_g_aig,iverilog,not_run,0,,official evaluate.py used for acceptance; iverilog not needed for these straight-line sources,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex297,ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11,iverilog,not_run,0,,Skipped by design; official evaluate.py is acceptance gate.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_hightail_10_11,iverilog,not_run,0,,Skipped by design; official evaluate.py is acceptance gate.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_edge_quads_0_1_14_15,iverilog,not_run,0,,Skipped by design; official evaluate.py is acceptance gate.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_pairsel_tailcell_14_15,iverilog,not_run,0,,Skipped by design; official evaluate.py is acceptance gate.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_layer_pairdesc_edge_cofactor,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_center_outer_cofactor_mix,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_pairdesc_k6_cofactor,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_midlayer_k6_cofactor,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex292,ex292_r80_mod4_mirror_lane_cofactor,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex294,ex294_r80_mod4_shared_mirror_cofactor,iverilog,not_run,0,,Skipped; official evaluate.py is the acceptance check for this source-only shard.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/simulation_results.csv
