case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex220,fp16_exp,5,5,5,5,0,2,3,ex220_fp16_exp_exp_mant_pair_case,exp_mant_pair_case,structural_exact,10754,22,236588,180404,1.311434,1,0,exp_mant_pair_case:236588; positive_default_exp_mant_case:237468; sign_exp_mant_case:237556; semantic_sign_exp_field_defaults:249228; sign_exp_default_expr_case:250102,
ex221,fp16_exp2,5,5,5,5,0,2,3,ex221_fp16_exp2_exp_mant_pair_case,exp_mant_pair_case,structural_exact,6974,22,153428,105655,1.452160,1,0,exp_mant_pair_case:153428; positive_default_exp_mant_case:153494; semantic_sign_exp_field_defaults:153560; sign_exp_mant_case:154704; sign_exp_default_expr_case:200250,
ex222,fp16_exp10,5,5,5,5,0,2,3,ex222_fp16_exp10_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,10615,22,233530,173621,1.345056,1,0,positive_default_exp_mant_case:233530; sign_exp_default_expr_case:233838; exp_mant_pair_case:234190; sign_exp_mant_case:245985; semantic_sign_exp_field_defaults:246560,
ex223,fp16_log,9,9,9,9,0,2,7,ex223_fp16_log_sign_exp_mant_case,sign_exp_mant_case,structural_exact,11164,23,256772,120549,2.130022,0,0,sign_exp_mant_case:256772; positive_default_exp_mant_case:267936; exp_mant_pair_case:268176; sign_pair_case:269040; semantic_sign_exp_field_defaults:269664,
ex224,fp16_log2,9,9,9,9,0,2,7,ex224_fp16_log2_sign_exp_mant_case,sign_exp_mant_case,structural_exact,6332,21,132972,64708,2.054955,0,0,sign_exp_mant_case:132972; split_sign_exp_mant_case:139040; semantic_sign_exp_field_defaults:139392; positive_default_exp_mant_delta:145130; exp_mant_pair_case:146441,
ex225,fp16_log10,9,9,9,9,0,2,7,ex225_fp16_log10_sign_exp_mant_case,sign_exp_mant_case,structural_exact,11616,23,267168,116676,2.289828,0,0,sign_exp_mant_case:267168; semantic_sign_exp_field_defaults:268249; split_sign_exp_mant_case:278448; positive_default_exp_mant_case:278472; exp_mant_pair_case:301028,
ex226,fp16_sin,5,5,5,5,0,2,3,ex226_fp16_sin_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,33460,23,769580,587790,1.309277,1,0,positive_default_exp_mant_case:769580; semantic_sign_exp_field_defaults:795110; exp_mant_pair_case:811920; sign_exp_mant_case:826608; sign_exp_default_expr_case:869040,
ex227,fp16_tan,5,5,5,5,0,2,3,ex227_fp16_tan_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,40817,23,938791,721639,1.300915,1,0,positive_default_exp_mant_case:938791; semantic_sign_exp_field_defaults:977304; exp_mant_pair_case:982296; sign_exp_mant_case:986352; sign_exp_default_expr_case:1093128,
ex228,fp16_sinh,5,5,5,5,0,2,3,ex228_fp16_sinh_semantic_sign_exp_field_defaults,semantic_sign_exp_field_defaults,semantic_hybrid,6653,21,139713,101205,1.380495,1,0,semantic_sign_exp_field_defaults:139713; sign_exp_mant_case:141288; exp_mant_pair_case:145772; positive_default_exp_mant_case:146520; sign_exp_default_expr_case:164604,
ex229,fp16_tanh,5,5,5,5,0,2,3,ex229_fp16_tanh_exp_mant_pair_case,exp_mant_pair_case,structural_exact,3988,21,83748,57968,1.444728,1,0,exp_mant_pair_case:83748; positive_default_exp_mant_case:84903; semantic_sign_exp_field_defaults:84966; sign_exp_mant_case:85491; sign_exp_default_expr_case:140162,
ex230,fp16_sigmoid,5,5,5,5,0,2,3,ex230_fp16_sigmoid_sign_exp_mant_case,sign_exp_mant_case,structural_exact,7038,21,147798,108320,1.364457,1,0,sign_exp_mant_case:147798; exp_mant_pair_case:153912; positive_default_exp_mant_case:154286; semantic_sign_exp_field_defaults:161667; sign_exp_default_expr_case:189244,
ex231,fp16_reciprocal,6,6,6,6,1,2,3,ex231_fp16_reciprocal_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,1226,17,20842,14066,1.481729,1,0,positive_default_exp_mant_case:20842; semantic_arith_fields:21924; exp_mant_pair_case:22230; sign_exp_mant_case:22304; semantic_sign_exp_field_defaults:23310,
ex232,fp16_square,10,10,10,10,1,2,7,ex232_fp16_square_positive_default_exp_mant_delta,positive_default_exp_mant_delta,structural_exact,1365,17,23205,13392,1.732751,0,0,positive_default_exp_mant_delta:23205; exp_mant_delta_pair:23392; sign_exp_mant_case:23409; exp_mant_pair_case:23766; semantic_sign_exp_field_defaults:23902,
ex233,fp16_sqrt,10,10,10,10,1,2,7,ex233_fp16_sqrt_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,1714,18,30852,20174,1.529295,0,0,positive_default_exp_mant_case:30852; semantic_arith_fields:31502; sign_pair_case:31692; sign_exp_mant_case:31901; exp_mant_pair_case:32015,
ex234,fp16_reciprocal_square,10,10,10,10,1,2,7,ex234_fp16_reciprocal_square_sign_pair_case,sign_pair_case,structural_exact,1362,17,23154,15561,1.487951,1,0,sign_pair_case:23154; semantic_sign_exp_field_defaults:23511; semantic_arith_fields:23528; exp_mant_pair_case:23647; positive_default_exp_mant_delta:24840,
ex235,fp16_reciprocal_sqrt,10,10,10,10,1,2,7,ex235_fp16_reciprocal_sqrt_semantic_sign_exp_field_defaults,semantic_sign_exp_field_defaults,semantic_hybrid,1781,18,32058,20800,1.541250,0,0,semantic_sign_exp_field_defaults:32058; sign_exp_mant_case:32112; sign_pair_case:32775; positive_default_exp_mant_delta:32794; exp_mant_delta_pair:32908,
ex236,fp16_cube,10,9,9,9,1,2,7,ex236_fp16_cube_positive_default_exp_mant_delta,positive_default_exp_mant_delta,structural_exact,1576,17,26792,17290,1.549566,0,0,positive_default_exp_mant_delta:26792; exp_mant_delta_pair:28332; exp_mant_pair_case:28962; split_sign_exp_mant_case:29016; semantic_sign_exp_field_defaults:30305,
ex237,fp16_cbrt,6,6,6,6,1,2,3,ex237_fp16_cbrt_positive_default_exp_mant_case,positive_default_exp_mant_case,structural_exact,1987,18,35766,25440,1.405896,1,0,positive_default_exp_mant_case:35766; exp_mant_pair_case:37411; semantic_sign_exp_field_defaults:38532; semantic_arith_fields:39120; sign_exp_mant_case:40470,
ex238,fp16_reciprocal_cube,10,10,10,10,1,2,7,ex238_fp16_reciprocal_cube_exp_mant_pair_case,exp_mant_pair_case,structural_exact,1580,17,26860,16549,1.623059,0,0,exp_mant_pair_case:26860; positive_default_exp_mant_case:26979; semantic_sign_exp_field_defaults:28674; exp_mant_delta_pair:28818; split_sign_exp_mant_case:28818,
