case,candidate_id,hypothesis,variant,method_signature,verilog_path,aig_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,runtime_sec,evaluate_log,notes,agent_id,domain,high_level_description,representation,sharing_strategy,synth_flow,yosys_log,current_frontend_adp,beats_current_frontend,beats_reference,evaluate_status,method_notes
ex286,ex286_linbasis_f00_local_onehot_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f00_local_onehot/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|local_bdd|onehot_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f00_local_onehot.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f00_local_onehot_abc_g_aig.aig,1,1,OK,1519,21,31899,2376,0.319,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_local_onehot_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f00;share=local;selector=onehot;bdd_nodes=2381,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_local_onehot_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f00_local_case_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f00_local_case/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|local_bdd|case_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f00_local_case.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f00_local_case_abc_g_aig.aig,1,1,OK,1489,21,31269,2376,0.222,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_local_case_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f00;share=local;selector=case;bdd_nodes=2381,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_local_case_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f00_global_onehot_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f00_global_onehot/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|global_bdd|onehot_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f00_global_onehot.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f00_global_onehot_abc_g_aig.aig,1,1,OK,1507,21,31647,2376,0.219,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_global_onehot_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f00;share=global;selector=onehot;bdd_nodes=754,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_global_onehot_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f00_global_case_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f00_global_case/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|global_bdd|case_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f00_global_case.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f00_global_case_abc_g_aig.aig,1,1,OK,1492,21,31332,2376,0.221,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_global_case_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f00;share=global;selector=case;bdd_nodes=754,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f00_global_case_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f11_local_onehot_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f11_local_onehot/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|local_bdd|onehot_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f11_local_onehot.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f11_local_onehot_abc_g_aig.aig,1,1,OK,1511,21,31731,2376,0.221,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_local_onehot_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f11;share=local;selector=onehot;bdd_nodes=2505,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_local_onehot_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f11_local_case_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f11_local_case/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|local_bdd|case_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f11_local_case.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f11_local_case_abc_g_aig.aig,1,1,OK,1499,21,31479,2376,0.221,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_local_case_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f11;share=local;selector=case;bdd_nodes=2505,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_local_case_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f11_global_onehot_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f11_global_onehot/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|global_bdd|onehot_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f11_global_onehot.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f11_global_onehot_abc_g_aig.aig,1,1,OK,1514,20,30280,2376,0.216,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_global_onehot_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f11;share=global;selector=onehot;bdd_nodes=770,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_global_onehot_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linbasis_f11_global_case_abc_g_aig,output_linear_basis_symmetry_cofactor,linbasis_f11_global_case/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_basis_symcof|basis_1fff_c0_20_40_ccc_222_444_1010_4_8_10_2_100|global_bdd|case_selector|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/verilog/ex286_linbasis_f11_global_case.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/aigs/ex286_linbasis_f11_global_case_abc_g_aig.aig,1,1,OK,1502,21,31542,2376,0.219,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_global_case_abc_g_aig.evaluate.py.log,basis=1fff:c0:20:40:ccc:222:444:1010:4:8:10:2:100;decode=10b1:800:100:200:400:4:8:a:1000:824:148:25a:480;outer_bits=0:12:1:10;inner_bits=2:3:4:5:6:7:8:9:11;policy=f11;share=global;selector=case;bdd_nodes=770,coordinator-ex286-linear-basis,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer; emit cheaper GF(2) output coordinates then decode.,full-rank output-linear basis over pair-symmetry cofactor BDD groups,"share known input pair-symmetry key, outer cofactor selection, and BDD roots for low-cost output-linear coordinates",Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-basis/ex286/logs/ex286_linbasis_f11_global_case_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linhyb_bits_5_6_7_f00_group_abc_g_aig,selective_output_linear_coordinate_hybrid,bits_5_6_7_f00_group/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|selective_output_linear_coordinate_hybrid|bits_5_6_7|policy_f00|group_base_bdd|coord_global_bdd|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/verilog/ex286_linhyb_bits_5_6_7_f00_group.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/aigs/ex286_linhyb_bits_5_6_7_f00_group_abc_g_aig.aig,1,1,OK,1359,15,20385,2376,0.247,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/logs/ex286_linhyb_bits_5_6_7_f00_group_abc_g_aig.evaluate.py.log,selected_bits=5:6:7;coord_masks=20:40:80;policy=f00;share=group;base_nodes=1984;coord_nodes=73;outer_bits=0:12:1:10,coordinator-ex286-linear-hybrid,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer with selected cheap output coordinates.,current symcof source for hard bits plus cofactored BDD for selected linear/raw output coordinates,preserve current pair-symmetry outer cofactor sharing while skipping selected output roots and adding one shared coordinate BDD bank,Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/logs/ex286_linhyb_bits_5_6_7_f00_group_abc_g_aig.yosys.log,20190,0,0,,
ex286,ex286_linhyb_bits_5_6_7_f00_global_abc_g_aig,selective_output_linear_coordinate_hybrid,bits_5_6_7_f00_global/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|selective_output_linear_coordinate_hybrid|bits_5_6_7|policy_f00|global_base_bdd|coord_global_bdd|yosys_abc_g_aig|abc_xf_official_evaluate,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/verilog/ex286_linhyb_bits_5_6_7_f00_global.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/aigs/ex286_linhyb_bits_5_6_7_f00_global_abc_g_aig.aig,1,1,OK,1366,16,21856,2376,0.225,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/logs/ex286_linhyb_bits_5_6_7_f00_global_abc_g_aig.evaluate.py.log,selected_bits=5:6:7;coord_masks=20:40:80;policy=f00;share=global;base_nodes=592;coord_nodes=73;outer_bits=0:12:1:10,coordinator-ex286-linear-hybrid,unknown,13-bit Hamming-weight-preserving lossy routing/normalizer with selected cheap output coordinates.,current symcof source for hard bits plus cofactored BDD for selected linear/raw output coordinates,preserve current pair-symmetry outer cofactor sharing while skipping selected output roots and adding one shared coordinate BDD bank,Yosys frontend abc_g_aig plus official evaluate.py,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/logs/ex286_linhyb_bits_5_6_7_f00_global_abc_g_aig.yosys.log,20190,0,0,,
