case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex244,ex244_semantic_hypot_direct_result_table_default,fp8_e4m3fn_hypot_abs,semantic_hypot_direct_result_table_default,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_direct_result_table.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_direct_result_table_default.aig,1,1,1,1187,33,39171,4272,9.169242,0,0,2.638,hypot direct result table for small exponent gaps,semantic_exact,
ex244,ex244_semantic_hypot_direct_result_table_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_direct_result_table_abc_g_aig,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_direct_result_table.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_direct_result_table_abc_g_aig.aig,1,1,1,1172,33,38676,4272,9.053371,0,0,2.639,hypot direct result table for small exponent gaps,semantic_exact,
ex244,ex244_semantic_hypot_direct_result_table_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_direct_result_table_synth_preset,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_direct_result_table.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_direct_result_table_synth_preset.aig,1,1,1,1155,35,40425,4272,9.462781,0,0,3.362,hypot direct result table for small exponent gaps,semantic_exact,
ex244,ex244_semantic_hypot_direct_result_table_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_direct_result_table_synth_preset_aig,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_direct_result_table.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_direct_result_table_synth_preset_aig.aig,1,1,1,1142,33,37686,4272,8.821629,0,0,3.223,hypot direct result table for small exponent gaps,semantic_exact,
ex244,ex244_semantic_hypot_delta_bdd_keymajor_default,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_keymajor_default,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_keymajor.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_keymajor_default.aig,1,1,0,,,,4272,,,,0.622,hypot max plus delta-only BDD ordered by gap/max/min bits,semantic_exact,'Candidate' object has no attribute 'status'
ex244,ex244_semantic_hypot_delta_bdd_keymajor_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_keymajor_abc_g_aig,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_keymajor.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_keymajor_abc_g_aig.aig,1,1,0,,,,4272,,,,0.644,hypot max plus delta-only BDD ordered by gap/max/min bits,semantic_exact,'Candidate' object has no attribute 'status'
ex244,ex244_semantic_hypot_delta_bdd_keymajor_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_keymajor_synth_preset,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_keymajor.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_keymajor_synth_preset.aig,1,1,0,,,,4272,,,,0.750,hypot max plus delta-only BDD ordered by gap/max/min bits,semantic_exact,'Candidate' object has no attribute 'status'
ex244,ex244_semantic_hypot_delta_bdd_keymajor_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_keymajor_synth_preset_aig,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_keymajor.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_keymajor_synth_preset_aig.aig,1,1,0,,,,4272,,,,0.755,hypot max plus delta-only BDD ordered by gap/max/min bits,semantic_exact,'Candidate' object has no attribute 'status'
ex244,ex244_semantic_hypot_delta_bdd_interleave_default,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_interleave_default,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_interleave.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_interleave_default.aig,1,1,0,,,,4272,,,,0.616,hypot max plus delta-only BDD with max/min bit interleave,semantic_exact,'Candidate' object has no attribute 'status'
ex244,ex244_semantic_hypot_delta_bdd_interleave_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_bdd_interleave_abc_g_aig,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/verilog/ex244_semantic_hypot_delta_bdd_interleave.v,student/work/ex244_frontend_fp8_delta_bdd_20260608_1330/ex244/aigs/ex244_semantic_hypot_delta_bdd_interleave_abc_g_aig.aig,1,1,0,,,,4272,,,,0.617,hypot max plus delta-only BDD with max/min bit interleave,semantic_exact,'Candidate' object has no attribute 'status'
