case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes
ex200,bf16,unary-r4,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_semantic_exp_default,one_parallel_casez_saturation,ex200|bf16_exp_semantic_exp_default|one_parallel_casez_saturation|shared_sign_exp_decode_and_parallel_casez|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_semantic_exp,semantic_exp_casez_saturation,shared sign/exp/mant decode plus saturation casez groups,yosys_abc_g_aig,abc_xf_official_evaluate,full_word_semantic_exp,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/logs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.evaluate.log,1,1,3717,17,63189,54405,40052,0,0,coordinator-filled from official evaluate.py log; equivalent but worse than frontend best
ex223,fp16,unary-r4,ex223_log_nested_low11_hi5_abc_g_aig,fp16_log_sparse_nested_variant,log_nested_low11_hi5,ex223|fp16_log_sparse_nested_variant|log_nested_low11_hi5|shared_sign_exp_special_decode_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_nested_low_hi,positive-normal nested low-bit LUT plus sign/exp special decode,shared sign/exp special decode with nested low11/hi5 table,yosys_abc_g_aig,abc_xf_official_evaluate,positive_normal_nested_low_hi,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex223/verilog/ex223_log_nested_low11_hi5_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex223/aigs/ex223_log_nested_low11_hi5_abc_g_aig.aig,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex223/logs/ex223_log_nested_low11_hi5_abc_g_aig.evaluate.log,1,1,10753,19,204307,204193,120549,0,0,coordinator-filled from official evaluate.py log; equivalent but just worse than frontend best
ex225,fp16,unary-r4,ex225_log_nested_low12_hi5_abc_g_aig,fp16_log_sparse_nested_variant,log_nested_low12_hi5,ex225|fp16_log_sparse_nested_variant|log_nested_low12_hi5|source_nested_low_table_no_new_sharing|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_nested_low_hi,log_nested_low12_hi5,source_nested_low_table_no_new_sharing,yosys_abc_g_aig,abc_xf_official_evaluate,positive_normal_nested_low_hi,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex225/verilog/ex225_log_nested_low12_hi5_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex225/logs/ex225_log_nested_low12_hi5_abc_g_aig.evaluate.py.log,1,1,11533,19,219127,218728,116676,0,0,coordinator replay filled missing shard row; official evaluate.py OK but worse than frontend best
ex246,float_fp8,float-fp8-r4,ex246_shared_decode_mul_threshold_rounding_default,E5M2FN packed multiply with shared field decode and shallow rounding/saturation,shared_decode_mul_threshold_rounding_default,ex246|e5m2fn_multiply|shared_decode_mul_threshold_rounding|shared_sign_exp_mant_decode|yosys_synth_default|official_evaluate_py|word_output,decoded significands with threshold rounded normalizer and explicit low-end table,"NaN/sign decode, effective exponent/significand decode, exponent sum, threshold rounding and saturation predicates",student/frontends/yosys_synth.py default abc -g AND,E5M2FN multiply high byte by low byte; canonical NaN; finite saturation; RNE tie-even,single 8-bit output word,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex246/verilog/ex246_shared_decode_mul_threshold_rounding_default.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex246/aigs/ex246_shared_decode_mul_threshold_rounding_default.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex246/logs/ex246_shared_decode_mul_threshold_rounding_default.official_evaluate.log,1,1,413,35,14455,7502,2805,0,0,official evaluate.py status OK; not an ex247 round3/r4 bad-family reuse; equivalent_but_bad_qor; do_not_repeat_as_is
ex247,float_fp8,float-fp8-r4,ex247_shared_decode_threshold_rounding_default,E5M2FN low-byte/high-byte division with shared field decode and shallow rounding/saturation,shared_decode_threshold_rounding_default,ex247|e5m2fn_division|shared_field_decode_threshold_rounding|shared_sign_exp_mant_decode|yosys_synth_default|official_evaluate_py|word_output,quotient-shift plus rounded-significand threshold normalizer,"NaN/zero/sign decode, effective exponent/significand decode, exponent delta, rounding and saturation predicates",student/frontends/yosys_synth.py default abc -g AND,E5M2FN division low byte over high byte; canonical NaN; finite saturation; RNE tie-even,single 8-bit output word,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/verilog/ex247_shared_decode_threshold_rounding_default.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/aigs/ex247_shared_decode_threshold_rounding_default.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/logs/ex247_shared_decode_threshold_rounding_default.official_evaluate.log,1,1,479,35,16765,9125,2975,0,0,official evaluate.py status OK; avoids named round3 bad families; equivalent_but_bad_qor; do_not_repeat_as_is
ex260,integer,integer-r4,ex260_smul_highlevel_sext_r4,signed_multiplier_highlevel_sign_extend,sext_highlevel_r4,ex260|signed_multiplier_highlevel_sign_extend|sext_highlevel_product|direct signed high-level multiply with sign extension|yosys_abc_g_and|abc_xf_official_evaluate|full product output,sext_highlevel_product,direct signed high-level multiply with sign extension,yosys_abc_g_and,abc_xf_official_evaluate,full product output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex260/verilog/ex260_smul_highlevel_sext_r4.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex260/aigs/ex260.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex260/logs/ex260_smul_highlevel_sext_r4.evaluate.log,1,1,164,18,2952,1144,657,0,0,agent artifact/log present; official evaluate.py OK but worse than frontend best
ex266,integer,integer-r4,ex266_udiv_threshold_therm_r4,unsigned_divider_threshold_thermometer,threshold_therm_r4,ex266|unsigned_divider_threshold_thermometer|threshold_therm_r4|shared threshold thermometer compare network|yosys_abc_g_and|abc_xf_official_evaluate|quotient_saturation_output,threshold_therm_r4,shared threshold thermometer compare network,yosys_abc_g_and,abc_xf_official_evaluate,quotient_saturation_output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex266/verilog/ex266_udiv_threshold_therm_r4.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex266/aigs/ex266.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex266/logs/ex266_udiv_threshold_therm_r4.evaluate.log,1,1,662,23,15226,1480,848,0,0,official evaluate.py OK but much worse than frontend best
ex282,unknown,gf2-polish-r4,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,quartic_gf2_event_filter,mixed_roots_delaycap_rawlin,ex282|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap_rawlin|shared_roots_with_raw_linear_correction|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_roots_raw_linear_xor,overlap_root_product_basis_mixed_roots_delaycap_rawlin,shared_roots_with_raw_linear_correction,yosys_abc_g_aig,exact_full_clamp_mux_coordinate_degree2,balanced_roots_raw_linear_xor,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex282/verilog/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex282/aigs/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex282/logs/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.evaluate.log,1,1,144,28,4032,4032,2704,0,0,official evaluate.py OK; exact tie with round3 accepted frontend baseline
ex283,unknown,gf2-polish-r4,ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,quartic_gf2_event_filter,mixed_roots_delaycap_balanced_rawlin_abc_g_aig,ex283|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_linear_corrections,yosys_abc_g_aig,exact_full_clamp_mux_coordinate_degree2,balanced_multi_output_root_product_xor,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex283/verilog/ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex283/aigs/ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex283/logs/ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.evaluate.log,1,1,159,32,5088,4500,3168,0,0,coord_width=20; candidate_products=23372; unique_products=29; roots=33; selected_terms=31; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:1:1:2:5:5:4:5; linear_factored=0; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small:wide:small; hash_pending=1; exact Python model over 32768 rows; hash=810dfe975dc1
ex284,unknown,gf2-polish-r4,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,quartic_gf2_event_filter,mixed_roots_delaycap_balanced_linear_factored_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,yosys_abc_g_aig,exact_full_clamp_mux_coordinate_degree2,balanced_root_products_plus_shared_linear_correction_xor,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/verilog/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/aigs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/logs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.evaluate.log,1,1,170,33,5610,5440,4240,0,0,coord_width=21; candidate_products=25073; unique_products=31; roots=36; selected_terms=33; linear_correction_bits=14; terms_by_bit=1:1:1:1:1:1:1:1:2:1:1:2:4:5:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:wide:wide:wide:wide:small:wide:small; hash_pending=1; exact Python model over 65536 rows; hash=05b6d0aa6991
