case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_default,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.aig,1,1,1,145,21,3045,2603,1.169804,1,0,1.093,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_abc_g_aig,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_abc_g_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_abc_g_aig.aig,1,1,1,145,21,3045,2603,1.169804,1,0,1.050,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_synth_preset,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_synth_preset,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_synth_preset.aig,1,1,1,148,24,3552,2603,1.364579,1,0,1.162,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_synth_preset_aig,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_synth_preset_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_synth_preset_aig.aig,1,1,1,148,23,3404,2603,1.307722,1,0,1.157,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_abcD20_aig,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_abcD20_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_abcD20_aig.aig,1,1,1,145,21,3045,2603,1.169804,1,0,0.998,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_abcD15_aig,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_abcD15_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_abcD15_aig.aig,1,1,1,145,21,3045,2603,1.169804,1,0,1.002,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_synthD20_aig,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_synthD20_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_synthD20_aig.aig,1,1,1,148,23,3404,2603,1.307722,1,0,1.198,"hand-written 2x2 product logic with balanced dot tree, exact q case",semantic_exact,
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_default,packed_u2_sum8_times2_to_e4m3,semantic_u2_sum8_popcount_threshold_fields_default,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/verilog/ex253_semantic_u2_sum8_popcount_threshold_fields.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_default.aig,1,1,1,131,19,2489,1845,1.349051,1,0,0.834,lane sum as low/high bit popcounts with threshold/field quantizer,semantic_exact,
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_abc_g_aig,packed_u2_sum8_times2_to_e4m3,semantic_u2_sum8_popcount_threshold_fields_abc_g_aig,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/verilog/ex253_semantic_u2_sum8_popcount_threshold_fields.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_abc_g_aig.aig,1,1,1,131,19,2489,1845,1.349051,1,0,0.802,lane sum as low/high bit popcounts with threshold/field quantizer,semantic_exact,
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_synth_preset,packed_u2_sum8_times2_to_e4m3,semantic_u2_sum8_popcount_threshold_fields_synth_preset,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/verilog/ex253_semantic_u2_sum8_popcount_threshold_fields.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_synth_preset.aig,1,1,1,126,31,3906,1845,2.117073,0,0,0.883,lane sum as low/high bit popcounts with threshold/field quantizer,semantic_exact,
