case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex244,ex244_semantic_hypot_sig_gap_delta_default,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_default,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_default.aig,1,1,1,358,37,13246,4272,3.100655,0,0,0.766,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_abc_g_aig.aig,1,1,1,344,36,12384,4272,2.898876,0,0,0.761,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_synth_preset,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_synth_preset.aig,1,1,1,339,38,12882,4272,3.015449,0,0,0.906,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_synth_preset_aig,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_synth_preset_aig.aig,1,1,1,327,38,12426,4272,2.908708,0,0,0.904,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_default,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_default,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_default.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.760,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig.aig,1,1,1,320,37,11840,4272,2.771536,0,0,0.759,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_synth_preset,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_synth_preset.aig,1,1,1,321,40,12840,4272,3.005618,0,0,0.877,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_synth_preset_aig,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_synth_preset_aig.aig,1,1,1,315,39,12285,4272,2.875702,0,0,0.895,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_orbits_default,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_orbits_default,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_orbits.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_orbits_default.aig,1,1,1,348,36,12528,4272,2.932584,0,0,0.774,hypot exact sig/gap delta bits as parallel OR-of-conditions,semantic_exact,hypot exact sig/gap delta bits as parallel OR-of-conditions
ex244,ex244_semantic_hypot_sig_gap_orbits_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_orbits_abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_orbits.v,student/work/ex244_frontend_fp8_hypot_sig_orbits_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_orbits_abc_g_aig.aig,1,1,1,338,36,12168,4272,2.848315,0,0,0.763,hypot exact sig/gap delta bits as parallel OR-of-conditions,semantic_exact,hypot exact sig/gap delta bits as parallel OR-of-conditions
