round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_shared_special_constants_abc_g_aig,shared_special_constants,4,16,reduce inactive/special decode cost,10743,19,204117,compact shared special-case constants; current normal path retained,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_mant_hi6_xor_residual_abc_g_aig,mant_hi6_xor_residual,3,16,test semantic base/residual sharing across all output bits,13555,20,271100,base_word_by_sign_exp_mant_hi6; xor residual by mant_lo4; base_items=1920; residual_items=30660; residual_const_groups=4,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_shared_special_constants_abc_g_aig,shared_special_constants,4,16,reduce inactive/special decode cost,11507,19,218633,compact shared special-case constants; current normal path retained,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_mant_hi6_xor_residual_abc_g_aig,mant_hi6_xor_residual,3,16,test semantic base/residual sharing across all output bits,13275,19,252225,base_word_by_sign_exp_mant_hi6; xor residual by mant_lo4; base_items=1920; residual_items=30645; residual_const_groups=5,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_step_onehot_low_region,residual_underflow_predicate_factoring,case_source_structural,8,shared denominator-nested boundary attributes with low path selected by exact step predicates,361,24,8664,sign/exponent/significand decode; denominator boundary attributes; low-pattern decoder,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_region_mask_blend,region_output_blend,case_source_structural,8,shared boundary attrs with region-hot masks for zero/saturation/low/linear outputs,363,24,8712,sign/exponent/significand decode; denominator boundary attributes; region predicates,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_zero_product_bypass,product_residual_special_shell,case_source_structural,8,"shared sign, exponent sum, significand product; explicit zero-product shell",355,24,8520,sign xor; effective exponent sum; 3-bit significand product; product-class residual,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_sorted_sig_product,commutative_product_decode,case_source_structural,8,reuse commutative significand order to expose shared product classes,386,27,10422,sign xor; effective exponent sum; sorted significand pair; product-class residual,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_sat_delta_case_tail,max_plus_delta_tail_factoring,case_source_structural,8,"reuse max-eff delta predicate network, factor only the saturation/add tail",483,34,16422,abs max/min decode; max_eff/gap/sig delta predicates; saturating delta add case,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_zero_guard_sat_delta_tail,max_plus_delta_tail_factoring,case_source_structural,8,reuse max-eff delta predicates with explicit zero magnitude bypass,483,34,16422,abs max/min decode; zero max guard; max_eff/gap/sig delta predicates; saturating delta case,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/shared_structure_report.csv
