case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex200,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,OK,3717,17,63189,63189,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,copied from verified BF16 current best registry during seed structure normalization
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,OK,1647,14,23058,23058,student/seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,copied from verified BF16 current best registry during seed structure normalization
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,OK,3478,16,55648,55648,student/seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,copied from verified BF16 current best registry during seed structure normalization
ex203,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,OK,4544,17,77248,77248,student/seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,copied from verified BF16 current best registry during seed structure normalization
ex204,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,OK,1545,17,26265,26265,student/seeds/bf16/ex200_ex219_current/ex204/aigs/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14.aig,copied from verified BF16 current best registry during seed structure normalization
ex205,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,OK,4463,17,75871,75871,student/seeds/bf16/ex200_ex219_current/ex205/aigs/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1.aig,copied from verified BF16 current best registry during seed structure normalization
ex206,ex206_bf16_sin_odd_pos_fullword_h4,OK,26872,21,564312,564312,student/seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,copied from verified BF16 current best registry during seed structure normalization
ex207,ex207_bf16_tan_odd_pos_fullword_expflip_h4,OK,29873,21,627333,627333,student/seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,copied from verified BF16 current best registry during seed structure normalization
ex208,ex208_bf16_sinh_default_in_const_excepts_h4,OK,2167,15,32505,32505,student/seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,copied from verified BF16 current best registry during seed structure normalization
ex209,ex209_bf16_tanh_sign_exp_default_expr_casez,OK,756,13,9828,9828,student/seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,copied from verified BF16 current best registry during seed structure normalization
ex210,ex210_bf16_sigmoid_const_default_3f80_h3,OK,2232,15,33480,33480,student/seeds/bf16/ex200_ex219_current/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,copied from verified BF16 current best registry during seed structure normalization
ex211,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,OK,273,11,3003,3003,student/seeds/bf16/ex200_ex219_current/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,copied from verified BF16 current best registry during seed structure normalization
ex212,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,OK,281,11,3091,3091,student/seeds/bf16/ex200_ex219_current/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,copied from verified BF16 current best registry during seed structure normalization
ex213,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,OK,346,11,3806,3806,student/seeds/bf16/ex200_ex219_current/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,copied from verified BF16 current best registry during seed structure normalization
ex214,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix,OK,337,11,3707,3707,student/seeds/bf16/ex200_ex219_current/ex214/aigs/ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix.aig,copied from verified BF16 current best registry during seed structure normalization
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,OK,390,12,4680,4680,student/seeds/bf16/ex200_ex219_current/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.aig,copied from verified BF16 current best registry during seed structure normalization
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,OK,444,13,5772,5772,student/seeds/bf16/ex200_ex219_current/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.aig,copied from verified BF16 current best registry during seed structure normalization
ex217,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,OK,623,13,8099,8099,student/seeds/bf16/ex200_ex219_current/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.aig,copied from verified BF16 current best registry during seed structure normalization
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9,OK,467,13,6071,6071,student/seeds/bf16/ex200_ex219_current/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9.aig,copied from verified BF16 current best registry during seed structure normalization
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,OK,623,15,9345,9345,student/seeds/bf16/ex200_ex219_current/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9.aig,copied from verified BF16 current best registry during seed structure normalization
