case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_default_raw,1,193,28,5404,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.abc.log; synth_sec=0.190; abc_sec=0.000; eval_sec=0.437
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_extra_share_raw,1,192,28,5376,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.abc.log; synth_sec=0.189; abc_sec=0.000; eval_sec=0.441
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_abc_g_aig_raw,1,175,28,4900,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.191; abc_sec=0.000; eval_sec=0.441
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_synth_preset_raw,1,193,27,5211,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.abc.log; synth_sec=0.294; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_default_raw,1,203,30,6090,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.abc.log; synth_sec=0.193; abc_sec=0.000; eval_sec=0.437
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_extra_share_raw,1,191,29,5539,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.abc.log; synth_sec=0.204; abc_sec=0.000; eval_sec=0.442
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,1,174,28,4872,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.190; abc_sec=0.000; eval_sec=0.435
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,1,190,28,5320,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.abc.log; synth_sec=0.304; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_effgap_split_delta_default_raw,1,186,30,5580,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/verilog/ex249_effgap_split_delta.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/aigs/ex249_ex249_effgap_split_delta_default_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_effgap_split_delta_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta_default_raw.abc.log; synth_sec=0.177; abc_sec=0.000; eval_sec=0.451
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_effgap_split_delta_extra_share_raw,1,189,29,5481,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/verilog/ex249_effgap_split_delta.v,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/aigs/ex249_ex249_effgap_split_delta_extra_share_raw.aig,student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_effgap_split_delta_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round49_20260613_0910/local-ex249-source-r49/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta_extra_share_raw.abc.log; synth_sec=0.182; abc_sec=0.000; eval_sec=0.445
