case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex297,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,,,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/notes/round25_dossier.md
ex297,unknown-large-r26,sparse correction over a shared linear/rotation base,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,,,ex297|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/notes/round25_dossier.md
ex299,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,,,ex299|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/notes/round25_dossier.md
ex299,unknown-large-r26,sparse correction over a shared linear/rotation base,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,,,ex299|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/notes/round25_dossier.md
ex294,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,stride2_prefix_delta_descriptor_grouped_bdd,shared stride2_prefix_delta key wires and grouped multi-output BDD roots,,,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/round25_dossier.md
ex294,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,stride2_suffix_delta_descriptor_grouped_bdd,shared stride2_suffix_delta key wires and grouped multi-output BDD roots,,,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/round25_dossier.md
ex294,unknown-large-r26,sparse correction over a shared linear/rotation base,stride2_prefix_delta_xor_rotr2_residual_bdd,shared stride2_prefix_delta key wires plus xor_rotr2 base and grouped residual BDD roots,,,ex294|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/round25_dossier.md
ex295,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,,,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/notes/round25_dossier.md
ex295,unknown-large-r26,sparse correction over a shared linear/rotation base,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,,,ex295|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/notes/round25_dossier.md
ex292,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,stride2_prefix_delta_descriptor_grouped_bdd,shared stride2_prefix_delta key wires and grouped multi-output BDD roots,,,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/notes/round25_dossier.md
