case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex200,bf16,bf16_exp_round22_new_normalizer,ex200|bf16_exp_round22_new_normalizer|no_candidate|shared_sign_exp_default_one_review|not_run|DAZ_exp_BF16_RNE_FTZ|blocked,BLOCKED_NO_CANDIDATE,no materially different exponent/mantissa normalizer identified without replaying prior low-value exact variants,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex200/diagnostics/ex200_round22_blocker_evidence.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex200/diagnostics/ex200_round22_blocker_evidence.md,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,no materially different exponent/mantissa normalizer identified without replaying prior low-value exact variants
ex204,bf16,bf16_log2_arithbase_delta_correction,ex204|bf16_log2_arithbase_delta_correction|hilo3_formulaeq_or_fullrun_bits_11_14|shared_expbase_selected_bits|yosys_abc_g_AND|DAZ_log2_BF16_RNE_FTZ|grouped_word,equivalent_but_bad_qor,both official evaluate.py OK but ADP 27900 and 28260 are worse than current frontend 25670,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,both official evaluate.py OK but ADP 27900 and 28260 are worse than current frontend 25670
ex204,bf16,bf16_log2_round22_file_first_precheck,ex204|bf16_log2_round22_file_first_precheck|diagnostic_only|shared_field_decode_review|not_run|DAZ_log2_BF16_RNE_FTZ|checkpoint,BLOCKED_NO_CANDIDATE,no Verilog candidate was defensible before the checkpoint; continue only with materially different shallow correction formula or exponent-zone sharing,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/diagnostics/ex204_round22_checkpoint_evidence.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/diagnostics/ex204_round22_checkpoint_evidence.md,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,no Verilog candidate was defensible before the checkpoint; continue only with materially different shallow correction formula or exponent-zone sharing
ex205,bf16,bf16_log10_expbase_delta_or_field_selected_sign,ex205|bf16_log10_round22_two_family_probe|hilo5_delta_and_sep_fields_e2_m5_s0_manual_bit15|shared_decode|yosys_abc_g_AND|DAZ_log10_BF16_RNE_FTZ|mixed,equivalent_but_bad_qor,official evaluate.py OK but ADP 113367 and 105996 are worse than current frontend 71104,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,official evaluate.py OK but ADP 113367 and 105996 are worse than current frontend 71104
ex218,bf16,bf16_reciprocal_cube_guarded_or_delta_selected_bit,ex218|bf16_reciprocal_cube_round22_two_family_probe|guarded_semantic_and_delta_pair_mode_hilo4_bit15_cmp|shared_decode|yosys_abc_g_AND|DAZ_reciprocal_cube_BF16_RNE_FTZ|mixed,equivalent_but_bad_qor,official evaluate.py OK but ADP 11448 and 7420 are worse than current frontend 5941,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round22_20260613_0218/agent_shards/bf16-r22/evaluation_results.csv,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,official evaluate.py OK but ADP 11448 and 7420 are worse than current frontend 5941
ex223,fp16,,ex223|fp16_log_non_nested_segment_mode_base_probe|diagnostic_blocker|shared_field_decode_plus_segment_shape_mode_base_metrics|not_run|DAZ_log_FP16_RNE_FTZ|blocked,BLOCKED_NO_CANDIDATE,positive-normal 9716 words; low12 residual distinct_sum 9691; hi3-hi6 repeated segment shapes 0; mode patch hi8 leaves 8532 exceptions,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex223/diagnostics/ex223_round22_blocker_evidence.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex223/diagnostics/ex223_round22_blocker_evidence.md,fp16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,positive-normal 9716 words; low12 residual distinct_sum 9691; hi3-hi6 repeated segment shapes 0; mode patch hi8 leaves 8532 exceptions
ex224,fp16,,ex224|fp16_log2_non_nested_segment_mode_base_probe|diagnostic_blocker|shared_field_decode_plus_segment_shape_mode_base_metrics|not_run|DAZ_log2_FP16_RNE_FTZ|blocked,BLOCKED_NO_CANDIDATE,positive-normal 9809 words; low12 residual distinct_sum 9795; hi3-hi7 repeated segment shapes 0; mode patch hi8 leaves 8652 exceptions,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex224/diagnostics/ex224_round22_blocker_evidence.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex224/diagnostics/ex224_round22_blocker_evidence.md,fp16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,positive-normal 9809 words; low12 residual distinct_sum 9795; hi3-hi7 repeated segment shapes 0; mode patch hi8 leaves 8652 exceptions
ex225,fp16,,ex225|fp16_log10_non_nested_segment_mode_base_probe|diagnostic_blocker|shared_field_decode_plus_segment_shape_mode_base_metrics|not_run|DAZ_log10_FP16_RNE_FTZ|blocked,BLOCKED_NO_CANDIDATE,positive-normal 9769 words; low12 residual distinct_sum 9745; hi3-hi6 repeated segment shapes 0; mode patch hi8 leaves 8653 exceptions,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex225/diagnostics/ex225_round22_blocker_evidence.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/fp16-r22/ex225/diagnostics/ex225_round22_blocker_evidence.md,fp16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,positive-normal 9769 words; low12 residual distinct_sum 9745; hi3-hi6 repeated segment shapes 0; mode patch hi8 leaves 8653 exceptions
ex240,float_fp8,E4M3FN packed add,ex240|E4M3FN packed add|round22 remain diagnostic no candidate|prior current-best and failed formula evidence|no_synth|exact_e4m3fn_add_high_plus_low|blocker,LOW_VALUE_REPLAY_AVOIDED,No materially different Verilog candidate was defensible after checking case notes and method judgments; replaying current same-GRS/diff-param or threshold/table/BDD variants would be source-identical or low-value.,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex240/notes/round22_ex240_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex240/notes/round22_ex240_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Officially evaluated prior evidence: round9 split-threshold OK 2098/146/306308; current best same-GRS/diff-param 590/51/30090; round2 formula diff-GRS NOT_EQUIV.
ex241,float_fp8,E4M3FN packed multiply,ex241|E4M3FN packed multiply|round22 remain diagnostic no candidate|prior nested-table and product-formula evidence|no_synth|exact_e4m3fn_mul_high_times_low|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; the nested product table, product formula, BDD, bit-table, and synthflow variants are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex241/notes/round22_ex241_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex241/notes/round22_ex241_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 536/29/15544, product formula overlay 534/40/21360, and formula exception 562/69/38778."
