case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rw_rf_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_rw_rf_dc2|preserve_current_frontend_structure_iterative_rewrite|rw_rf_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=28 adp=4704 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_rwz,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_rwz|preserve_current_frontend_structure_iterative_rewrite|dc2_rwz|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=28 adp=4704 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dch_dc2_rw,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_dch_dc2_rw|preserve_current_frontend_structure_iterative_rewrite|dch_dc2_rw|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=29 adp=4872 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drw_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_drw_dc2|preserve_current_frontend_structure_iterative_rewrite|drw_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=29 adp=4872 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drwz_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_drwz_dc2|preserve_current_frontend_structure_iterative_rewrite|drwz_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=29 adp=4872 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow fraig_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_fraig_dc2|preserve_current_frontend_structure_iterative_rewrite|fraig_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=29 adp=4872 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rewrite_loop3,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_rewrite_loop3|preserve_current_frontend_structure_iterative_rewrite|rewrite_loop3|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=26 adp=4368 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_dch_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_dch_dc2|preserve_current_frontend_structure_iterative_rewrite|dc2_dch_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=29 adp=4872 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rfz_rwz_only,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_rfz_rwz_only|preserve_current_frontend_structure_iterative_rewrite|rfz_rwz_only|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=26 adp=4368 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dch_put,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_&dch_put|preserve_current_frontend_structure_iterative_rewrite|&dch_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=26 adp=4368 old=4368,strengthened synth-flow candidate
ex249,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dc2_put,preserves current frontend high-level structure; iterative ABC command sequence,ex249|frontend_synthflow_micro_from_current_best|abc_strengthened_&dc2_put|preserve_current_frontend_structure_iterative_rewrite|&dc2_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=168 delay=26 adp=4368 old=4368,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rw_rf_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_rw_rf_dc2|preserve_current_frontend_structure_iterative_rewrite|rw_rf_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=526 delay=27 adp=14202 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_rwz,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_rwz|preserve_current_frontend_structure_iterative_rewrite|dc2_rwz|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=529 delay=27 adp=14283 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dch_dc2_rw,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_dch_dc2_rw|preserve_current_frontend_structure_iterative_rewrite|dch_dc2_rw|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=527 delay=27 adp=14229 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drw_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_drw_dc2|preserve_current_frontend_structure_iterative_rewrite|drw_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=530 delay=27 adp=14310 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drwz_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_drwz_dc2|preserve_current_frontend_structure_iterative_rewrite|drwz_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=528 delay=27 adp=14256 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow fraig_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_fraig_dc2|preserve_current_frontend_structure_iterative_rewrite|fraig_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=530 delay=27 adp=14310 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rewrite_loop3,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_rewrite_loop3|preserve_current_frontend_structure_iterative_rewrite|rewrite_loop3|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=529 delay=28 adp=14812 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_dch_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_dch_dc2|preserve_current_frontend_structure_iterative_rewrite|dc2_dch_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=522 delay=27 adp=14094 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rfz_rwz_only,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_rfz_rwz_only|preserve_current_frontend_structure_iterative_rewrite|rfz_rwz_only|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=530 delay=28 adp=14840 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dch_put,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_&dch_put|preserve_current_frontend_structure_iterative_rewrite|&dch_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=527 delay=27 adp=14229 old=14896,strengthened synth-flow candidate
ex241,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dc2_put,preserves current frontend high-level structure; iterative ABC command sequence,ex241|frontend_synthflow_micro_from_current_best|abc_strengthened_&dc2_put|preserve_current_frontend_structure_iterative_rewrite|&dc2_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=530 delay=27 adp=14310 old=14896,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rw_rf_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_rw_rf_dc2|preserve_current_frontend_structure_iterative_rewrite|rw_rf_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1249 delay=21 adp=26229 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_rwz,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_rwz|preserve_current_frontend_structure_iterative_rewrite|dc2_rwz|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1253 delay=21 adp=26313 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dch_dc2_rw,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_dch_dc2_rw|preserve_current_frontend_structure_iterative_rewrite|dch_dc2_rw|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1249 delay=21 adp=26229 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drw_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_drw_dc2|preserve_current_frontend_structure_iterative_rewrite|drw_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1253 delay=21 adp=26313 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drwz_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_drwz_dc2|preserve_current_frontend_structure_iterative_rewrite|drwz_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1248 delay=22 adp=27456 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow fraig_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_fraig_dc2|preserve_current_frontend_structure_iterative_rewrite|fraig_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1253 delay=21 adp=26313 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rewrite_loop3,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_rewrite_loop3|preserve_current_frontend_structure_iterative_rewrite|rewrite_loop3|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1252 delay=20 adp=25040 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_dch_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_dch_dc2|preserve_current_frontend_structure_iterative_rewrite|dc2_dch_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1247 delay=21 adp=26187 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rfz_rwz_only,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_rfz_rwz_only|preserve_current_frontend_structure_iterative_rewrite|rfz_rwz_only|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1255 delay=20 adp=25100 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dch_put,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_&dch_put|preserve_current_frontend_structure_iterative_rewrite|&dch_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1252 delay=20 adp=25040 old=25140,strengthened synth-flow candidate
ex242,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow &dc2_put,preserves current frontend high-level structure; iterative ABC command sequence,ex242|frontend_synthflow_micro_from_current_best|abc_strengthened_&dc2_put|preserve_current_frontend_structure_iterative_rewrite|&dc2_put|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=1254 delay=20 adp=25080 old=25140,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rw_rf_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_rw_rf_dc2|preserve_current_frontend_structure_iterative_rewrite|rw_rf_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=299 delay=33 adp=9867 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dc2_rwz,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_dc2_rwz|preserve_current_frontend_structure_iterative_rewrite|dc2_rwz|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=298 delay=32 adp=9536 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow dch_dc2_rw,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_dch_dc2_rw|preserve_current_frontend_structure_iterative_rewrite|dch_dc2_rw|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=298 delay=32 adp=9536 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drw_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_drw_dc2|preserve_current_frontend_structure_iterative_rewrite|drw_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=298 delay=33 adp=9834 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow drwz_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_drwz_dc2|preserve_current_frontend_structure_iterative_rewrite|drwz_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=299 delay=34 adp=10166 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow fraig_dc2,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_fraig_dc2|preserve_current_frontend_structure_iterative_rewrite|fraig_dc2|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=298 delay=33 adp=9834 old=9900,strengthened synth-flow candidate
ex244,float_fp8,local-abc-r29,frontend synth-flow strengthened from current best,ABC strengthened flow rewrite_loop3,preserves current frontend high-level structure; iterative ABC command sequence,ex244|frontend_synthflow_micro_from_current_best|abc_strengthened_rewrite_loop3|preserve_current_frontend_structure_iterative_rewrite|rewrite_loop3|official_evaluate|full_word,current frontend sharing retained; ABC transformed AIG,area=299 delay=32 adp=9568 old=9900,strengthened synth-flow candidate
