case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex240,ex240_semantic_add_same_delta_diff_norm_default,fp8_e4m3fn_add,semantic_add_same_delta_diff_norm_default,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_same_delta_diff_norm.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_same_delta_diff_norm_default.aig,1,1,1,1129,90,101610,13299,7.640424,0,0,1.512,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer",semantic_exact,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer"
ex240,ex240_semantic_add_same_delta_diff_norm_abc_g_aig,fp8_e4m3fn_add,semantic_add_same_delta_diff_norm_abc_g_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_same_delta_diff_norm.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_same_delta_diff_norm_abc_g_aig.aig,1,1,1,1091,89,97099,13299,7.301226,0,0,1.505,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer",semantic_exact,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer"
ex240,ex240_semantic_add_same_delta_diff_norm_synth_preset,fp8_e4m3fn_add,semantic_add_same_delta_diff_norm_synth_preset,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_same_delta_diff_norm.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_same_delta_diff_norm_synth_preset.aig,1,1,1,1091,90,98190,13299,7.383262,0,0,3.174,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer",semantic_exact,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer"
ex240,ex240_semantic_add_same_delta_diff_norm_synth_preset_aig,fp8_e4m3fn_add,semantic_add_same_delta_diff_norm_synth_preset_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_same_delta_diff_norm.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_same_delta_diff_norm_synth_preset_aig.aig,1,1,1,1056,89,93984,13299,7.066998,0,0,2.504,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer",semantic_exact,"add same-sign exact sig/gap delta, diff-sign arithmetic normalizer"
ex240,ex240_semantic_add_field_delta_default,fp8_e4m3fn_add,semantic_add_field_delta_default,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_field_delta.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_field_delta_default.aig,1,1,1,2785,40,111400,13299,8.376570,0,0,8.092,add same-sign sig/gap delta and diff-sign field correction table,semantic_exact,add same-sign sig/gap delta and diff-sign field correction table
ex240,ex240_semantic_add_field_delta_abc_g_aig,fp8_e4m3fn_add,semantic_add_field_delta_abc_g_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_field_delta.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_field_delta_abc_g_aig.aig,1,1,1,2758,40,110320,13299,8.295361,0,0,7.969,add same-sign sig/gap delta and diff-sign field correction table,semantic_exact,add same-sign sig/gap delta and diff-sign field correction table
ex240,ex240_semantic_add_field_delta_synth_preset,fp8_e4m3fn_add,semantic_add_field_delta_synth_preset,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_field_delta.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_field_delta_synth_preset.aig,1,1,1,2732,43,117476,13299,8.833446,0,0,9.605,add same-sign sig/gap delta and diff-sign field correction table,semantic_exact,add same-sign sig/gap delta and diff-sign field correction table
ex240,ex240_semantic_add_field_delta_synth_preset_aig,fp8_e4m3fn_add,semantic_add_field_delta_synth_preset_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/verilog/ex240_semantic_add_field_delta.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex240/aigs/ex240_semantic_add_field_delta_synth_preset_aig.aig,1,1,1,2713,40,108520,13299,8.160012,0,0,9.621,add same-sign sig/gap delta and diff-sign field correction table,semantic_exact,add same-sign sig/gap delta and diff-sign field correction table
ex241,ex241_semantic_mul_product_formula_exception_default,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_default,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_default.aig,1,1,1,610,71,43310,7224,5.995293,0,0,0.959,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_abc_g_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_abc_g_aig.aig,1,1,1,591,71,41961,7224,5.808555,0,0,0.958,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_synth_preset,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_synth_preset,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_synth_preset.aig,1,1,1,572,69,39468,7224,5.463455,0,0,1.223,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_synth_preset_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_synth_preset_aig.aig,1,1,1,562,69,38778,7224,5.367940,0,0,1.202,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_field_unsorted_default,fp8_e4m3fn_mul,semantic_mul_field_unsorted_default,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_default.aig,1,1,1,1479,21,31059,7224,4.299419,0,0,1.551,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_field_unsorted_abc_g_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_abc_g_aig.aig,1,1,1,1476,20,29520,7224,4.086379,0,0,1.580,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_synth_preset,fp8_e4m3fn_mul,semantic_mul_field_unsorted_synth_preset,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_synth_preset.aig,1,1,1,1438,21,30198,7224,4.180233,0,0,1.871,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_field_unsorted_synth_preset_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_synth_preset_aig.aig,1,1,1,1423,20,28460,7224,3.939646,0,0,1.933,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex243,ex243_semantic_fmod_arith_mod_default,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_arith_mod_default,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/verilog/ex243_semantic_fmod_arith_mod.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/aigs/ex243_semantic_fmod_arith_mod_default.aig,1,1,1,2158,399,861042,53227,16.176790,0,0,4.367,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer",semantic_exact,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer"
ex243,ex243_semantic_fmod_arith_mod_abc_g_aig,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_arith_mod_abc_g_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/verilog/ex243_semantic_fmod_arith_mod.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/aigs/ex243_semantic_fmod_arith_mod_abc_g_aig.aig,1,1,1,1865,399,744135,53227,13.980405,0,0,4.317,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer",semantic_exact,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer"
ex243,ex243_semantic_fmod_arith_mod_synth_preset,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_arith_mod_synth_preset,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/verilog/ex243_semantic_fmod_arith_mod.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/aigs/ex243_semantic_fmod_arith_mod_synth_preset.aig,1,1,1,2185,400,874000,53227,16.420238,0,0,4.450,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer",semantic_exact,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer"
ex243,ex243_semantic_fmod_arith_mod_synth_preset_aig,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_arith_mod_synth_preset_aig,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/verilog/ex243_semantic_fmod_arith_mod.v,student/work/ex240_ex243_frontend_fp8_deep_struct2_20260608_1253/ex243/aigs/ex243_semantic_fmod_arith_mod_synth_preset_aig.aig,1,1,1,1855,400,742000,53227,13.940293,0,0,4.471,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer",semantic_exact,"fmod via decoded integer magnitudes, Verilog modulus, and FP8 quantizer"
