case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex280,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,quartic_gf2_event_filter,,small_roots_balanced_abc_g_aig,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.json,1,1,OK,135,29,3915,2415,1.621118,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/agent_shards/unknown-gf2-agent/candidates.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/verilog/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/logs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,83a4228838cdeebf21f23289019cd807c5eb5b65bf60271b2e0cca202278478a,e2f1d514d65e136ef39b0a82c1f9d073ab4475beff18789df9ecb56d7297f303,coord_width=17; candidate_products=7240; unique_products=36; roots=22; selected_terms=41; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 4096 rows; hash=ec3b18668ee4
ex280,ex280_r6_stride_roots_delay_linfact_abc_g_aig,quartic_gf2_event_filter,,stride_roots_delay_linfact,ex280|quartic_gf2_event_filter|overlap_stride_boundary_root_product_basis|shared_stride_boundary_linear_roots_with_factored_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_delay_weighted_root_products,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_r6_stride_roots_delay_linfact_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_r6_stride_roots_delay_linfact_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_r6_stride_roots_delay_linfact_abc_g_aig.json,1,1,OK,186,24,4464,2415,1.848447,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round6_20260612_1807/agent_shards/unknown-a-r6/candidates.csv,ex200_ex299_frontend_refgap_round6_20260612_1807,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/unknown-a-r6/ex280/verilog/ex280_r6_stride_roots_delay_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/unknown-a-r6/ex280/aigs/ex280_r6_stride_roots_delay_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/unknown-a-r6/ex280/logs/ex280_r6_stride_roots_delay_linfact_abc_g_aig.evaluate.log,e8ef8e6b22e4e4098f743eaa0e02b366f9d4da51b480ec7d8deab00a37919049,a265114a34ead56fcddbf5535a1fe5bbe2520fd34480956e7e1dfa2b42752b70,coord_width=17; root_pool=stride_boundary_neighbor; candidate_products=16463; unique_products=40; roots=22; selected_terms=45; linear_correction_bits=2; terms_by_bit=1:3:2:2:2:2:2:3:7:8:5:8; exact Python model over 4096 truth rows; hash=54e671ad23f1
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,unknown_quadratic_compressor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.json,1,1,OK,152,31,4712,2415,1.951139,0,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,,e3c206725b96a80d9475bc462f7dd43e68b078922c24fec3e7a597b3336fef58,8617c011c2403749b340b31b1bcdde936729c5746409480793d5cb2c0b1bd25b,Yosys abc gate set aig
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.json,1,1,OK,162,31,5022,2415,2.079503,0,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,ex280_ex284_frontend_quadratic_compressor_20260609_0216,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,,3d302c0e3a56eaf06206aed37a61d11a8f70f37a45973c2a84d40bf2c801ba29,8617c011c2403749b340b31b1bcdde936729c5746409480793d5cb2c0b1bd25b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_simplified_boundary,ex280|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.json,1,1,OK,171,31,5301,2415,2.195031,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_parallel_shared_20260612_1422/agent_shards/unknown-a-agent/candidates.csv,ex200_ex299_frontend_parallel_shared_20260612_1422,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/logs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.evaluate.log,6607f27ae27b3c2250723359bd503d29faa12fb19982f64d69c21aabbc4d61d7,0c84d9f46b73af696d64e6bcb360f7da2e49e2130b801f86f485d33b515c340b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,unknown_muxcoord_anf,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.json,1,1,OK,185,29,5365,2415,2.221532,0,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/unknown/ex280_ex284_frontend_muxcoord_keychain_simplified_synthflow_20260609_0142/results/best.csv,ex280_ex284_frontend_muxcoord_keychain_simplified_synthflow_20260609_0142,student/work/ex280_ex284_frontend_muxcoord_keychain_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_keychain_simplified_synthflow_20260609_0142/ex280/aigs/ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,,8f2a29f69a5c30d968200d727c7e61bba565c7bff7e38dd2035d2602795f5b56,f4291a9f309898a3f396668caacc871627d6632052d0c131fd6d8035c8c3d122,Yosys abc gate set aig
ex281,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,quartic_gf2_event_filter,,mixed_roots_delaycap_balanced_linear_factored_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/verilog/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/aigs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/metadata/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.json,1,1,OK,128,26,3328,2336,1.424658,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unknown-gf2-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/verilog/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/aigs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/logs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.evaluate.log,bc773ce8013bd674109a2d9ffca0492707d0e82e28346f94a6f5e9168a5da649,17947b2e554804a7a3d217f0145e5f975cc3f1d6f568a341c4aea76ee959bb76,coord_width=18; candidate_products=20318; unique_products=25; roots=30; selected_terms=28; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small; hash_pending=1; exact Python model over 8192 rows; hash=b15f5758694b
ex281,ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig,quartic_gf2_event_filter,,small_roots_balanced_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/verilog/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/aigs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/metadata/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.json,1,1,OK,166,29,4814,2336,2.060788,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/agent_shards/unknown-gf2-agent/candidates.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/verilog/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/aigs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/logs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,a0e1d30cabbfa6d73c1a447a79afbbddf9e07e8056784f89b624e61e5609dd15,c704cc91418cc28fd83edfe5f5925f913e400c34f007c6064d2daadce4e81552,coord_width=18; candidate_products=8342; unique_products=38; roots=24; selected_terms=43; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 8192 rows; hash=52db2f74c162
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,unknown_quadratic_compressor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/verilog/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/metadata/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.json,1,1,OK,161,34,5474,2336,2.343322,0,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,,b6356288a8c129089986abcd7aac4c7aea3ef69195d97031c5eef981eb31d166,21268fd37f75a5d86113b198cb508953c4ab7a10531b64e9e87fec0a2d72cf50,Yosys abc gate set aig
ex281,ex281_r10_kept_gf2_monomial_bank_abc_g_aig,quartic_gf2_event_filter,,,ex281|quartic_gf2_event_filter|small_roots_kept_monomial_bank|kept_shared_root_product_and_linear_form_bank|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|grouped_output_xor_from_preserved_monomial_bank,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/verilog/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/aigs/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/metadata/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.json,1,1,OK,189,29,5481,2336,2.346318,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round10_20260612_1911/agent_shards/unknown-gf-r10/candidates.csv,ex200_ex299_frontend_refgap_round10_20260612_1911,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/verilog/ex281_r10_kept_gf2_monomial_bank.v,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/aigs/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-gf-r10/ex281/logs/ex281_r10_kept_gf2_monomial_bank_abc_g_aig.evaluate.log,465858047e0ee5a6355a7f6f9582f35766d0db01ab08385fd244a8a74ccedee8,6fcda7276a04287c368a19b9abede982e4edad33dda245eb9443a8a5000ed5cd,equivalent but no frontend/reference improvement; delay improves but area rises too much
