case,priority,hypothesis,evidence,next_experiment,excluded_or_deprioritized
ex280,1,selected-bit or support-limited LUT decomposition,2/12 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex280,2,non-half split/default structure,rotate0_low11 exceptions=1470 fraction=0.358887,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex280,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=436,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex281,1,selected-bit or support-limited LUT decomposition,2/13 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex281,2,non-half split/default structure,rotate0_low12 exceptions=2936 fraction=0.358398,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex281,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=511,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex282,1,selected-bit or support-limited LUT decomposition,2/14 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex282,2,non-half split/default structure,rotate0_low13 exceptions=5888 fraction=0.359375,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex282,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=591,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex283,1,selected-bit or support-limited LUT decomposition,2/15 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex283,2,non-half split/default structure,rotate0_low14 exceptions=11760 fraction=0.358887,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex283,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=672,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex284,1,selected-bit or support-limited LUT decomposition,2/16 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex284,2,non-half split/default structure,rotate0_low15 exceptions=23544 fraction=0.359253,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
