agent_id,case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,reference_adp,ratio_to_reference,candidate_id,method_signature,verilog_path,aig_path,evaluate_log
unknown-hard-r4,ex286,unknown,20190,1346,15,2376,8.497475,ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|explicit_outer_bitset_symcof_f00_bits_0_12_1_10|multi_pair_orand_key_classonehot|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_class_mux,student/work/ex286_frontend_symcof_bitset_probe_20260612_1820/coordinator/ex286/verilog/ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group.v,student/work/ex286_frontend_symcof_bitset_probe_20260612_1820/coordinator/ex286/aigs/ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig.aig,student/work/ex286_frontend_symcof_bitset_probe_20260612_1820/coordinator/ex286/logs/ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig.evaluate.py.log
unknown-hard-r4,ex287,unknown,26880,1680,16,5782,4.648910,ex287_deep_k4_vector_case_plain,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k4_vector_case_mux|lower-area k4 group BDD cofactors selected by one full-word case mux|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_case_mux,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/verilog/ex287_deep_k4_vector_case_plain.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/aigs/ex287_deep_k4_vector_case_plain.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/logs/ex287_deep_k4_vector_case_plain.evaluate.py.log
unknown-large-r4,ex285,unknown,12800,800,16,5499,2.327696,ex285_uc_boundary_alt_0_2_9_11,"frontend_hybrid:base=decision_tree_current;donor=route_decode_helper_boundary;donor_bits=0,2,9,11;synth=abc_g_aig",student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/verilog/ex285_uc_boundary_alt_0_2_9_11.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/aigs/ex285_uc_boundary_alt_0_2_9_11.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/logs/ex285_uc_boundary_alt_0_2_9_11.evaluate.py.log
unknown-large-r4,ex288,unknown,31598,2257,14,16394,1.927412,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,ex288|frontend|frontend_keybdd_selected_synth,student/work/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6_onehot_group_keybdd_7.v,student/work/ex286_ex288_frontend_keybdd_selected_synthflow_20260609_1450/ex288/aigs/ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig.aig,
unknown-large-r4,ex292,unknown,135780,6789,20,84854,1.600160,ex292_r25_bdd_mod4_output_planes_abc_g_aig,ex292|global_state_transform_regrouped_bdd_roots|mod4_output_planes|four_scalar_BDD_pools_grouped_by_output_bit_modulo_4|abc_g_aig|official_truth_exact_bdd|mod4_output_planes,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex292/verilog/ex292_r25_bdd_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex292/eval/ex292_r25_bdd_mod4_output_planes_abc_g_aig/ex292.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex292/logs/ex292_r25_bdd_mod4_output_planes_abc_g_aig.evaluate.py.log
unknown-large-r4,ex294,unknown,234608,10664,22,133365,1.759142,ex294_r81_octant_plane_descriptor_cofactor,ex294|global_state_octant_descriptor_cofactor|octant_plane_source_mux|shared_endpoint_midpoint_descriptor_selects_even_plane|yosys_internal_abc_g_aig|official_evaluate|even_plane_0_2_4_6_8_10_12_14,student/work/frontend_radical_parallel_round81_20260613_1958/sub-unknown-descriptor-r81/ex294/verilog/ex294_r81_octant_plane_descriptor_cofactor.v,student/work/frontend_radical_parallel_round81_20260613_1958/sub-unknown-descriptor-r81/ex294/aigs/ex294_r81_octant_plane_descriptor_cofactor.aig,student/work/frontend_radical_parallel_round81_20260613_1958/sub-unknown-descriptor-r81/ex294/logs/ex294_r81_octant_plane_descriptor_cofactor.evaluate.py.log
unknown-large-r4,ex297,unknown,425024,26564,16,225900,1.881470,ex297_r73_pairsel_cell_bit_template,ex297|cyclic_2bit_selector_state_paired_classes|pairsel_cell_bit_template|cell_default_and_bit_default_templates_selected_by_selector_pair_xor|yosys_internal_abc_g_aig|official_evaluate|cell_pair_outputs,student/work/frontend_source_parallel_round73_20260613_1414/sub-unknown-state-r73/ex297/verilog/ex297_r73_pairsel_cell_bit_template.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-unknown-state-r73/ex297/aigs/ex297_r73_pairsel_cell_bit_template.aig,student/work/frontend_source_parallel_round73_20260613_1414/sub-unknown-state-r73/ex297/logs/ex297_r73_pairsel_cell_bit_template.evaluate.py.log
unknown-large-r4,ex299,unknown,1774260,98570,18,1013807,1.750096,ex299_uc_celllocal_quad_6_7_8_9,"frontend_hybrid:base=static_celllocal_pair89;donor=sel2_celllocal_cluster_static;donor_bits=6,7,8,9;synth=abc_g_aig",student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/verilog/ex299_uc_celllocal_quad_6_7_8_9.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/aigs/ex299_uc_celllocal_quad_6_7_8_9.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/logs/ex299_uc_celllocal_quad_6_7_8_9.evaluate.py.log
fp8-tail-transfer-r2,ex241,float_fp8,15544,536,29,7224,2.151717,ex241_semantic_mul_product_nested_exp_synth_preset_aig,ex241|frontend|frontend_fp8_nested_tables_fix,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig.aig,
fp8-tail-transfer-r2,ex244,float_fp8,10234,301,34,4272,2.395599,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,ex244|frontend|frontend_fp8_magbdd_deltaeff,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.aig,
fp8-tail-transfer-r2,ex246,float_fp8,7502,341,22,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,ex246|frontend|frontend_fp8_e5m2_dc_neighbor12,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig,
fp8-tail-transfer-r2,ex247,float_fp8,6526,251,26,2975,2.193613,ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-only bound table with minimized low-underflow predicates|derived region predicates and compact pat/step low residual share the tail table|abc_g_aig_frontend|official_evaluate|tail_direct_min_lowpred,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/verilog/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/aigs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.evaluate.py.log
fp8-tail-transfer-r2,ex249,float_fp8,4368,168,26,2079,2.101010,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,ex249|frontend|frontend_fp8_e5m2_curated,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig,
fp8-semantic-r2,ex240,float_fp8,26230,610,43,13299,1.972329,ex240_r64_signmag_selected_output_factor_synth_preset,ex240|E4M3FN packed add|ex240_r64_signmag_selected_output_factor|shared field decode diff-normalizer and selected-output factoring|repo_yosys_frontend|official_evaluate|full_word|synth_preset,student/work/frontend_source_parallel_round64_20260613_1004/sub-mixed-diffroute-r64/ex240/verilog/ex240_r64_signmag_selected_output_factor.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-mixed-diffroute-r64/ex240/aigs/ex240_r64_signmag_selected_output_factor_synth_preset.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-mixed-diffroute-r64/ex240/logs/ex240_r64_signmag_selected_output_factor_synth_preset.evaluate.py.log
fp8-semantic-r2,ex245,float_fp8,23834,701,34,11050,2.156923,ex245_semantic_add_gap_class_synth_preset_aig,ex245|frontend|frontend_fp8_e5m2_curated,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig.aig,
fp8-semantic-r2,ex248,float_fp8,7938,294,27,4180,1.899043,ex248_r26r_fmod_norm_by_rem_abc_g_aig,ex248|E5M2FN packed fmod low mod high|periodic residue with cofactored normalizer by remainder|shared divisor-period residue and rem-first normalization tables|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|rem_cofactored_norm|fp8_rounding_r26,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/verilog/ex248_r26r_fmod_norm_by_rem_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/aigs/ex248_r26r_fmod_norm_by_rem_abc_g_aig.aig,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_norm_by_rem_abc_g_aig.evaluate.py.log
arith-unary-r2,ex204,bf16,24576,1536,16,15180,1.618972,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,ex204|bf16_log2_arithbase_delta_bitgroup_flow_neighbor|hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow|shared exponent base plus selected output-bit correction tables|abc_g_aig|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/logs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.evaluate.py.log
arith-unary-r2,ex205,bf16,71040,4440,16,47128,1.507384,ex205_r97_sf_e3m3_b14_15_abc_g_aig,ex205|selected_output_extra_bit|sep_fields_e3_m3_s0_bits_14_15_bh1|current-style field decode plus non-sign selected bit14 and sign bit15 predicates|abc_g_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|separate output fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e3m3_b14_15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.evaluate.py.log
