case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex200,4,ex200_bf16_exp_semantic_exp_default_one_casez_saturation,3717,17,63189,40052,1.577674,ex200_bf16_exp_semantic_exp_default_one_casez_saturation;ex200_bf16_exp_semantic_exp_default_one_overrides;ex200_bf16_exp_semantic_exp_default_one_per_exp_mode;ex200_bf16_exp_semantic_exp_default_one_casez_active_first
ex201,3,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1,1655,14,23170,16300,1.421472,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1;ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp;ex201_bf16_exp2_hilo2_field_mode
ex202,3,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14,3488,16,55808,43344,1.287560,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14;ex202_bf16_exp10_sep_fields_e3_m3_s0;ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4
ex203,3,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla,4571,17,77707,56948,1.364526,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla;ex203_bf16_log_sep_fields_e2_m3_s3;ex203_bf16_log_hilo3_word_mode_bits_14_bh3
ex204,4,ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_9_11_14_pla,1587,17,26979,15180,1.777273,ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_9_11_14_pla;ex204_bf16_log2_delta_pair_first_hilo3_formula_bits_14;ex204_bf16_log2_delta_pair_first_hilo3_bits_14_bh3;ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_9_11_14
ex205,4,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2,4463,17,75871,47128,1.609892,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2;ex205_bf16_log10_bitplanes_h3;ex205_bf16_log10_hilo3_word_mode;ex205_bf16_log10_legacy_positive_default_exp_mant_case
ex206,4,ex206_bf16_sin_split_sign_word_mixed_h5_h6special,26999,21,566979,539049,1.051813,ex206_bf16_sin_split_sign_word_mixed_h5_h6special;ex206_bf16_sin_split_sign_sep_fields_e3_m4_s3;ex206_bf16_sin_hilo4_word_mode;ex206_bf16_sin_default_in_excepts_h3
ex207,4,ex207_bf16_tan_split_sign_word_mixed_h5_h6special,30193,21,634053,627817,1.009933,ex207_bf16_tan_split_sign_word_mixed_h5_h6special;ex207_bf16_tan_split_sign_sep_fields_e4_m4_s3;ex207_bf16_tan_delta_pair_first_hilo3;ex207_bf16_tan_default_in_excepts_h3
ex208,4,ex208_bf16_sinh_legacy_split_sign_exp_mant_case,2208,15,33120,24505,1.351561,ex208_bf16_sinh_legacy_split_sign_exp_mant_case;ex208_bf16_sinh_odd_pos_fields_e3_m3;ex208_bf16_sinh_odd_pos_fullword_h4;ex208_bf16_sinh_delta_pair_first_hilo3
ex209,4,ex209_bf16_tanh_legacy_sign_exp_default_expr_case,765,13,9945,7320,1.358607,ex209_bf16_tanh_legacy_sign_exp_default_expr_case;ex209_bf16_tanh_delta_pair_first_hilo3;ex209_bf16_tanh_odd_pos_word_h3;ex209_bf16_tanh_odd_pos_fields_e3_m3
ex210,4,ex210_bf16_sigmoid_const_default_0000_h3,2246,15,33690,27053,1.245333,ex210_bf16_sigmoid_const_default_0000_h3;ex210_bf16_sigmoid_const_default_3f00_h3_first;ex210_bf16_sigmoid_sep_fields_e3_m3_s0;ex210_bf16_sigmoid_aggr_semantic_field_reassembly
ex211,4,ex211_bf16_reciprocal_aggr_semantic_positive_symmetry_fields,275,11,3025,2136,1.416199,ex211_bf16_reciprocal_aggr_semantic_positive_symmetry_fields;ex211_bf16_reciprocal_hand_recip_formula_mant_lut;ex211_bf16_reciprocal_hand_recip_formula_signmag_add_lut;ex211_bf16_reciprocal_legacy_exp_mant_delta_pair
ex212,4,ex212_bf16_square_delta_pair_mode_hilo4,282,11,3102,2304,1.346354,ex212_bf16_square_delta_pair_mode_hilo4;ex212_bf16_square_delta_pair_first_hilo4;ex212_bf16_square_legacy_exp_mant_delta_pair;ex212_bf16_square_arith_semantic_fields
