case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex246,ex246_semantic_mul_nested_exp_default,fp8_e5m2fn_mul,semantic_mul_nested_exp_default,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_nested_exp.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_nested_exp_default.aig,1,1,1,434,24,10416,2805,3.713369,0,0,1.045,E5M2FN multiply: exponent sum and 3-bit significand product,semantic_exact,
ex246,ex246_semantic_mul_nested_exp_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_nested_exp_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_nested_exp.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_nested_exp_abc_g_aig.aig,1,1,1,431,23,9913,2805,3.534046,0,0,1.055,E5M2FN multiply: exponent sum and 3-bit significand product,semantic_exact,
ex246,ex246_semantic_mul_nested_exp_synth_preset,fp8_e5m2fn_mul,semantic_mul_nested_exp_synth_preset,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_nested_exp.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_nested_exp_synth_preset.aig,1,1,1,410,23,9430,2805,3.361854,0,0,1.127,E5M2FN multiply: exponent sum and 3-bit significand product,semantic_exact,
ex246,ex246_semantic_mul_nested_exp_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_nested_exp_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_nested_exp.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_nested_exp_synth_preset_aig.aig,1,1,1,408,23,9384,2805,3.345455,0,0,1.130,E5M2FN multiply: exponent sum and 3-bit significand product,semantic_exact,
ex246,ex246_semantic_mul_formula_norm_default,fp8_e5m2fn_mul,semantic_mul_formula_norm_default,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_formula_norm.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_formula_norm_default.aig,1,1,1,424,41,17384,2805,6.197504,0,0,0.900,E5M2FN multiply: hand-written product lead/RNE normalizer,semantic_exact,
ex246,ex246_semantic_mul_formula_norm_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_formula_norm_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_formula_norm.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_formula_norm_abc_g_aig.aig,1,1,1,421,41,17261,2805,6.153654,0,0,0.898,E5M2FN multiply: hand-written product lead/RNE normalizer,semantic_exact,
ex246,ex246_semantic_mul_formula_norm_synth_preset,fp8_e5m2fn_mul,semantic_mul_formula_norm_synth_preset,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_formula_norm.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_formula_norm_synth_preset.aig,1,1,1,421,38,15998,2805,5.703387,0,0,1.076,E5M2FN multiply: hand-written product lead/RNE normalizer,semantic_exact,
ex246,ex246_semantic_mul_formula_norm_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_formula_norm_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_formula_norm.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_formula_norm_synth_preset_aig.aig,1,1,1,407,38,15466,2805,5.513725,0,0,1.050,E5M2FN multiply: hand-written product lead/RNE normalizer,semantic_exact,
ex246,ex246_semantic_mul_product_class_default,fp8_e5m2fn_mul,semantic_mul_product_class_default,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_product_class.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_product_class_default.aig,1,1,1,358,24,8592,2805,3.063102,0,0,0.889,E5M2FN multiply: product class exponent-offset formula,semantic_exact,
ex246,ex246_semantic_mul_product_class_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_product_class_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/verilog/ex246_semantic_mul_product_class.v,student/work/ex246_frontend_fp8_e5m2_mul_sigpair_class_20260608_1636/ex246/aigs/ex246_semantic_mul_product_class_abc_g_aig.aig,1,1,1,355,24,8520,2805,3.037433,0,0,0.932,E5M2FN multiply: product class exponent-offset formula,semantic_exact,
