case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex285,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_image_class_shared_bdd_decode.evaluate.py.log,official evaluate.py OK; unique_outputs=903; class_width=10; bdd_nodes=2301; order=0:11:1:10:2:9:3:8:4:7:5:6,output_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex285,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,"official evaluate.py OK; max_layer_classes=164; class_width=8; pc_width=4; bdd_nodes=1944; layer_sizes=0:1,1:6,2:27,3:65,4:113,5:162,6:164,7:156,8:108,9:66,10:28,11:6,12:1; order=0:11:1:10:2:9:3:8:4:7:5:6",popcount_layer_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex286,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_image_class_shared_bdd_decode.evaluate.py.log,official evaluate.py OK; unique_outputs=2233; class_width=12; bdd_nodes=6830; order=0:12:1:11:2:10:3:9:4:8:5:7:6,output_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex286,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,"official evaluate.py OK; max_layer_classes=417; class_width=9; pc_width=4; bdd_nodes=5957; layer_sizes=0:1,1:8,2:36,3:103,4:219,5:336,6:417,7:417,8:336,9:214,10:102,11:36,12:7,13:1; order=0:12:1:11:2:10:3:9:4:8:5:7:6",popcount_layer_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex287,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_image_class_shared_bdd_decode.evaluate.py.log,official evaluate.py OK; unique_outputs=2609; class_width=12; bdd_nodes=10043; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,output_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex287,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,"official evaluate.py OK; max_layer_classes=445; class_width=9; pc_width=4; bdd_nodes=8782; layer_sizes=0:1,1:7,2:31,3:88,4:200,5:326,6:427,7:445,8:422,9:318,10:203,11:98,12:35,13:7,14:1; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7",popcount_layer_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex288,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_image_class_shared_bdd_decode.evaluate.py.log,official evaluate.py OK; unique_outputs=6734; class_width=13; bdd_nodes=22132; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7,output_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex288,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,"official evaluate.py OK; max_layer_classes=1173; class_width=11; pc_width=4; bdd_nodes=19737; layer_sizes=0:1,1:9,2:45,3:147,4:364,5:669,6:989,7:1173,8:1170,9:960,10:660,11:347,12:147,13:44,14:8,15:1; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7",popcount_layer_image_class_shared_bdd_decode,official evaluate.py OK but no frontend improvement
ex285,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_shared_bdd.evaluate.py.log,official evaluate.py OK; directed_move_width=24; bdd_nodes=1298; order=0:11:1:10:2:9:3:8:4:7:5:6,directed_drop_fill_move_shared_bdd,official evaluate.py OK but no frontend improvement
ex285,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.evaluate.py.log,official evaluate.py OK; drop_nodes=723; fill_nodes=714; total_nodes=1437; order=0:11:1:10:2:9:3:8:4:7:5:6,directed_drop_fill_move_split_bdd,official evaluate.py OK but no frontend improvement
