round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv,method_signature,domain,official_status,reference_adp,current_adp,frontend_best_adp
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_truthroot_bit11_abc_g_aig,1,10705,19,203395,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_truthroot_bit11_abc_g_aig.aig,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_truthroot_bit11_abc_g_aig/ex223_r86_truthroot_bit11_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_truthroot_bit11_abc_g_aig/output/ex223.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex223|fp16_log_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r85_outputcluster,fp16,OK,120549,189468,203490
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_truthroot_bit11_abc_g_aig,1,11597,19,220343,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_truthroot_bit11_abc_g_aig.aig,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_truthroot_bit11_abc_g_aig/ex225_r86_truthroot_bit11_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_truthroot_bit11_abc_g_aig/output/ex225.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex225|fp16_log10_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r85_outputcluster,fp16,OK,116676,205656,218595
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_truthroot_bit4_abc_g_aig,1,165,14,2310,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_truthroot_bit4.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_truthroot_bit4_abc_g_aig.aig,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_truthroot_bit4_abc_g_aig/ex260_r86_truthroot_bit4_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_truthroot_bit4_abc_g_aig/output/ex260.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex260|signed_low4_high4_multiply_truthroot_bit4_bdd|current_compressor_plus_product_bit4_reduced_bdd_root|single_expensive_bit_bdd_not_output_cluster|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_outputcluster_not_baugh_prefix_replay,integer,OK,657,1066,1131
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_truthroot_bit2_abc_g_aig,1,154,12,1848,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_truthroot_bit2.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_truthroot_bit2_abc_g_aig.aig,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_truthroot_bit2_abc_g_aig/ex266_r86_truthroot_bit2_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_truthroot_bit2_abc_g_aig/output/ex266.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex266|unsigned_low5_high5_divide_truthroot_bit2_bdd|current_wordmux_plus_quotient_bit2_reduced_bdd_root|single_expensive_bit_bdd_not_wordmux_spelling|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_cluster,integer,OK,848,1296,1480
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_mtbdd_word_dag_abc_g_aig,1,11240,24,269760,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_mtbdd_word_dag_abc_g_aig.aig,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_mtbdd_word_dag_abc_g_aig/ex223_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_mtbdd_word_dag_abc_g_aig/output/ex223.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex223|fp16_log_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,fp16,OK,120549,189468,203490
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_mtbdd_word_dag_abc_g_aig,1,11671,24,280104,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_mtbdd_word_dag_abc_g_aig.aig,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_mtbdd_word_dag_abc_g_aig/ex225_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_mtbdd_word_dag_abc_g_aig/output/ex225.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex225|fp16_log10_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,fp16,OK,116676,205656,218595
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_mtbdd_word_dag_abc_g_aig,1,220,11,2420,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_mtbdd_word_dag_abc_g_aig.aig,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_mtbdd_word_dag_abc_g_aig/ex260_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_mtbdd_word_dag_abc_g_aig/output/ex260.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex260|signed_low4_high4_multiply_r86_full_word_mtbdd_decision_dag|interleaved_signed_operand_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_wordcover_not_r85_cluster,integer,OK,657,1066,1131
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_mtbdd_word_dag_abc_g_aig,1,155,14,2170,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_mtbdd_word_dag_abc_g_aig.aig,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_mtbdd_word_dag_abc_g_aig/ex266_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,,official evaluate.py row; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_mtbdd_word_dag_abc_g_aig/output/ex266.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/evaluation_results.csv,ex266|unsigned_low5_high5_divide_r86_full_word_mtbdd_decision_dag|quotient_selector_order_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_wordcover_not_r85_cluster,integer,OK,848,1296,1480
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex240,ex240_r86_maxeff_diff_dag,1,661,46,30406,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/verilog/ex240_r86_maxeff_diff_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/aigs/ex240_r86_maxeff_diff_dag.aig,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/official_eval/ex240_r86_maxeff_diff_dag/ex240_r86_maxeff_diff_dag.evaluate.py.log,OK,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/evaluation_results.csv,ex240|E4M3FN packed add high byte plus low byte|maxeff guarded diff decision DAG|shared same-sign GRS roots plus diff gap/maxeff predicates|repo_yosys_frontend_default|official_evaluate|full_word,,,,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex241,ex241_r86_product_bit_exception_dag,1,735,41,30135,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/verilog/ex241_r86_product_bit_exception_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/aigs/ex241_r86_product_bit_exception_dag.aig,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/official_eval/ex241_r86_product_bit_exception_dag/ex241_r86_product_bit_exception_dag.evaluate.py.log,OK,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/evaluation_results.csv,ex241|E4M3FN packed multiply high byte times low byte|product bit-exception decision DAG|shared product roots plus exact per-bit exception residuals|repo_yosys_frontend_default|official_evaluate|product_active_bits,,,,,
