case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex235,ex235_semantic_shell_abc_g_aig,fp16_reciprocal_sqrt,semantic_shell_abc_g_aig,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex235/verilog/ex235_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex235/aigs/ex235_semantic_shell_abc_g_aig.aig,1,1,1,1687,14,23618,20800,1.135481,1,0,1.744,reciprocal_sqrt shell: base only positive normal; signed zero->signed inf; +inf->+0; NaN/negative normal->canonical NaN,semantic_special_shell,reciprocal_sqrt shell: base only positive normal; signed zero->signed inf; +inf->+0; NaN/negative normal->canonical NaN
ex235,ex235_semantic_shell_synth_preset,fp16_reciprocal_sqrt,semantic_shell_synth_preset,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex235/verilog/ex235_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex235/aigs/ex235_semantic_shell_synth_preset.aig,1,1,1,1648,15,24720,20800,1.188462,1,0,2.056,reciprocal_sqrt shell: base only positive normal; signed zero->signed inf; +inf->+0; NaN/negative normal->canonical NaN,semantic_special_shell,reciprocal_sqrt shell: base only positive normal; signed zero->signed inf; +inf->+0; NaN/negative normal->canonical NaN
ex236,ex236_semantic_shell_abc_g_aig,fp16_cube,semantic_shell_abc_g_aig,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex236/verilog/ex236_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex236/aigs/ex236_semantic_shell_abc_g_aig.aig,1,1,1,1606,16,25696,17290,1.486177,1,0,5.310,cube shell: base only exp10..20 normal; low magnitudes signed zero; high magnitudes signed inf; NaN canonical,semantic_special_shell,cube shell: base only exp10..20 normal; low magnitudes signed zero; high magnitudes signed inf; NaN canonical
ex236,ex236_semantic_shell_synth_preset,fp16_cube,semantic_shell_synth_preset,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex236/verilog/ex236_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex236/aigs/ex236_semantic_shell_synth_preset.aig,1,1,1,1570,17,26690,17290,1.543667,0,0,6.980,cube shell: base only exp10..20 normal; low magnitudes signed zero; high magnitudes signed inf; NaN canonical,semantic_special_shell,cube shell: base only exp10..20 normal; low magnitudes signed zero; high magnitudes signed inf; NaN canonical
ex237,ex237_semantic_shell_abc_g_aig,fp16_cbrt,semantic_shell_abc_g_aig,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex237/verilog/ex237_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex237/aigs/ex237_semantic_shell_abc_g_aig.aig,1,1,1,1967,16,31472,25440,1.237107,1,0,2.265,cbrt shell: base only normal exp1..30; signed zero/inf pass; NaN canonical,semantic_special_shell,cbrt shell: base only normal exp1..30; signed zero/inf pass; NaN canonical
ex237,ex237_semantic_shell_synth_preset,fp16_cbrt,semantic_shell_synth_preset,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex237/verilog/ex237_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex237/aigs/ex237_semantic_shell_synth_preset.aig,1,1,1,1884,17,32028,25440,1.258962,1,0,2.583,cbrt shell: base only normal exp1..30; signed zero/inf pass; NaN canonical,semantic_special_shell,cbrt shell: base only normal exp1..30; signed zero/inf pass; NaN canonical
ex238,ex238_semantic_shell_abc_g_aig,fp16_reciprocal_cube,semantic_shell_abc_g_aig,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex238/verilog/ex238_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex238/aigs/ex238_semantic_shell_abc_g_aig.aig,1,1,1,1571,18,28278,16549,1.708744,0,0,6.931,reciprocal_cube shell: base only exp9..19; low magnitudes signed inf; high magnitudes signed zero; NaN canonical,semantic_special_shell,reciprocal_cube shell: base only exp9..19; low magnitudes signed inf; high magnitudes signed zero; NaN canonical
ex238,ex238_semantic_shell_synth_preset,fp16_reciprocal_cube,semantic_shell_synth_preset,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex238/verilog/ex238_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex238/aigs/ex238_semantic_shell_synth_preset.aig,1,1,1,1545,18,27810,16549,1.680464,0,0,5.168,reciprocal_cube shell: base only exp9..19; low magnitudes signed inf; high magnitudes signed zero; NaN canonical,semantic_special_shell,reciprocal_cube shell: base only exp9..19; low magnitudes signed inf; high magnitudes signed zero; NaN canonical
ex239,ex239_semantic_shell_abc_g_aig,fp16_reciprocal_cbrt,semantic_shell_abc_g_aig,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex239/verilog/ex239_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex239/aigs/ex239_semantic_shell_abc_g_aig.aig,1,1,1,2038,16,32608,25965,1.255844,1,0,2.284,reciprocal_cbrt shell: base only normal exp1..30; signed zero->inf; signed inf->zero; NaN canonical,semantic_special_shell,reciprocal_cbrt shell: base only normal exp1..30; signed zero->inf; signed inf->zero; NaN canonical
ex239,ex239_semantic_shell_synth_preset,fp16_reciprocal_cbrt,semantic_shell_synth_preset,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex239/verilog/ex239_semantic_shell.v,student/work/ex235_ex239_frontend_fp16_semantic_shell_20260608_1005/ex239/aigs/ex239_semantic_shell_synth_preset.aig,1,1,1,1965,17,33405,25965,1.286540,1,0,2.586,reciprocal_cbrt shell: base only normal exp1..30; signed zero->inf; signed inf->zero; NaN canonical,semantic_special_shell,reciprocal_cbrt shell: base only normal exp1..30; signed zero->inf; signed inf->zero; NaN canonical
