case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_default_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + default + raw,replace same-sign alignment shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_same_gapcase_constant_shift|replace_same_sign_alignment_shifter_with_explicit_gap_case_constants|default|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/verilog/ex240_same_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/aigs/ex240_ex240_same_gapcase_constant_shift_default_raw.aig,1,not_run,629,51,32079,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_same_gapcase_constant_shift_default.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_default_raw.abc.log; synth_sec=0.514; abc_sec=0.000; eval_sec=0.829
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_extra_share_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + extra_share + raw,replace same-sign alignment shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_same_gapcase_constant_shift|replace_same_sign_alignment_shifter_with_explicit_gap_case_constants|extra_share|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/verilog/ex240_same_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/aigs/ex240_ex240_same_gapcase_constant_shift_extra_share_raw.aig,1,not_run,640,51,32640,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_same_gapcase_constant_shift_extra_share.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_extra_share_raw.abc.log; synth_sec=0.483; abc_sec=0.000; eval_sec=0.823
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + abc_g_aig + raw,replace same-sign alignment shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_same_gapcase_constant_shift|replace_same_sign_alignment_shifter_with_explicit_gap_case_constants|abc_g_aig|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/verilog/ex240_same_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/aigs/ex240_ex240_same_gapcase_constant_shift_abc_g_aig_raw.aig,1,not_run,612,51,31212,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_same_gapcase_constant_shift_abc_g_aig.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_abc_g_aig_raw.abc.log; synth_sec=0.512; abc_sec=0.000; eval_sec=0.838
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_synth_preset_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + synth_preset + raw,replace same-sign alignment shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_same_gapcase_constant_shift|replace_same_sign_alignment_shifter_with_explicit_gap_case_constants|synth_preset|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/verilog/ex240_same_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/aigs/ex240_ex240_same_gapcase_constant_shift_synth_preset_raw.aig,1,not_run,614,54,33156,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_same_gapcase_constant_shift_synth_preset.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_same_gapcase_constant_shift/logs/ex240_ex240_same_gapcase_constant_shift_synth_preset_raw.abc.log; synth_sec=0.619; abc_sec=0.000; eval_sec=0.830
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_default_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + default + raw,replace diff-sign left shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_diff_gapcase_constant_shift|replace_diff_sign_left_shifter_with_explicit_gap_case_constants|default|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/verilog/ex240_diff_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/aigs/ex240_ex240_diff_gapcase_constant_shift_default_raw.aig,1,not_run,676,45,30420,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_diff_gapcase_constant_shift_default.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_default_raw.abc.log; synth_sec=0.523; abc_sec=0.000; eval_sec=0.828
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_extra_share_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + extra_share + raw,replace diff-sign left shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_diff_gapcase_constant_shift|replace_diff_sign_left_shifter_with_explicit_gap_case_constants|extra_share|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/verilog/ex240_diff_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/aigs/ex240_ex240_diff_gapcase_constant_shift_extra_share_raw.aig,1,not_run,676,46,31096,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_diff_gapcase_constant_shift_extra_share.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_extra_share_raw.abc.log; synth_sec=0.506; abc_sec=0.000; eval_sec=0.827
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + abc_g_aig + raw,replace diff-sign left shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_diff_gapcase_constant_shift|replace_diff_sign_left_shifter_with_explicit_gap_case_constants|abc_g_aig|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/verilog/ex240_diff_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/aigs/ex240_ex240_diff_gapcase_constant_shift_abc_g_aig_raw.aig,1,not_run,656,45,29520,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_diff_gapcase_constant_shift_abc_g_aig.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_abc_g_aig_raw.abc.log; synth_sec=0.530; abc_sec=0.000; eval_sec=0.833
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_synth_preset_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + synth_preset + raw,replace diff-sign left shifter with explicit gap-case constants,ex240|fp8_source_restructure|ex240_diff_gapcase_constant_shift|replace_diff_sign_left_shifter_with_explicit_gap_case_constants|synth_preset|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/verilog/ex240_diff_gapcase_constant_shift.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/aigs/ex240_ex240_diff_gapcase_constant_shift_synth_preset_raw.aig,1,not_run,662,47,31114,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_diff_gapcase_constant_shift_synth_preset.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_diff_gapcase_constant_shift/logs/ex240_ex240_diff_gapcase_constant_shift_synth_preset_raw.abc.log; synth_sec=0.681; abc_sec=0.000; eval_sec=0.964
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_default_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + default + raw,field-level magnitude compare and decoded field mux for add paths,ex240|fp8_source_restructure|ex240_field_compare_decode|field_level_magnitude_compare_and_decoded_field_mux_for_add_paths|default|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/verilog/ex240_field_compare_decode.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/aigs/ex240_ex240_field_compare_decode_default_raw.aig,1,not_run,658,47,30926,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_ex240_field_compare_decode_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_field_compare_decode_default.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_ex240_field_compare_decode_default_raw.abc.log; synth_sec=0.518; abc_sec=0.000; eval_sec=0.824
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + extra_share + raw,field-level magnitude compare and decoded field mux for add paths,ex240|fp8_source_restructure|ex240_field_compare_decode|field_level_magnitude_compare_and_decoded_field_mux_for_add_paths|extra_share|raw|official_evaluate|full_word,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/verilog/ex240_field_compare_decode.v,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/aigs/ex240_ex240_field_compare_decode_extra_share_raw.aig,1,not_run,664,47,31208,student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_ex240_field_compare_decode_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_field_compare_decode_extra_share.yosys.log; abc_log=student/work/ex240_frontend_source_only_round56_20260613_1040/local-ex240-source-r56/ex240/ex240_field_compare_decode/logs/ex240_ex240_field_compare_decode_extra_share_raw.abc.log; synth_sec=0.490; abc_sec=0.000; eval_sec=0.823
