case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed12 + default + raw,direct significand multiply with seed12 product don't-care completion,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed12 + extra_share + raw,direct significand multiply with seed12 product don't-care completion,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed12 + abc_g_aig + raw,direct significand multiply with seed12 product don't-care completion,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed12 + synth_preset + raw,direct significand multiply with seed12 product don't-care completion,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed228 + default + raw,direct significand multiply with low-area seed228 product don't-care completion,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed228 + extra_share + raw,direct significand multiply with low-area seed228 product don't-care completion,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed228 + abc_g_aig + raw,direct significand multiply with low-area seed228 product don't-care completion,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed228 + synth_preset + raw,direct significand multiply with low-area seed228 product don't-care completion,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_seed12_direct_decode + default + raw,sig-pair product-code seed12 completion with direct field decode instead of sig/exp helper calls,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_seed12_direct_decode + extra_share + raw,sig-pair product-code seed12 completion with direct field decode instead of sig/exp helper calls,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_seed12_direct_decode + abc_g_aig + raw,sig-pair product-code seed12 completion with direct field decode instead of sig/exp helper calls,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_seed12_direct_decode + synth_preset + raw,sig-pair product-code seed12 completion with direct field decode instead of sig/exp helper calls,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed12_direct_decode_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed12_direct_decode + default + raw,direct product seed12 completion with direct field decode instead of sig/exp helper calls,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed12_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed12_direct_decode + extra_share + raw,direct product seed12 completion with direct field decode instead of sig/exp helper calls,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed12_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed12_direct_decode + abc_g_aig + raw,direct product seed12 completion with direct field decode instead of sig/exp helper calls,synth=abc_g_aig; post=raw; Yosys abc gate set aig
