case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex200,ex200_bf16_exp_sign_exp_mant_case,bf16_exp,sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_sign_exp_mant_case.aig,1,1,1,3749,17,63733,2.792,4576,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_split_sign_exp_mant_case,bf16_exp,split_sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_split_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_split_sign_exp_mant_case.aig,1,1,1,3807,17,64719,2.562,4576,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_exp_mant_pair_case,bf16_exp,exp_mant_pair_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_exp_mant_pair_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_exp_mant_pair_case.aig,1,1,1,3711,18,66798,2.422,2415,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_semantic_field_reassembly,bf16_exp,semantic_field_reassembly,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_field_reassembly.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_field_reassembly.aig,1,1,1,3737,18,67266,12.372,65536,aggressive semantic BF16 field RTL,bf16_aggressive_semantic_20260603_1711,bf16_aggressive_semantic_20260603_1711.csv
ex200,ex200_bf16_exp_sign_exp_default_expr_case,bf16_exp,sign_exp_default_expr_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_sign_exp_default_expr_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_sign_exp_default_expr_case.aig,1,1,1,3836,18,69048,5.265,"groups=512; full_default_groups=242; exceptions=34146; defaults=abs_input:266,nan:2,pos_inf:122,zero:122",bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_positive_default_exp_mant_case,bf16_exp,positive_default_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_positive_default_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_positive_default_exp_mant_case.aig,1,1,1,3690,20,73800,2.647,4330; default=same; exceptions=17536,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_semantic_positive_symmetry_fields,bf16_exp,semantic_positive_symmetry_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_positive_symmetry_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_positive_symmetry_fields.aig,1,1,1,3698,20,73960,10.052,positive_entries=32768; relation=zero; negative_exceptions=17198,aggressive semantic BF16 field RTL,bf16_aggressive_semantic_20260603_1711,bf16_aggressive_semantic_20260603_1711.csv
ex200,ex200_bf16_exp_semantic_positive_field_defaults,bf16_exp,semantic_positive_field_defaults,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_positive_field_defaults.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_positive_field_defaults.aig,1,1,1,3731,20,74620,5.294,positive_exp_groups=256; full_default_groups=241; positive_exceptions=1524; relation=zero; negative_exceptions=17198,aggressive semantic BF16 field RTL,bf16_aggressive_semantic_20260603_1711,bf16_aggressive_semantic_20260603_1711.csv
ex200,ex200_bf16_exp_exp_mant_delta_pair,bf16_exp,exp_mant_delta_pair,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_exp_mant_delta_pair.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_exp_mant_delta_pair.aig,1,1,1,3763,20,75260,2.507,2671,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex200,ex200_bf16_exp_default_expr_exception_case,bf16_exp,default_expr_exception_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_default_expr_exception_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_default_expr_exception_case.aig,1,1,1,3773,20,75460,8.187,exceptions=49966; default=zero; matches=15570,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
