case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_hybrid_semantic_bit0,fp16_log,hybrid_semantic_bit0,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit0.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit0.aig,1,1,1,11616,74,859584,120549,7.130578,0,0,semantic_hybrid,semantic_bits=0; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,26.174,semantic_hybrid FP16 selected-bit candidate; semantic_bits=0; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit1,fp16_log,hybrid_semantic_bit1,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit1.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit1.aig,1,1,1,12279,75,920925,120549,7.639425,0,0,semantic_hybrid,semantic_bits=1; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,25.829,semantic_hybrid FP16 selected-bit candidate; semantic_bits=1; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit10,fp16_log,hybrid_semantic_bit10,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit10.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit10.aig,1,1,1,13884,78,1082952,120549,8.983500,0,0,semantic_hybrid,semantic_bits=10; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,27.455,semantic_hybrid FP16 selected-bit candidate; semantic_bits=10; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit11,fp16_log,hybrid_semantic_bit11,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit11.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit11.aig,1,1,1,13888,72,999936,120549,8.294851,0,0,semantic_hybrid,semantic_bits=11; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,27.243,semantic_hybrid FP16 selected-bit candidate; semantic_bits=11; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit12,fp16_log,hybrid_semantic_bit12,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit12.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit12.aig,1,1,1,13878,77,1068606,120549,8.864495,0,0,semantic_hybrid,semantic_bits=12; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,27.582,semantic_hybrid FP16 selected-bit candidate; semantic_bits=12; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit13,fp16_log,hybrid_semantic_bit13,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit13.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit13.aig,1,1,1,13925,76,1058300,120549,8.779003,0,0,semantic_hybrid,semantic_bits=13; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,26.988,semantic_hybrid FP16 selected-bit candidate; semantic_bits=13; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit14,fp16_log,hybrid_semantic_bit14,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit14.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit14.aig,1,1,1,13869,76,1054044,120549,8.743698,0,0,semantic_hybrid,semantic_bits=14; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,26.295,semantic_hybrid FP16 selected-bit candidate; semantic_bits=14; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit15,fp16_log,hybrid_semantic_bit15,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit15.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit15.aig,1,1,1,11258,23,258934,120549,2.147956,0,0,semantic_hybrid,semantic_bits=15; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,24.879,semantic_hybrid FP16 selected-bit candidate; semantic_bits=15; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit2,fp16_log,hybrid_semantic_bit2,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit2.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit2.aig,1,1,1,12648,74,935952,120549,7.764079,0,0,semantic_hybrid,semantic_bits=2; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,26.273,semantic_hybrid FP16 selected-bit candidate; semantic_bits=2; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
ex223,ex223_fp16_log_hybrid_semantic_bit3,fp16_log,hybrid_semantic_bit3,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit3.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit3.aig,1,1,1,12931,72,931032,120549,7.723266,0,0,semantic_hybrid,semantic_bits=3; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,26.505,semantic_hybrid FP16 selected-bit candidate; semantic_bits=3; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2
