case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex247,float_fp8,fp8-r24,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex247_r24_attr_sop_mux_synth_preset_aig,357,25,8925,8349,2975,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.evaluate.py.log,do not repeat this source family as-is; use results as negative evidence,,,,,,,
ex246,float_fp8,fp8-r24,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex246_r24_sorted_sig_attr_sop_synth_preset_aig,345,27,9315,7502,2805,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.evaluate.py.log,do not repeat this source family as-is; use results as negative evidence,,,,,,,
ex244,float_fp8,fp8-r24,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex244_r24_compact_delta_case_synth_preset_aig,623,40,24920,10234,4272,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.evaluate.py.log,do not repeat this source family as-is; use results as negative evidence,,,,,,,
ex240,float_fp8,fp8-r24,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,,,,,30090,13299,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex240/notes/high_level_dossier.md,derive a verified formulaic diff-sign cancellation/renormalization path; avoid threshold-band quantization and broad BDD replay,,,,,,,
ex245,float_fp8,fp8-r24,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,,,,,23834,11050,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex245/notes/high_level_dossier.md,find a smaller active small-gap normalizer; avoid threshold-band quantization and full decoded adders,,,,,,,
ex241,float_fp8,fp8-r24,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,,,,,15544,7224,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex241/notes/high_level_dossier.md,try a genuinely shallow product leading/round path before another nested product-table replay,,,,,,,
ex242,float_fp8,fp8-r24,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,,,,,25320,11900,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex242/notes/high_level_dossier.md,compress quotient boundary exceptions while preserving field-table delay; avoid broad BDD and bit-table variants,,,,,,,
ex249,float_fp8,fp8-r24,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex249_r24_compact_delta_case_synth_preset_aig,234,38,8892,4368,2079,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_synth_preset_aig.evaluate.py.log,do not repeat this source family as-is; use results as negative evidence,,,,,,,
ex248,float_fp8,fp8-r24,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,,,,,8550,4180,0,0,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex248/notes/high_level_dossier.md,rewrite periodic remainder critical path without Verilog modulo or no-ABC synth-flow replay,,,,,,,
ex225,,mixed-r24,evaluated_no_improvement,ex225_r24_fp16_nested_low14_hi4_abc_g_aig,,,225300,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/logs/ex225_r24_fp16_nested_low14_hi4_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=218728 overall=205656 reference=116676,,,,,,
ex223,,mixed-r24,evaluated_no_improvement,ex223_r24_fp16_nested_low13_hi5_abc_g_aig,,,204326,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/logs/ex223_r24_fp16_nested_low13_hi5_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=203756 overall=189468 reference=120549,,,,,,
