case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex203,ex203_bf16_log_sign_exp_mant_bits_1_15_override,bf16_log,sign_exp_mant_bits_1_15_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_15_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_15_override.aig,1,1,1,4522,18,81396,8.800,sign_exp_mant base with bits 1_15 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_14_15_override,bf16_log,sign_exp_mant_bits_14_15_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_14_15_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_14_15_override.aig,1,1,1,4521,18,81378,6.676,sign_exp_mant base with bits 14_15 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_14_override,bf16_log,sign_exp_mant_bits_1_14_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_14_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_14_override.aig,1,1,1,4559,18,82062,8.550,sign_exp_mant base with bits 1_14 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_14_15_override,bf16_log,sign_exp_mant_bits_1_14_15_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_14_15_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_14_15_override.aig,1,1,1,4500,18,81000,8.289,sign_exp_mant base with bits 1_14_15 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_4_override,bf16_log,sign_exp_mant_bits_1_4_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_4_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_4_override.aig,1,1,1,4580,18,82440,9.209,sign_exp_mant base with bits 1_4 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_5_override,bf16_log,sign_exp_mant_bits_1_5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_5_override.aig,1,1,1,4529,18,81522,9.105,sign_exp_mant base with bits 1_5 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_11_override,bf16_log,sign_exp_mant_bits_1_11_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_11_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_11_override.aig,1,1,1,4575,18,82350,9.277,sign_exp_mant base with bits 1_11 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_12_override,bf16_log,sign_exp_mant_bits_1_12_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_12_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_12_override.aig,1,1,1,4575,18,82350,8.704,sign_exp_mant base with bits 1_12 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_1_13_override,bf16_log,sign_exp_mant_bits_1_13_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_1_13_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_1_13_override.aig,1,1,1,4575,18,82350,8.743,sign_exp_mant base with bits 1_13 overridden
ex203,ex203_bf16_log_sign_exp_mant_bits_4_15_override,bf16_log,sign_exp_mant_bits_4_15_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bits_4_15_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bits_4_15_override.aig,1,1,1,4601,18,82818,7.620,sign_exp_mant base with bits 4_15 overridden
