case,domain,candidate_id,hypothesis,method_signature,verilog_path,aig_path,equivalent,area,delay,adp,reference_adp,current_frontend_adp,beat_reference,improved_frontend,log_path,agent_id,run_id,notes
ex246,float_fp8,ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig,E5M2FN packed multiply product-low-first semantic-key BDD output grouping,ex246|E5M2FN packed multiply|product-low-first semantic-key BDD output grouping|shared sign xor exponent sum and product-key BDD roots|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|product_low_to_exp_output_bits,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-bound-r12/ex246/verilog/ex246_semantic_mul_key_bdd_product_low_then_exp.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-bound-r12/ex246/aigs/ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig.aig,1,595,31,18445,2805,7502,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-bound-r12/ex246/logs/ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig.official_evaluate.log,fp8-bound-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py OK; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-bound-r12/ex246/logs/ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d14,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d14_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d14.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d14.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.810; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d14.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d16,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d16_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d16.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d16.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.786; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d16.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d18,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d18_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d18.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d18.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.814; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d18.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d20,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d20_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d20.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d20.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.751; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d20.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d22,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d22_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d22.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d22.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.785; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d22.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d24,E5M2FN low-over-high division boundary-region mux with delay-targeted abc-g-aig,"ex247|E5M2FN packed low-over-high division with boundary-first region mux|round5 boundary-region mux source, unchanged RTL, targeted frontend ABC delay constraints|shared sign/exponent/significand decode plus denominator-nested boundary attributes|yosys_abc_g_aig_d24_official_evaluate|exact_e5m2fn_div_low_over_high|region-grouped_magnitude_output",student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/verilog/ex247_round12_bound_region_mux.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/aigs/ex247_round12_bound_region_mux_abc_g_aig_d24.aig,1,363,23,8349,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d24.official_evaluate.log,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.786; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d24.yosys.log
ex253,float_fp8,ex253_round12_count_threshold_groups_abc_g_aig,unsigned 2-bit lane reduction to E4M3FN,ex253|unsigned 2-bit lane reduction to E4M3FN|count-pair threshold grouped quantizer|shared low/high bit popcounts and direct count-threshold predicates|yosys_abc_g_aig_official_evaluate|exact_u2_sum8_times2_to_e4m3fn|grouped_threshold_output_codes,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-resid-r12/ex253/verilog/ex253_round12_count_threshold_groups.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-resid-r12/ex253/aigs/ex253.aig,1,193,21,4053,1845,2268,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-resid-r12/ex253/logs/ex253_round12_count_threshold_groups.official_evaluate.log,fp8-resid-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/fp8-resid-r12/ex253/logs/ex253_round12_count_threshold_groups.yosys.log
ex266,integer,ex266_restore_cmp_chain_abc_g_aig,unsigned_division_restore_compare_chain,ex266|unsigned_division_restore_compare_chain|restoring_compare_subtract_chain|shared_shifted_divisor_comparisons_and_remainders|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_bits_msb_to_lsb,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex266/verilog/ex266_udiv_restore_cmp_chain.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex266/synthflow/ex266/aigs/ex266_restore_cmp_chain_abc_g_aig.aig,1,90,27,2430,848,1480,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex266/logs/ex266_restore_cmp_chain_abc_g_aig.evaluate.py.log,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py OK; lower area than current frontend but delay 27 loses
ex274,integer,ex274_karatsuba8_shared_abc_g_aig,unsigned_square_karatsuba8_shared,ex274|unsigned_square_karatsuba8_shared|karatsuba_8x8_square_split|shared_lo_hi_squares_and_sum_square_cross_term|yosys_abc_g_aig|unsigned_16_square|word_output,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex274/verilog/ex274_square_karatsuba8_shared.v,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex274/synthflow/ex274/aigs/ex274_karatsuba8_shared_abc_g_aig.aig,1,1304,72,93888,21630,41370,0,0,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/mixed-r12/ex274/logs/ex274_karatsuba8_shared_abc_g_aig.evaluate.py.log,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py OK; karatsuba split is exact but far deeper than triangular Wallace hybrid
