case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,notes,shard_csv,domain,shared_structure,log_path,evidence_path
ex223,fp16_log_special_nested_minimality_recheck,low14_hi5_nested_lut_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and nested low table,yosys_abc_g_aig,ex223|fp16_log_special_nested_minimality_recheck|low14_hi5_nested_lut_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low14_hi5_manual15_14_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_nested_low14_hi5_manual15_14_directspecial.v,sub-fp16-redesc-r75,ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,r75_nested_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_nested_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus nested low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=14; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_ln_thresholds",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual high-bit thresholds and nested low table,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log
ex223,fp16_log_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and sparse residual defaults,yosys_abc_g_aig,ex223|fp16_log_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_sparse_low14_hi5_manual15_14_directspecial.v,sub-fp16-redesc-r75,ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,r75_sparse_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:manual_exp_lt15; b14:manual_ln_thresholds",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual high-bit thresholds and sparse residual defaults,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_run_high_bits,direct special class shell plus high-bit run trees and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_directspecial.v,sub-fp16-redesc-r75,ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,r75_sparse_low14_hi5_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus sparse low14/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus high-bit run trees and sparse residual defaults,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_only,direct special class shell plus manual sign predicate and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_directspecial.v,sub-fp16-redesc-r75,ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,r75_sparse_low14_hi5_manual15_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus sparse low14/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:runs=32,max=2,const=28",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual sign predicate and sparse residual defaults,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_14_directspecial.v,sub-fp16-redesc-r75,ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,r75_sparse_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:manual_log10_thresholds",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual high-bit thresholds and sparse residual defaults,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_run_high_bits,direct special class shell plus high-bit run trees and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_directspecial.v,sub-fp16-redesc-r75,ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,r75_nested_low12_hi5_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus nested low12/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus high-bit run trees and nested low table,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_manual_sign_only,direct special class shell plus manual sign predicate and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_manual15_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_manual15_directspecial.v,sub-fp16-redesc-r75,ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,r75_nested_low12_hi5_manual15_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus nested low12/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual sign predicate and nested low table,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log
ex225,fp16_log10_special_nested_minimality_recheck,low13_hi5_nested_lut_with_manual_bits15_14_13,direct special class shell plus manual high-bit thresholds and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low13_hi5_nested_lut_with_manual_bits15_14_13|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low13_hi5_manual15_14_13_directspecial,equivalent_nonwinning,official evaluate.py OK but did not beat current overall,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial.v,sub-fp16-redesc-r75,ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,r75_nested_low13_hi5_manual15_14_13_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.aig,official_evaluate_qor,official evaluate.py OK but did not beat current overall,repeat_only_with_material_change,"direct special shell plus nested low13/hi5 and manual high bits 15,14,13; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_log10_thresholds; b13:manual_log10_thresholds",student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/failed_hypotheses.csv,fp16,direct special class shell plus manual high-bit thresholds and nested low table,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.evaluate.py.log
ex240,E4M3FN packed add high byte plus low byte,ex240_r75_final_packed_mux,replace helper final sign/mag selectors and split assigns with one packed output mux,repo_yosys_frontend_default,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_final_packed_mux|replace_helper_final_sign_mag_selectors_and_split_assigns_with_one_packed_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,equivalent_no_frontend_gain,official equivalent but ADP did not beat frontend target 26230,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_final_packed_mux.v,sub-fp8-addhypot-redesc-r75,ex240_ex240_r75_final_packed_mux_repo_yosys,ex240_r75_final_packed_mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_final_packed_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_final_packed_mux_repo_yosys.aig,official_evaluate,nonwinning ADP 29025,repeat_only_with_new_structure,official evaluate.py OK; eval_sec=0.867; total_sec=1.404,agent_shards/sub-fp8-addhypot-redesc-r75/failed_hypotheses.csv,float_fp8,replace helper final sign/mag selectors and split assigns with one packed output mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.evaluate.py.log,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.evaluate.py.log
ex240,E4M3FN packed add high byte plus low byte,ex240_r75_diff_gapcase_final_mux,case-decode diff alignment action plus packed final sign/mag mux,repo_yosys_frontend_default,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_diff_gapcase_final_mux|case_decode_diff_alignment_action_plus_packed_final_sign_mag_mux|repo_yosys_frontend_default|official_evaluate|full_word,equivalent_no_frontend_gain,official equivalent but ADP did not beat frontend target 26230,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_diff_gapcase_final_mux.v,sub-fp8-addhypot-redesc-r75,ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,ex240_r75_diff_gapcase_final_mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_diff_gapcase_final_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.aig,official_evaluate,nonwinning ADP 28728,repeat_only_with_new_structure,official evaluate.py OK; eval_sec=0.870; total_sec=1.439,agent_shards/sub-fp8-addhypot-redesc-r75/failed_hypotheses.csv,float_fp8,case-decode diff alignment action plus packed final sign/mag mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.evaluate.py.log,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.evaluate.py.log
ex244,"E4M3FN packed hypot abs(high,low)",ex244_r75_valid_delta_bits,gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,repo_yosys_frontend_default,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_valid_delta_bits|gate_individual_max_plus_delta_bits_with_the_small_gap_predicate_after_the_exact_delta_bdd|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_no_frontend_gain,official equivalent but ADP did not beat frontend target 9120,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/verilog/ex244_r75_valid_delta_bits.v,sub-fp8-addhypot-redesc-r75,ex244_ex244_r75_valid_delta_bits_repo_yosys,ex244_r75_valid_delta_bits,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/verilog/ex244_r75_valid_delta_bits.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/aigs/ex244_ex244_r75_valid_delta_bits_repo_yosys.aig,official_evaluate,nonwinning ADP 12388,repeat_only_with_new_structure,official evaluate.py OK; eval_sec=0.552; total_sec=0.854,agent_shards/sub-fp8-addhypot-redesc-r75/failed_hypotheses.csv,float_fp8,gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.evaluate.py.log,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.evaluate.py.log
