case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex204,bf16,,none_new_identified,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,"Prior shared structures already cover arithmetic exponent base plus hilo3 delta, selected bits 11/14, formula/equality variants, sparse sign-exp residual, and hilo4 additive residual; no materially different sharing structure selected."
ex223,fp16,,none_new_identified,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,"Prior shared structures already cover special-case shell, nested low LUT, selected-bit residual predicates, sparse residual, BDD/casez/range, masked-run, and semantic fixed-point forms; no materially different sharing structure selected for official evaluation."
ex225,fp16,,none_new_identified,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,"Prior shared structures already cover special-case shell, nested low LUT, selected-bit/predecode, sparse residual, BDD/casez, and exponent-base residual forms; no materially different sharing structure selected for official evaluation."
ex247,float_fp8,ex247_round11_direct_lowmag_attr_abc_g_aig,"sign xor, NaN/zero decode, E5M2 effective exponent, significand pair, boundary rows",denominator-nested bound attributes with direct low-step magnitudes,remove low-pattern decoder delay at cost of wider attribute rows,fp8-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,Non-replay grouping versus round10 region masks.
ex249,float_fp8,ex249_round11_output_grouped_delta_abc_g_aig,abs max/min decode; raw exponent gap; significand threshold predicates; direct increment bits; saturation guard,"compute max/min and gap once, then share delta predicates across grouped output increment paths",lower adder/table delay if Yosys preserves direct increment cones,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official ADP 4872
ex249,float_fp8,ex249_round11_output_grouped_delta_synth_preset_aig,abs max/min decode; raw exponent gap; significand threshold predicates; direct increment bits; saturation guard,"compute max/min and gap once, then share delta predicates across grouped output increment paths",lower adder/table delay if Yosys preserves direct increment cones,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official ADP 4901
ex260,integer,,none_new_identified,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,"Prior shared structures already cover Booth/Baugh/Wallace/QMC, sign/magnitude, constant-case, split/Karatsuba-style, BDD, sparse merge, signcase, and high-correction structures; no materially different signed compressor selected."
ex277,integer,ex277_isqrt_cofbdd3_reverse_synth_preset_d12,,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,
ex277,integer,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,
ex286,unknown,,none_emitted,n/a,blocked,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,No complete nonlinear hidden-state or constructive pair-count generator was available without repeating prohibited wrappers.
ex287,unknown,,none_emitted,n/a,blocked,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,No complete nonlinear hidden-state or constructive pair-count generator was available without repeating prohibited wrappers.
ex295,unknown,ex295_r11_bitplane_symbol_split_abc_g_aig_d14,bitplane-balanced split,"{""bit_exceptions_after_bit_modes"": 18054, ""inner_bits"": [1, 3, 5, 7, 9, 11], ""row_exceptions_after_bit_modes"": 3942, ""selector_bits"": [0, 2, 4, 6, 8, 10]}",reduce mux depth by avoiding one full-width exception word table,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; stats={""bit_exceptions_after_bit_modes"": 18054, ""inner_bits"": [1, 3, 5, 7, 9, 11], ""row_exceptions_after_bit_modes"": 3942, ""selector_bits"": [0, 2, 4, 6, 8, 10]}"
