case,domain,agent_id,candidate_id,method_signature,sim_tool,sim_status,tests_run,failures,log_path,notes
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_bound_smallpat_nested_num_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_product_bound_smallpat_seed12_set11to10_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_delta_maxeff_bdd_sigfirst_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_grs_diff_grs_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_bit_exception_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_field_nested_delta_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_gap4_norm_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_modsig_nested_delta_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_threshold_formula_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_threshold_fields_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_delta_diff_param8_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_param_exception_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_formula_bit_exception_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_threshold_packed_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_split_bdd_interleave_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_formula_norm_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_sigpair_class_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_arith_mod_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_delta_bdd_interleave_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_balanced_laneqcase_synth_preset_aig_round2priority,,not_run,not_run,,,,iverilog unavailable; official evaluate.py used as final gate
ex260,integer,integer-agent,ex260_ex260_shared_cube_product_abc_g_aig,ex260|hand-minimized_shared_signed_4x4_product_predicates|multi-output_shared_QMC_cube_cover_over_signed_product_bits|shared_predicate_cubes_reused_across_all_output_bits|abc_g_aig|signed_low4_high4_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex260/official_eval/ex260_ex260_shared_cube_product_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex260,integer,integer-agent,ex260_ex260_shared_cube_product_synth_preset_d10,ex260|hand-minimized_shared_signed_4x4_product_predicates|multi-output_shared_QMC_cube_cover_over_signed_product_bits|shared_predicate_cubes_reused_across_all_output_bits|synth_preset_d10|signed_low4_high4_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex260/official_eval/ex260_ex260_shared_cube_product_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex260,integer,integer-agent,ex260_ex260_signcof_shared_cube_abc_g_aig,ex260|sign-cofactored_shared_signed_4x4_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|abc_g_aig|signed_low4_high4_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex260/official_eval/ex260_ex260_signcof_shared_cube_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
