case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex240,ex240_current_same_grs_diff_param8_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_current_same_grs_diff_param8_abc_g_aig,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_current_same_grs_diff_param8_extra_opt_share,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_current_same_grs_diff_param8_no_internal_abc,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_current_same_grs_diff_param8_abc_d24,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_current_maxeff_delta_bdd_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_current_maxeff_delta_bdd_abc_g_aig,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_current_maxeff_delta_bdd_extra_opt_share,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_current_maxeff_delta_bdd_no_internal_abc,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_current_maxeff_delta_bdd_abc_d18,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex246,ex246_current_product_dc_seed12_set11to10_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex246,ex246_current_product_dc_seed12_set11to10_abc_g_aig,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex246,ex246_current_product_dc_seed12_set11to10_extra_opt_share,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex246,ex246_current_product_dc_seed12_set11to10_no_internal_abc,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex246,ex246_current_product_dc_seed12_set11to10_abc_d22,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex247,ex247_round5_bound_region_mux_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex247,ex247_round5_bound_region_mux_abc_g_aig,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex247,ex247_round5_bound_region_mux_extra_opt_share,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex247,ex247_round5_bound_region_mux_no_internal_abc,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex247,ex247_round5_bound_region_mux_abc_d18,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_field_delta_diff_table_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex240,ex240_field_delta_diff_table_abc_g_aig,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
ex244,ex244_sig_gap_orbit_delta_bits_default,iverilog,not_run,,fp8-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,official evaluate.py was used; iverilog debug was not needed
