case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex232,ex232_exp_mant_delta_pair_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/verilog/ex232_fp16_square_exp_mant_delta_pair.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_exp_mant_delta_pair_abc_g_aig.aig,1,1,1,1366,17,23222,13392,1.734020,0,0,6.720,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_exp_mant_pair_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_exp_mant_pair_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_exp_mant_pair_case_abc_g_aig.aig,1,1,1,1389,16,22224,13392,1.659498,0,0,6.210,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_positive_default_exp_mant_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_positive_default_exp_mant_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_positive_default_exp_mant_case_abc_g_aig.aig,1,1,1,1365,17,23205,13392,1.732751,0,0,3.801,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_positive_default_exp_mant_delta_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/verilog/ex232_fp16_square_positive_default_exp_mant_delta.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_positive_default_exp_mant_delta_abc_g_aig.aig,1,1,1,1363,17,23171,13392,1.730212,0,0,4.125,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_semantic_arith_fields_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_semantic_arith_fields.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_semantic_arith_fields_abc_g_aig.aig,1,1,1,1347,17,22899,13392,1.709901,0,0,1.205,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_semantic_sign_exp_field_defaults_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_semantic_sign_exp_field_defaults.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_semantic_sign_exp_field_defaults_abc_g_aig.aig,1,1,1,1402,16,22432,13392,1.675030,0,0,9.424,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_sign_exp_default_expr_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_sign_exp_default_expr_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_sign_exp_default_expr_case_abc_g_aig.aig,1,1,1,2793,16,44688,13392,3.336918,0,0,7.668,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_sign_exp_mant_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex232/verilog/ex232_fp16_square_sign_exp_mant_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_sign_exp_mant_case_abc_g_aig.aig,1,1,1,1366,17,23222,13392,1.734020,0,0,6.349,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_sign_pair_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/verilog/ex232_fp16_square_sign_pair_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_sign_pair_case_abc_g_aig.aig,1,1,1,1359,17,23103,13392,1.725134,0,0,13.051,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex232,ex232_split_sign_exp_mant_case_abc_g_aig,fp16_square,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/verilog/ex232_fp16_square_split_sign_exp_mant_case.v,student/work/ex232_ex233_frontend_fp16_oldrows_abcg_20260607_1853/ex232/aigs/ex232_split_sign_exp_mant_case_abc_g_aig.aig,1,1,1,1372,17,23324,13392,1.741637,0,0,6.562,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
