case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_default_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + default + raw,replace same-sign alignment shifter with explicit gap-case constants,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_extra_share_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + extra_share + raw,replace same-sign alignment shifter with explicit gap-case constants,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + abc_g_aig + raw,replace same-sign alignment shifter with explicit gap-case constants,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_same_gapcase_constant_shift_synth_preset_raw,FP8 source predicate/table restructuring,ex240_same_gapcase_constant_shift + synth_preset + raw,replace same-sign alignment shifter with explicit gap-case constants,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_default_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + default + raw,replace diff-sign left shifter with explicit gap-case constants,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_extra_share_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + extra_share + raw,replace diff-sign left shifter with explicit gap-case constants,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + abc_g_aig + raw,replace diff-sign left shifter with explicit gap-case constants,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_diff_gapcase_constant_shift_synth_preset_raw,FP8 source predicate/table restructuring,ex240_diff_gapcase_constant_shift + synth_preset + raw,replace diff-sign left shifter with explicit gap-case constants,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_default_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + default + raw,field-level magnitude compare and decoded field mux for add paths,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + extra_share + raw,field-level magnitude compare and decoded field mux for add paths,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + abc_g_aig + raw,field-level magnitude compare and decoded field mux for add paths,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_compare_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_compare_decode + synth_preset + raw,field-level magnitude compare and decoded field mux for add paths,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_same_gapcase_default_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase + default + raw,field-level decode with same-sign gap-case constant alignment,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_same_gapcase_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase + extra_share + raw,field-level decode with same-sign gap-case constant alignment,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_same_gapcase_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase + abc_g_aig + raw,field-level decode with same-sign gap-case constant alignment,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_same_gapcase_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase + synth_preset + raw,field-level decode with same-sign gap-case constant alignment,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_diff_gapcase_default_raw,FP8 source predicate/table restructuring,ex240_field_diff_gapcase + default + raw,field-level decode with diff-sign gap-case constant alignment,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_diff_gapcase_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_diff_gapcase + extra_share + raw,field-level decode with diff-sign gap-case constant alignment,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_diff_gapcase_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_diff_gapcase + abc_g_aig + raw,field-level decode with diff-sign gap-case constant alignment,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_diff_gapcase_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_diff_gapcase + synth_preset + raw,field-level decode with diff-sign gap-case constant alignment,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_gapcase_constant_shifts_default_raw,FP8 source predicate/table restructuring,ex240_field_gapcase_constant_shifts + default + raw,field-level decode plus same/diff gap-case constant shifts,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_gapcase_constant_shifts_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_gapcase_constant_shifts + extra_share + raw,field-level decode plus same/diff gap-case constant shifts,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_gapcase_constant_shifts_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_gapcase_constant_shifts + abc_g_aig + raw,field-level decode plus same/diff gap-case constant shifts,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_gapcase_constant_shifts_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_gapcase_constant_shifts + synth_preset + raw,field-level decode plus same/diff gap-case constant shifts,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_field_split_norm + default + raw,field-level decode plus split diff normalizer parameter tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r56,ex240_ex240_field_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_split_norm + extra_share + raw,field-level decode plus split diff normalizer parameter tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
