case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex225,ex225_fp16_log10_exp_mant_pair_case,fp16_log10,exp_mant_pair_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/verilog/ex225_fp16_log10_exp_mant_pair_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/aigs/ex225_fp16_log10_exp_mant_pair_case.aig,1,1,1,11578,26,301028,116676,2.580034,0,0,15.060,31745,structural_exact,structural_exact FP16 frontend candidate
ex225,ex225_fp16_log10_sign_exp_mant_case,fp16_log10,sign_exp_mant_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/verilog/ex225_fp16_log10_sign_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/aigs/ex225_fp16_log10_sign_exp_mant_case.aig,1,1,1,11616,23,267168,116676,2.289828,0,0,13.395,31777,structural_exact,structural_exact FP16 frontend candidate
ex225,ex225_fp16_log10_positive_default_exp_mant_case,fp16_log10,positive_default_exp_mant_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/verilog/ex225_fp16_log10_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/aigs/ex225_fp16_log10_positive_default_exp_mant_case.aig,1,1,1,11603,24,278472,116676,2.386712,0,0,15.204,positive_entries=31746; relation=nan; relation_matches=31744; negative_exceptions=1024,structural_exact,structural_exact FP16 frontend candidate
ex225,ex225_fp16_log10_sign_exp_default_expr_case,fp16_log10,sign_exp_default_expr_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/verilog/ex225_fp16_log10_sign_exp_default_expr_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/aigs/ex225_fp16_log10_sign_exp_default_expr_case.aig,1,1,1,14110,24,338640,116676,2.902396,0,0,18.507,"groups=64; full_default_groups=33; exceptions=30718; defaults=abs_input:28,nan:32,neg_inf:2,one:1,sign_zero:1",semantic_hybrid,semantic_hybrid FP16 frontend candidate
ex225,ex225_fp16_log10_default_expr_exception_case,fp16_log10,default_expr_exception_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/verilog/ex225_fp16_log10_default_expr_exception_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex225/aigs/ex225_fp16_log10_default_expr_exception_case.aig,1,1,1,11689,26,303914,116676,2.604769,0,0,21.292,exceptions=32769; default=nan; matches=32767,structural_exact,structural_exact FP16 frontend candidate
ex226,ex226_fp16_sin_exp_mant_pair_case,fp16_sin,exp_mant_pair_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/verilog/ex226_fp16_sin_exp_mant_pair_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/aigs/ex226_fp16_sin_exp_mant_pair_case.aig,1,1,1,33830,24,811920,587790,1.381310,1,0,34.865,30722,structural_exact,structural_exact FP16 frontend candidate
ex226,ex226_fp16_sin_sign_exp_mant_case,fp16_sin,sign_exp_mant_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/verilog/ex226_fp16_sin_sign_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/aigs/ex226_fp16_sin_sign_exp_mant_case.aig,1,1,1,34442,24,826608,587790,1.406298,1,0,36.095,61444,structural_exact,structural_exact FP16 frontend candidate
ex226,ex226_fp16_sin_positive_default_exp_mant_case,fp16_sin,positive_default_exp_mant_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/aigs/ex226_fp16_sin_positive_default_exp_mant_case.aig,1,1,1,33460,23,769580,587790,1.309277,1,0,26.064,positive_entries=30723; relation=sign_flip_pos; relation_matches=31744; negative_exceptions=1024,structural_exact,structural_exact FP16 frontend candidate
ex226,ex226_fp16_sin_sign_exp_default_expr_case,fp16_sin,sign_exp_default_expr_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/verilog/ex226_fp16_sin_sign_exp_default_expr_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/aigs/ex226_fp16_sin_sign_exp_default_expr_case.aig,1,1,1,36210,24,869040,587790,1.478487,1,0,32.320,"groups=64; full_default_groups=22; exceptions=41848; defaults=abs_input:21,input:10,nan:2,neg_zero:1,one:29,sign_zero:1",semantic_hybrid,semantic_hybrid FP16 frontend candidate
ex226,ex226_fp16_sin_default_expr_exception_case,fp16_sin,default_expr_exception_case,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/verilog/ex226_fp16_sin_default_expr_exception_case.v,student/work/ex225_ex229_frontend_fp16_compact_20260607_1112/ex226/aigs/ex226_fp16_sin_default_expr_exception_case.aig,1,1,1,104271,26,2711046,587790,4.612270,0,0,277.342,exceptions=46195; default=input; matches=19341,structural_exact,structural_exact FP16 frontend candidate
