case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex241,ex241_semantic_mul_product_formula_exception_default,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_default,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_default.aig,1,1,1,610,71,43310,7224,5.995293,0,0,0.940,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_abc_g_aig,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_abc_g_aig.aig,1,1,1,591,71,41961,7224,5.808555,0,0,0.962,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_synth_preset,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_synth_preset,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_synth_preset.aig,1,1,1,572,69,39468,7224,5.463455,0,0,1.205,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_product_formula_exception_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_product_formula_exception_synth_preset_aig,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_product_formula_exception.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_product_formula_exception_synth_preset_aig.aig,1,1,1,562,69,38778,7224,5.367940,0,0,1.203,multiply 4x4 product normalization plus 13 exact rounding exceptions,semantic_exact,multiply 4x4 product normalization plus 13 exact rounding exceptions
ex241,ex241_semantic_mul_field_unsorted_default,fp8_e4m3fn_mul,semantic_mul_field_unsorted_default,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_default.aig,1,1,1,1479,21,31059,7224,4.299419,0,0,1.558,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_field_unsorted_abc_g_aig,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_abc_g_aig.aig,1,1,1,1476,20,29520,7224,4.086379,0,0,1.598,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_synth_preset,fp8_e4m3fn_mul,semantic_mul_field_unsorted_synth_preset,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_synth_preset.aig,1,1,1,1438,21,30198,7224,4.180233,0,0,1.887,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_unsorted_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_field_unsorted_synth_preset_aig,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_unsorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_unsorted_synth_preset_aig.aig,1,1,1,1423,20,28460,7224,3.939646,0,0,1.895,multiply table by exponent sum and unsorted operand significands,semantic_exact,multiply table by exponent sum and unsorted operand significands
ex241,ex241_semantic_mul_field_sparse_sorted_default,fp8_e4m3fn_mul,semantic_mul_field_sparse_sorted_default,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_sparse_sorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_sparse_sorted_default.aig,1,1,1,1543,28,43204,7224,5.980620,0,0,2.641,multiply sparse nonzero table by exponent sum and sorted significands,semantic_exact,multiply sparse nonzero table by exponent sum and sorted significands
ex241,ex241_semantic_mul_field_sparse_sorted_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_field_sparse_sorted_abc_g_aig,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/verilog/ex241_semantic_mul_field_sparse_sorted.v,student/work/ex241_ex242_frontend_fp8_sparse_fields_20260608_1253/ex241/aigs/ex241_semantic_mul_field_sparse_sorted_abc_g_aig.aig,1,1,1,1519,28,42532,7224,5.887597,0,0,2.896,multiply sparse nonzero table by exponent sum and sorted significands,semantic_exact,multiply sparse nonzero table by exponent sum and sorted significands
