case,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,synth_flow,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,beats_frontend_best,beats_reference,notes,domain,simulation_pass,shard_csv
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_case_default,ex246|E5M2FN packed multiply|product code arithmetic boundary residual case|shared product default class and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_case|default,E5M2FN multiply code-arithmetic product microcode,product log/default exponent microcode with exact boundary residual case table / default,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_case.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_case_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_default.evaluate.py.log,1,406,30,12180,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_default.yosys.log; flow=Yosys hierarchy/proc/techmap flow with internal abc -g AND,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_case_synth_preset_aig,ex246|E5M2FN packed multiply|product code arithmetic boundary residual case|shared product default class and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_case|synth_preset_aig,E5M2FN multiply code-arithmetic product microcode,product log/default exponent microcode with exact boundary residual case table / synth_preset_aig,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_case.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_case_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_synth_preset_aig.evaluate.py.log,1,395,29,11455,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_synth_preset_aig.yosys.log; flow=Yosys synth -flatten flow with internal abc -g aig,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_sop_default,ex246|E5M2FN packed multiply|selected boundary bit classifiers|shared product default class and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_sop|default,E5M2FN multiply selected-bit boundary classifiers,product microcode plus minimized Boolean classifiers for residual output bits / default,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_sop_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_default.evaluate.py.log,1,379,31,11749,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_default.yosys.log; flow=Yosys hierarchy/proc/techmap flow with internal abc -g AND,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_sop_synth_preset_aig,ex246|E5M2FN packed multiply|selected boundary bit classifiers|shared product default class and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_sop|synth_preset_aig,E5M2FN multiply selected-bit boundary classifiers,product microcode plus minimized Boolean classifiers for residual output bits / synth_preset_aig,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_sop_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_synth_preset_aig.evaluate.py.log,1,359,31,11129,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_synth_preset_aig.yosys.log; flow=Yosys synth -flatten flow with internal abc -g aig,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_biased_delta_microcode_default,ex247|E5M2FN packed low-over-high division|signed biased exponent microcode|shared sigpair attr and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|biased_delta_residual_case|default,E5M2FN division signed biased exponent microcode,sigpair attr microcode with signed exponent-delta default and boundary residual table / default,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_biased_delta_microcode.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_biased_delta_microcode_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_default.evaluate.py.log,1,475,28,13300,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_default.yosys.log; flow=Yosys hierarchy/proc/techmap flow with internal abc -g AND,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_biased_delta_microcode_synth_preset_aig,ex247|E5M2FN packed low-over-high division|signed biased exponent microcode|shared sigpair attr and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|biased_delta_residual_case|synth_preset_aig,E5M2FN division signed biased exponent microcode,sigpair attr microcode with signed exponent-delta default and boundary residual table / synth_preset_aig,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_biased_delta_microcode.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_biased_delta_microcode_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_synth_preset_aig.evaluate.py.log,1,462,28,12936,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_synth_preset_aig.yosys.log; flow=Yosys synth -flatten flow with internal abc -g aig,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_recip_nibble_residual_default,ex247|E5M2FN packed low-over-high division|quotient reciprocal nibble code|shared reciprocal nibble qcode and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|recip_nibble_residual|default,E5M2FN division quotient reciprocal nibble code,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / default,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_recip_nibble_residual.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_recip_nibble_residual_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_default.evaluate.py.log,1,1044,32,33408,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_default.yosys.log; flow=Yosys hierarchy/proc/techmap flow with internal abc -g AND,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_recip_nibble_residual_synth_preset_aig,ex247|E5M2FN packed low-over-high division|quotient reciprocal nibble code|shared reciprocal nibble qcode and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|recip_nibble_residual|synth_preset_aig,E5M2FN division quotient reciprocal nibble code,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / synth_preset_aig,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_recip_nibble_residual.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_recip_nibble_residual_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_synth_preset_aig.evaluate.py.log,1,995,31,30845,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_synth_preset_aig.yosys.log; flow=Yosys synth -flatten flow with internal abc -g aig,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_boundary_residual_sop_default,ex247|E5M2FN packed low-over-high division|selected quotient boundary bit classifiers|shared sigpair default and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_sop|default,E5M2FN division selected-bit quotient boundary classifiers,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / default,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_boundary_residual_sop_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_default.evaluate.py.log,1,504,26,13104,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_default.yosys.log; flow=Yosys hierarchy/proc/techmap flow with internal abc -g AND,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
ex247,sub-fp8-codearith-r65,ex247_r65_div_boundary_residual_sop_synth_preset_aig,ex247|E5M2FN packed low-over-high division|selected quotient boundary bit classifiers|shared sigpair default and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_sop|synth_preset_aig,E5M2FN division selected-bit quotient boundary classifiers,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / synth_preset_aig,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_boundary_residual_sop_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_synth_preset_aig.evaluate.py.log,1,506,28,14168,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_synth_preset_aig.yosys.log; flow=Yosys synth -flatten flow with internal abc -g aig,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/candidates.csv
