round,run_id,agent_id,case,domain,candidate_id,simulation_tool,status,patterns,log_path,notes,method_signature,shard_csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_bh2_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex204|bf16_log2_arithbase_selected_bit_minimal|round24 arithmetic-base hilo3 with only bit14 truth-derived correction|shared exponent base plus one selected output-bit table|abc_g_aig|abc_xf_official_evaluate|grouped word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_transform_source_reuse_out_sign_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex205|bf16_log10_field_decode_source_cleanup|current source reusing out_sign instead of duplicate bit15 block|same field decode but removes duplicate selected sign-bit block|abc_g_aig|abc_xf_official_evaluate|field-reassembled word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_bh2_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex204|bf16_log2_arithbase_selected_bit_minimal|round24 arithmetic-base hilo3 with only bit11 truth-derived correction|shared exponent base plus one selected output-bit table|abc_g_aig|abc_xf_official_evaluate|grouped word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_14_cmp_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex204|bf16_log2_arithbase_selected_bit_cmp|comparator-run selected-bit correction over arithmetic exponent base|shared exponent base plus comparator-coded selected output bits|abc_g_aig|abc_xf_official_evaluate|grouped word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_cmp_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex204|bf16_log2_arithbase_selected_bit_cmp|single bit14 comparator-run correction over arithmetic exponent base|shared exponent base plus one comparator-coded selected output bit|abc_g_aig|abc_xf_official_evaluate|grouped word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_cmp_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex204|bf16_log2_arithbase_selected_bit_cmp|single bit11 comparator-run correction over arithmetic exponent base|shared exponent base plus one comparator-coded selected output bit|abc_g_aig|abc_xf_official_evaluate|grouped word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex205|bf16_log10_field_decode_bitgroup_recheck|current separate field split with bit15 bh2 under current aig flow|shared sign/exponent/mantissa field decode plus selected sign bit|abc_g_aig|abc_xf_official_evaluate|field-reassembled word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex205|bf16_log10_field_decode_exp_recut|separate field split with exp_hi4 mant_hi3 and selected sign bit|shared field decode with finer exponent grouping|abc_g_aig|abc_xf_official_evaluate|field-reassembled word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e3_m4_s0_bits_15_bh1_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex205|bf16_log10_field_decode_mant_recut|separate field split with exp_hi3 mant_hi4 and selected sign bit|shared field decode with finer mantissa grouping|abc_g_aig|abc_xf_official_evaluate|field-reassembled word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e4_m2_s0_bits_15_bh1_abc_g_aig,not_run,not_run,,,Skipped; official evaluate.py used for final equivalence/QoR.,ex205|bf16_log10_field_decode_cross_recut|separate field split with exp_hi4 mant_hi2 and selected sign bit|shared field decode balancing exponent and mantissa tables|abc_g_aig|abc_xf_official_evaluate|field-reassembled word output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/simulation_results.csv
