round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,variant,semantics,output_grouping,verified_truth,current_frontend_adp,beats_current_frontend,frontend_baseline_adp
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex200,bf16,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,shared_bf16_exp_field_shell,bf16_exp,separate output fields plus selected exponent-msb predicate,shared sign_exp special/default shell; mantissa hi3 residual; bit14 split,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/logs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/logs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.evaluate.py.log,OK,1,not_run,3650,16,58400,40052,49294,54405,0,0,0,separate fields exp_hi=4 mant_hi=3 sign_hi=0 items=3252; sep bit overrides bits=14 bit_hi_bits=2 bit_items=26; official evaluate.py OK; runtime_sec=2.804,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex201,bf16,ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,shared_bf16_exp2_field_shell,bf16_exp2,separate output fields plus paired low-bit predicates,shared sign_exp special/default shell; bit2/bit3 residual grouped separately,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex201|shared_bf16_exp2_field_shell|sep_fields_e3_m3_s0_bits_2_3_bh1|shared sign_exp special/default shell; bit2/bit3 residual grouped separately|yosys_abc_g_AND_aigmap|DAZ_exp2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/verilog/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/aigs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/logs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/logs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.evaluate.py.log,OK,1,not_run,1633,15,24495,16300,19513,23058,0,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3122; sep bit overrides bits=2_3 bit_hi_bits=1 bit_items=2338; official evaluate.py OK; runtime_sec=2.211,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex202,bf16,ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15,bf16_exp10_compact_formula_residual,bf16_exp10,separate output fields with hand formula for bit14 and constant sign bit,shared field tables; formula residual for exponent-msb/sign,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex202|bf16_exp10_compact_formula_residual|sep_fields_e3_m3_s0_formula_bits_14_15|shared field tables; formula residual for exponent-msb/sign|yosys_abc_g_AND_aigmap|DAZ_exp10_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/verilog/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/aigs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/logs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/logs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.evaluate.py.log,OK,1,not_run,3486,17,59262,43344,46144,55648,0,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402; formula bit overrides bits=14_15 bit_items=2; official evaluate.py OK; runtime_sec=2.762,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex203,bf16,ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2,bf16_log_grouped_output_residual,bf16_log,current-style separated fields with an additional grouped bit13 residual,shared sign/exp/mant tables; selected bit13/bit14 predicates,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex203|bf16_log_grouped_output_residual|sep_fields_e3_m3_s2_bits_13_14_bh2|shared sign/exp/mant tables; selected bit13/bit14 predicates|yosys_abc_g_AND_aigmap|DAZ_ln_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/verilog/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/aigs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/logs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/logs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.evaluate.py.log,OK,1,not_run,4610,17,78370,56948,65088,77248,0,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=2 items=7941; sep bit overrides bits=13_14 bit_hi_bits=2 bit_items=93; official evaluate.py OK; runtime_sec=5.629,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14,bf16_log2_arithbase_compact_formula_residual,bf16_log2,semantic exponent base plus mantissa delta and compact formulas for bits 9/11/14,shared log2 exponent base; formula residual predicates instead of equality/full-run replay,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex204|bf16_log2_arithbase_compact_formula_residual|log2_arithbase_delta_hilo3_formula_bits_9_11_14|shared log2 exponent base; formula residual predicates instead of equality/full-run replay|yosys_abc_g_AND_aigmap|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/verilog/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/aigs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.evaluate.py.log,OK,1,not_run,1544,18,27792,15180,20006,24576,0,0,0,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides= bit_items=0; formula bit overrides bits=9_11_14 bit_items=3; official evaluate.py OK; runtime_sec=5.748,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14,bf16_log2_field_formula_residual,bf16_log2,source-level output grouping with compact log2 sign/exponent formulas,shared field tables; formula residual for bits 11/14,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex204|bf16_log2_field_formula_residual|sep_fields_e3_m3_s0_formula_bits_11_14|shared field tables; formula residual for bits 11/14|yosys_abc_g_AND_aigmap|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/verilog/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/aigs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.evaluate.py.log,OK,1,not_run,2250,16,36000,15180,20006,24576,0,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=8855; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK; runtime_sec=4.937,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex205,bf16,ex205_r94_sign_exp_default_expr_casez_manual_bits_15,bf16_log10_default_expr_shell,bf16_log10,sign-exp default-expression shell plus compact sign predicate,shared default expression cases; manual sign bit residual,truth-derived BF16 field decode and selected residual predicates,yosys_abc_g_AND_aigmap,ex205|bf16_log10_default_expr_shell|sign_exp_default_expr_casez_manual_bits_15|shared default expression cases; manual sign bit residual|yosys_abc_g_AND_aigmap|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/verilog/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/aigs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/logs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.yosys.log,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/logs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.evaluate.py.log,OK,1,not_run,4755,21,99855,47128,63440,71104,0,0,0,range-compressed sign-exp default expression groups=2 exceptions=32640 items=32905; manual formula bits=15; official evaluate.py OK; runtime_sec=7.754,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut,,bf16_reciprocal,exponent-affine reciprocal shell with single-add style exponent path,,BF16 special-case shell plus grouped output/source-level selected correction,,ex211|round94_frontend_structural_bf16|bf16_reciprocal|hand_recip_formula_signmag_add_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut/ex211.aig,,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.evaluate.py.log,,1,not_run,272,12,3264,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/candidates.csv,,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3,,bf16_reciprocal,source-level grouped output delta pair using sign-selected halves,,BF16 special-case shell plus grouped output/source-level selected correction,,ex211|round94_frontend_structural_bf16|bf16_reciprocal|delta_pair_mode_hilo3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3/ex211.aig,,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.evaluate.py.log,,1,not_run,296,12,3552,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/candidates.csv,,,,,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3,,bf16_reciprocal,positive-domain field table with shared sign shell,,BF16 special-case shell plus grouped output/source-level selected correction,,ex211|round94_frontend_structural_bf16|bf16_reciprocal|odd_pos_fields_e3_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3/ex211.aig,,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.evaluate.py.log,,1,not_run,992,14,13888,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/candidates.csv,,,,,,,
