case,domain,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,evaluate_log,equivalent,simulation_pass,area,delay,adp,frontend_best_adp,new_best_adp,old_best_adp,old_frontend_adp,reference_adp,improvement_vs_frontend,beats_reference,notes
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resyn2rs_area_from_frontend_best,ex247|frontend_best_structural_remap|abc_diverse_resyn2rs_area|preserve_frontend_source_shared_logic|parent_ex247_r32_compress2rs_area_from_frontend_best|resyn2rs_area|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow resyn2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resyn2rs_area_from_frontend_best.evaluate.py.log,1,not_run,322,23,7406,7406,7406,7452,7452,2975,46,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.105; eval_sec=0.462; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_compress2rs_area_from_frontend_best,ex247|frontend_best_structural_remap|abc_diverse_compress2rs_area|preserve_frontend_source_shared_logic|parent_ex247_r32_compress2rs_area_from_frontend_best|compress2rs_area|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow compress2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress2rs_area_from_frontend_best.evaluate.py.log,1,not_run,318,23,7314,7314,7314,7452,7452,2975,138,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.106; eval_sec=0.445; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_dchoice_dc2_from_frontend_best,ex247|frontend_best_structural_remap|abc_diverse_dchoice_dc2|preserve_frontend_source_shared_logic|parent_ex247_r32_compress2rs_area_from_frontend_best|dchoice_dc2|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow dchoice_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_dchoice_dc2_from_frontend_best.evaluate.py.log,1,not_run,323,23,7429,7429,7429,7452,7452,2975,23,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.064; eval_sec=0.440; flow=strash; dchoice; dc2; balance
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resub_deep_rf_from_frontend_best,ex247|frontend_best_structural_remap|abc_diverse_resub_deep_rf|preserve_frontend_source_shared_logic|parent_ex247_r32_compress2rs_area_from_frontend_best|resub_deep_rf|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow resub_deep_rf,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resub_deep_rf_from_frontend_best.evaluate.py.log,1,not_run,323,23,7429,7429,7429,7452,7452,2975,23,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.075; eval_sec=0.442; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_resyn2rs_area_from_frontend_best,ex240|frontend_best_structural_remap|abc_diverse_resyn2rs_area|preserve_frontend_source_shared_logic|parent_ex240_r32_resyn2rs_area_from_frontend_best|resyn2rs_area|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow resyn2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/aigs/ex240_r34_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_resyn2rs_area_from_frontend_best.evaluate.py.log,1,not_run,565,51,28815,28815,28815,28866,28866,13299,51,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.138; eval_sec=0.829; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_compress2rs_area_from_frontend_best,ex240|frontend_best_structural_remap|abc_diverse_compress2rs_area|preserve_frontend_source_shared_logic|parent_ex240_r32_resyn2rs_area_from_frontend_best|compress2rs_area|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow compress2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/aigs/ex240_r34_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_compress2rs_area_from_frontend_best.evaluate.py.log,1,not_run,563,51,28713,28713,28713,28866,28866,13299,153,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.137; eval_sec=0.827; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_dchoice_dc2_from_frontend_best,ex240|frontend_best_structural_remap|abc_diverse_dchoice_dc2|preserve_frontend_source_shared_logic|parent_ex240_r32_resyn2rs_area_from_frontend_best|dchoice_dc2|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow dchoice_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/aigs/ex240_r34_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_dchoice_dc2_from_frontend_best.evaluate.py.log,1,not_run,564,51,28764,28764,28764,28866,28866,13299,102,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.085; eval_sec=0.825; flow=strash; dchoice; dc2; balance
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_compress_l_no_dc_from_frontend_best,ex240|frontend_best_structural_remap|abc_diverse_compress_l_no_dc|preserve_frontend_source_shared_logic|parent_ex240_r32_resyn2rs_area_from_frontend_best|compress_l_no_dc|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow compress_l_no_dc,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/aigs/ex240_r34_compress_l_no_dc_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_compress_l_no_dc_from_frontend_best.evaluate.py.log,1,not_run,565,51,28815,28815,28815,28866,28866,13299,51,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.077; eval_sec=0.828; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_resub_deep_rf_from_frontend_best,ex240|frontend_best_structural_remap|abc_diverse_resub_deep_rf|preserve_frontend_source_shared_logic|parent_ex240_r32_resyn2rs_area_from_frontend_best|resub_deep_rf|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow resub_deep_rf,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/aigs/ex240_r34_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_resub_deep_rf_from_frontend_best.evaluate.py.log,1,not_run,565,51,28815,28815,28815,28866,28866,13299,51,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex240/logs/ex240_r34_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.086; eval_sec=0.835; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex244,float_fp8,local-fp8-iter-r34,ex244_r34_resyn2rs_area_from_frontend_best,ex244|frontend_best_structural_remap|abc_diverse_resyn2rs_area|preserve_frontend_source_shared_logic|parent_ex244_r32_resyn2rs_area_from_frontend_best|resyn2rs_area|official_evaluate|full_word,frontend best structural remap from current best,ABC diverse remap flow resyn2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex244/aigs/ex244_r34_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex244/logs/ex244_r34_resyn2rs_area_from_frontend_best.evaluate.py.log,1,not_run,285,32,9120,9120,9120,9184,9184,4272,64,0,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex244/logs/ex244_r34_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.092; eval_sec=0.479; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
