case,label,format,current_classification,current_variant,adp_ratio_to_reference,semantic_priority,sign_relation,arith_fit,active_exp_groups_pos,active_exp_groups_neg,doc_path
ex200,bf16_exp,bf16,structural_exact,sign_exp_mant_case,1.591256,high,positive_zero,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex200/semantic_notes.md
ex201,bf16_exp2,bf16,structural_exact,exp_mant_pair_case,1.471472,medium,positive_zero,,2,2,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex201/semantic_notes.md
ex202,bf16_exp10,bf16,semantic_hybrid,semantic_sign_exp_field_defaults,1.366556,medium,positive_zero,,2,2,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex202/semantic_notes.md
ex203,bf16_log,bf16,structural_exact,sign_exp_mant_case,1.436890,medium,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex203/semantic_notes.md
ex204,bf16_log2,bf16,structural_exact,exp_mant_delta_pair,1.990909,high,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex204/semantic_notes.md
ex205,bf16_log10,bf16,structural_exact,sign_exp_mant_case,1.768757,high,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex205/semantic_notes.md
ex206,bf16_sin,bf16,structural_exact,split_sign_exp_mant_case,1.187892,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex206/semantic_notes.md
ex207,bf16_tan,bf16,structural_exact,exp_mant_pair_case,1.235478,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex207/semantic_notes.md
ex208,bf16_sinh,bf16,structural_exact,split_sign_exp_mant_case,1.351561,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex208/semantic_notes.md
ex209,bf16_tanh,bf16,semantic_hybrid,sign_exp_default_expr_case,1.358607,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex209/semantic_notes.md
ex210,bf16_sigmoid,bf16,semantic_hybrid,semantic_field_reassembly,1.399919,medium,positive_zero,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex210/semantic_notes.md
ex211,bf16_reciprocal,bf16,semantic_hybrid,semantic_positive_symmetry_fields,1.416199,medium,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex211/semantic_notes.md
ex212,bf16_square,bf16,structural_exact,exp_mant_delta_pair,1.518229,high,same_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex212/semantic_notes.md
ex213,bf16_sqrt,bf16,semantic_exact,semantic_arith_fields,1.515172,medium,canonical_nan,True,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex213/semantic_notes.md
