case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex247,ex247_semantic_div_sigpair_invalid_dc_seed0_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed0_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed0.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed0_synth_preset_aig.aig,1,1,1,469,25,11725,2975,3.941176,0,0,1.182,E5M2FN div: random invalid sigpair don't-care completion seed 0,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed1_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed1_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed1.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed1_synth_preset_aig.aig,1,1,1,455,25,11375,2975,3.823529,0,0,1.139,E5M2FN div: random invalid sigpair don't-care completion seed 1,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed2_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed2_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed2.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed2_synth_preset_aig.aig,1,1,1,444,25,11100,2975,3.731092,0,0,1.220,E5M2FN div: random invalid sigpair don't-care completion seed 2,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed3_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed3_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed3.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed3_synth_preset_aig.aig,1,1,1,461,25,11525,2975,3.873950,0,0,1.169,E5M2FN div: random invalid sigpair don't-care completion seed 3,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed4_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed4_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed4.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed4_synth_preset_aig.aig,1,1,1,470,25,11750,2975,3.949580,0,0,1.182,E5M2FN div: random invalid sigpair don't-care completion seed 4,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed5_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed5_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed5.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed5_synth_preset_aig.aig,1,1,1,475,25,11875,2975,3.991597,0,0,1.191,E5M2FN div: random invalid sigpair don't-care completion seed 5,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed6_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed6_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed6.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed6_synth_preset_aig.aig,1,1,1,446,24,10704,2975,3.597983,0,0,1.168,E5M2FN div: random invalid sigpair don't-care completion seed 6,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed7_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed7_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed7.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed7_synth_preset_aig.aig,1,1,1,448,26,11648,2975,3.915294,0,0,1.184,E5M2FN div: random invalid sigpair don't-care completion seed 7,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed8_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed8_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed8.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed8_synth_preset_aig.aig,1,1,1,462,25,11550,2975,3.882353,0,0,1.192,E5M2FN div: random invalid sigpair don't-care completion seed 8,semantic_exact,
ex247,ex247_semantic_div_sigpair_invalid_dc_seed9_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_invalid_dc_seed9_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/verilog/ex247_semantic_div_sigpair_invalid_dc_seed9.v,student/work/ex247_frontend_fp8_e5m2_invalid_dc_random_20260608_1925/ex247/aigs/ex247_semantic_div_sigpair_invalid_dc_seed9_synth_preset_aig.aig,1,1,1,503,24,12072,2975,4.057815,0,0,1.174,E5M2FN div: random invalid sigpair don't-care completion seed 9,semantic_exact,
