round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,variant,verified_truth
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,integer,ex260_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,signed_low4_high4_multiply,semantic output-word hit cover grouped by exact product value,one predicate per product word drives all output bits,output word predicates,yosys_abc_g_aig,ex260|signed_low4_high4_multiply_r84_truth_wordhit_cover|output_word_hit_cover|shared_product_value_predicates|yosys_abc_g_aig|official_evaluate|not_baugh_booth_signed_digit_sign_quadrant,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/verilog/ex260_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/aigs/ex260_r84_wordhit_cover_abc_g_aig.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/logs/ex260_r84_wordhit_cover_abc_g_aig.yosys.log,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/official_eval/ex260_r84_wordhit_cover_abc_g_aig/ex260_r84_wordhit_cover_abc_g_aig.evaluate.py.log,OK,1,not_run,564,12,6768,657,1066,1131,0,0,0,source-free grouped output cover; materially different from recent arithmetic compressor and signed-digit families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/candidates.csv,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,integer,ex266_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,unsigned_low5_high5_divide_dbz_sat,semantic quotient-word hit cover grouped by exact quotient value,one predicate per quotient word drives all quotient bits,output word predicates,yosys_abc_g_aig,ex266|unsigned_low5_high5_divide_r84_quotient_wordhit_cover|output_word_hit_cover|shared_quotient_value_predicates|yosys_abc_g_aig|official_evaluate|not_wordmux_threshold_reciprocal_restoring,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/verilog/ex266_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/aigs/ex266_r84_wordhit_cover_abc_g_aig.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/logs/ex266_r84_wordhit_cover_abc_g_aig.yosys.log,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/official_eval/ex266_r84_wordhit_cover_abc_g_aig/ex266_r84_wordhit_cover_abc_g_aig.evaluate.py.log,OK,1,not_run,486,13,6318,848,1296,1480,0,0,0,source-free grouped quotient cover; materially different from current cofactor wordmux spelling and serial recurrence families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/candidates.csv,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,fp16,ex223_r84_highword5_low11_hi5_abc_g_aig,fp16_r84_highword_grouped_runs,fp16_log,positive-normal high output word run tree plus low nested truth LUT,single multi-bit highword predicate tree shares boundaries across high output bits,"highword cofactors, low nested LUT, shared sign_exp decode",yosys_abc_g_aig,ex223|fp16_log_r84_highword5_low11_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/verilog/ex223_r84_highword5_low11_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/aigs/ex223_r84_highword5_low11_hi5_abc_g_aig.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/logs/ex223_r84_highword5_low11_hi5_abc_g_aig.yosys.log,student/runs/fp16/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/official_eval/ex223_r84_highword5_low11_hi5_abc_g_aig/ex223_r84_highword5_low11_hi5_abc_g_aig.evaluate.py.log,OK,1,not_run,10771,19,204649,120549,189468,203490,0,0,0,highword grouped positive-normal run tree plus exact low nested LUT; high_width=5; low_width=11; nested_hi=5; nested_lo=5; high_runs=45; high_max_runs=7; high_const_groups=24; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/candidates.csv,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,fp16,ex225_r84_highword4_low12_hi5_abc_g_aig,fp16_r84_highword_grouped_runs,fp16_log10,positive-normal high output word run tree plus low nested truth LUT,single multi-bit highword predicate tree shares boundaries across high output bits,"highword cofactors, low nested LUT, shared sign_exp decode",yosys_abc_g_aig,ex225|fp16_log10_r84_highword4_low12_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/verilog/ex225_r84_highword4_low12_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/aigs/ex225_r84_highword4_low12_hi5_abc_g_aig.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/logs/ex225_r84_highword4_low12_hi5_abc_g_aig.yosys.log,student/runs/fp16/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/official_eval/ex225_r84_highword4_low12_hi5_abc_g_aig/ex225_r84_highword4_low12_hi5_abc_g_aig.evaluate.py.log,OK,1,not_run,11570,19,219830,116676,205656,218595,0,0,0,highword grouped positive-normal run tree plus exact low nested LUT; high_width=4; low_width=12; nested_hi=5; nested_lo=5; high_runs=38; high_max_runs=4; high_const_groups=26; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,float_fp8,ex247_r84_desc_word_case,descriptor_cofactored_output_grouping,E5M2FN packed low-over-high division,truth-derived descriptor case split by full word,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex247|E5M2FN packed low-over-high division|denominator quotient descriptor cofactored output grouping|shared denominator/numerator sig decode plus exponent-delta bucket predicates|repo_yosys_frontend|official_evaluate|desc_word_case,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/verilog/ex247_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/aigs/ex247_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_word_case.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_word_case.evaluate.py.log,OK,1,not_run,1795,30,53850,2975,6804,7291,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,float_fp8,ex247_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,E5M2FN packed low-over-high division,truth-derived descriptor case split by nibbles,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex247|E5M2FN packed low-over-high division|denominator quotient descriptor cofactored output grouping|shared denominator/numerator sig decode plus exponent-delta bucket predicates|repo_yosys_frontend|official_evaluate|desc_nibble_cofactor,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/verilog/ex247_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/aigs/ex247_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_nibble_cofactor.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_nibble_cofactor.evaluate.py.log,OK,1,not_run,3297,32,105504,2975,6804,7291,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,float_fp8,ex246_r84_desc_word_case,descriptor_cofactored_output_grouping,E5M2FN packed multiply,truth-derived descriptor case split by full word,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex246|E5M2FN packed multiply|product descriptor cofactored output grouping|shared sign exponent-sum product and saturation/underflow predicates|repo_yosys_frontend|official_evaluate|desc_word_case,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/verilog/ex246_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/aigs/ex246_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_word_case.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_word_case.evaluate.py.log,OK,1,not_run,994,29,28826,2805,5984,6888,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,float_fp8,ex244_r84_desc_word_case,descriptor_cofactored_output_grouping,E4M3FN packed hypot abs high low,truth-derived descriptor case split by full word,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex244|E4M3FN packed hypot abs_high_low|hypot descriptor cofactored output grouping|shared max/min effective exponent gap and significand predicates|repo_yosys_frontend|official_evaluate|desc_word_case,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/verilog/ex244_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/aigs/ex244_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_word_case.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_word_case.evaluate.py.log,OK,1,not_run,1472,35,51520,4272,8928,9120,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,float_fp8,ex246_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,E5M2FN packed multiply,truth-derived descriptor case split by nibbles,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex246|E5M2FN packed multiply|product descriptor cofactored output grouping|shared sign exponent-sum product and saturation/underflow predicates|repo_yosys_frontend|official_evaluate|desc_nibble_cofactor,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/verilog/ex246_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/aigs/ex246_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_nibble_cofactor.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_nibble_cofactor.evaluate.py.log,OK,1,not_run,715,32,22880,2805,5984,6888,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,float_fp8,ex244_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,E4M3FN packed hypot abs high low,truth-derived descriptor case split by nibbles,cofactored output grouping over one shared descriptor,shared FP8 field descriptor before output lookup,student.frontends.yosys_synth default abc_AND,ex244|E4M3FN packed hypot abs_high_low|hypot descriptor cofactored output grouping|shared max/min effective exponent gap and significand predicates|repo_yosys_frontend|official_evaluate|desc_nibble_cofactor,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/verilog/ex244_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/aigs/ex244_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_nibble_cofactor.yosys.log,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_nibble_cofactor.evaluate.py.log,OK,1,not_run,1384,39,53976,4272,8928,9120,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/candidates.csv,,
