case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex200,bf16,bf16_exp_semantic_shell_replay,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/official_eval/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=1.791
ex200,bf16,bf16_exp_semantic_shell_replay,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|synth_preset|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/official_eval/ex200_semantic_default_one_casez_saturation_replay_synth_preset.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=2.400
ex200,bf16,bf16_exp_sparse_residual_compression,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/verilog/ex200_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/official_eval/ex200_bf16_sparse_residual_hilo3_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex204,bf16,bf16_log2_arithbase_selected_bit_replay,ex204|bf16_log2_arithbase_selected_bit_replay|arithbase_delta_hilo3_bits_11_14_source_replay|shared exponent/mantissa arithmetic base plus selected bit formulas|abc_g_aig|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word with selected-bit overrides,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex204/official_eval/ex204_arithbase_delta_hilo3_bits_11_14_replay_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=4.304
ex204,bf16,bf16_log2_arithbase_selected_bit_replay,ex204|bf16_log2_arithbase_selected_bit_replay|arithbase_delta_hilo3_bits_11_14_source_replay|shared exponent/mantissa arithmetic base plus selected bit formulas|synth_preset|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word with selected-bit overrides,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex204/official_eval/ex204_arithbase_delta_hilo3_bits_11_14_replay_synth_preset.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=5.820
ex204,bf16,bf16_log2_sparse_residual_compression,ex204|bf16_log2_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_gates|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex204/verilog/ex204_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex204/official_eval/ex204_bf16_sparse_residual_hilo3_abc_g_gates.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=6551
ex205,bf16,bf16_log10_field_decode_replay,ex205|bf16_log10_field_decode_replay|sep_fields_e3_m3_s0_bits_15_source_replay|shared sign/exponent/mantissa field decode plus sign predicate|abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|separate output fields with selected-bit override,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1__seedcopy.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex205/official_eval/ex205_sep_fields_e3_m3_s0_bits_15_replay_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=4.703
ex205,bf16,bf16_log10_field_decode_replay,ex205|bf16_log10_field_decode_replay|sep_fields_e3_m3_s0_bits_15_source_replay|shared sign/exponent/mantissa field decode plus sign predicate|synth_preset|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|separate output fields with selected-bit override,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1__seedcopy.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex205/official_eval/ex205_sep_fields_e3_m3_s0_bits_15_replay_synth_preset.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,source replay runtime_sec=5.921
ex205,bf16,bf16_log10_sparse_residual_compression,ex205|bf16_log10_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex205/verilog/ex205_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex205/official_eval/ex205_bf16_sparse_residual_hilo3_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=5584
ex223,fp16,fp16_log_family_sparse_residual_compression,ex223|fp16_log_family_sparse_residual_compression|sparse_per_hi_low14_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low14_residual,LOW_VALUE_EQUIV,official evaluate.py status OK; beats_current_frontend=0,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex223/verilog/ex223_log_sparse_residual_low14_hi5.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex223/official_eval/ex223_log_sparse_residual_low14_hi5_abc_g_aig.evaluate.py.log,mixed-r8,ex200_ex299_frontend_refgap_round8_20260612_1826,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
