case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation
ex223,,,,,,,,sub-fp16-int-r68,,nested_low14_hi4,special decode plus per-exp high-bit run trees and low14 hi4/lo6 LUT,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex223,,,,,,,,sub-fp16-int-r68,,expband_word_hi5lo5,coarse exponent-band word table,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex225,,,,,,,,sub-fp16-int-r68,,nested_low14_hi4,special decode plus per-exp high-bit run trees and low14 hi4/lo6 LUT,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex225,,,,,,,,sub-fp16-int-r68,,expband_word_hi5lo5,coarse exponent-band word table,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex260,,,,,,,,sub-fp16-int-r68,,native/case-constant multiply,Yosys multiplier factoring or high-operand constant multiply,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex266,,,,,,,,sub-fp16-int-r68,,constant divisor / threshold priority,denominator case predicates and shared quotient thresholds,evaluated,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/shared_structure_report.csv,,,
ex240,ex240_r68_direct_cancel_formula,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared sorted field decode plus explicit same/diff guard-round/cancellation predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed add,direct field arithmetic with compact cancellation predicates
ex240,ex240_r68_lowbit_overlay,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,preserve r64 high/sign decode; recompute only low magnitude bits from active same/diff cofactors,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed add,selected low-bit cofactor overlay on factored current best source
ex240,ex240_r68_bit_predicate_network,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,"shared sorted field decode with independent active-region bit predicates, no descriptor high/low split",,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed add,reduced per-output-bit predicate network
ex241,ex241_r68_product_exception_formula,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared sign xor exponent-sum product and boundary predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,direct product exponent arithmetic with exception overlay
ex241,ex241_r68_lowbit_overlay,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,preserve nested product high/sign decode; recompute low magnitude bits from product cofactors,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,selected low-bit cofactor overlay on nested product source
ex241,ex241_r68_bit_predicate_network,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared exponent-sum product key with independent output-bit predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,reduced per-output-bit product predicate network
ex242,ex242_r68_quotient_exception_formula,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared divisor special decode and exponent-delta quotient predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,direct quotient exponent arithmetic with bitwise boundary exceptions
ex242,ex242_r68_lowbit_overlay,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,preserve sparse field-table high/sign decode; recompute low magnitude bits from quotient cofactors,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,selected low-bit cofactor overlay on sparse quotient source
ex242,ex242_r68_bit_predicate_network,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared exponent-delta quotient key with independent output-bit predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,reduced per-output-bit quotient predicate network
ex245,ex245_r68_gap_class_formula,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,shared sorted field decode plus gap/max/min significand class formulas,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E5M2FN packed add,direct small-gap field arithmetic with shared saturation predicates
ex245,ex245_r68_lowbit_overlay,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,preserve active-table high/sign decode; recompute only low magnitude bits from same/diff cofactors,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E5M2FN packed add,selected low-bit cofactor overlay on active-table source
ex245,ex245_r68_bit_predicate_network,,,,,,,sub-fp8-mid-r68,source-only RTL; Yosys internal ABC only; no standalone AIG remap/post-flow,,"shared sorted field decode with independent active-region bit predicates, no descriptor high/low split",,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/shared_structure_report.csv,float_fp8,E5M2FN packed add,reduced per-output-bit predicate network
ex244,ex244_r68_maxcode_threshold_ranges_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared abs max/min decode plus per-max min-code delta ranges,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E4M3FN packed hypot exact max/min code ranges,max-code threshold range decoder
ex244,ex244_r68_gap_sig_interval_bank_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared max/min effective exponent and significand decode with min-sig intervals,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E4M3FN packed hypot exact gap/significand interval bank,gap/significand interval decoder
ex246,ex246_r68_exp_product_mag_table_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared sign exponent/significand decode and direct exp-product magnitude rows,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN packed multiply exact exp-product magnitude table,exp-sum outer product-value table
ex246,ex246_r68_product_interval_ranges_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared product value with exp-sum range predicates per product,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN packed multiply exact product interval ranges,product-major exp-sum interval ranges
ex247,ex247_r68_delta_sigpair_mag_table_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared sign exponent delta and sigpair decode with direct magnitude rows,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN low-over-high division exact delta/sigpair table,delta-key outer sigpair direct magnitude table
ex247,ex247_r68_sigpair_delta_intervals_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared sigpair decode plus per-pair exponent-delta magnitude intervals,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN low-over-high division exact sigpair delta intervals,sigpair-major delta interval ranges
ex249,ex249_r68_maxcode_threshold_ranges_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared abs max/min decode plus per-max min-code delta ranges,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN packed hypot exact max/min code ranges,max-code threshold range decoder
ex249,ex249_r68_gap_sig_interval_bank_synth_preset_aig,,,,,,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,shared raw effective exponent/significand decode with min-sig intervals,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/shared_structure_report.csv,float_fp8,E5M2FN packed hypot exact gap/significand interval bank,gap/significand interval decoder
