case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex240,ex240_semantic_add_sigalg_norm_default,fp8_e4m3fn_add,semantic_add_sigalg_norm_default,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_default.aig,1,1,1,960,82,78720,13299,5.919242,0,0,1.574,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_abc_g_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm_abc_g_aig,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_abc_g_aig.aig,1,1,1,935,80,74800,13299,5.624483,0,0,1.595,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_synth_preset,fp8_e4m3fn_add,semantic_add_sigalg_norm_synth_preset,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_synth_preset.aig,1,1,1,1175,96,112800,13299,8.481841,0,0,2.013,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_synth_preset_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm_synth_preset_aig,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_synth_preset_aig.aig,1,1,1,1136,96,109056,13299,8.200316,0,0,1.917,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_nested_gap_default,fp8_e4m3fn_add,semantic_add_nested_gap_default,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_nested_gap.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_nested_gap_default.aig,1,1,1,1743,41,71463,13299,5.373562,0,0,3.495,add nested table by gap/max exponent and significand pair,semantic_exact,
ex240,ex240_semantic_add_nested_gap_abc_g_aig,fp8_e4m3fn_add,semantic_add_nested_gap_abc_g_aig,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_nested_gap.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_nested_gap_abc_g_aig.aig,1,1,1,1710,40,68400,13299,5.143244,0,0,3.464,add nested table by gap/max exponent and significand pair,semantic_exact,
ex240,ex240_semantic_add_nested_gap_synth_preset,fp8_e4m3fn_add,semantic_add_nested_gap_synth_preset,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_nested_gap.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_nested_gap_synth_preset.aig,1,1,1,1652,38,62776,13299,4.720355,0,0,4.005,add nested table by gap/max exponent and significand pair,semantic_exact,
ex240,ex240_semantic_add_nested_gap_synth_preset_aig,fp8_e4m3fn_add,semantic_add_nested_gap_synth_preset_aig,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_nested_gap.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_nested_gap_synth_preset_aig.aig,1,1,1,1624,38,61712,13299,4.640349,0,0,4.009,add nested table by gap/max exponent and significand pair,semantic_exact,
ex240,ex240_semantic_add_magnitude_bdd_exp_sign_mid_default,fp8_e4m3fn_add,semantic_add_magnitude_bdd_exp_sign_mid_default,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_magnitude_bdd_exp_sign_mid.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_magnitude_bdd_exp_sign_mid_default.aig,1,1,1,2486,30,74580,13299,5.607940,0,0,1.944,add semantic sign formula plus magnitude-only BDD with sign in middle,semantic_exact,
ex240,ex240_semantic_add_magnitude_bdd_exp_sign_mid_abc_g_aig,fp8_e4m3fn_add,semantic_add_magnitude_bdd_exp_sign_mid_abc_g_aig,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/verilog/ex240_semantic_add_magnitude_bdd_exp_sign_mid.v,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex240/aigs/ex240_semantic_add_magnitude_bdd_exp_sign_mid_abc_g_aig.aig,1,1,1,2467,28,69076,13299,5.194075,0,0,1.715,add semantic sign formula plus magnitude-only BDD with sign in middle,semantic_exact,
