case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex230,ex230_exp_mant_pair_case_abc_g_aig,fp16_sigmoid,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_exp_mant_pair_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_exp_mant_pair_case_abc_g_aig.aig,1,1,1,6969,20,139380,108320,1.286743,1,0,6.414,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex230,ex230_positive_default_exp_mant_case_abc_g_aig,fp16_sigmoid,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_positive_default_exp_mant_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_positive_default_exp_mant_case_abc_g_aig.aig,1,1,1,6979,20,139580,108320,1.288589,1,0,7.509,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex230,ex230_semantic_sign_exp_field_defaults_abc_g_aig,fp16_sigmoid,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_semantic_sign_exp_field_defaults.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_semantic_sign_exp_field_defaults_abc_g_aig.aig,1,1,1,7005,20,140100,108320,1.293390,1,0,8.066,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex230,ex230_sign_exp_default_expr_case_abc_g_aig,fp16_sigmoid,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_sign_exp_default_expr_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_sign_exp_default_expr_case_abc_g_aig.aig,1,1,1,8147,21,171087,108320,1.579459,0,0,10.212,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex230,ex230_sign_exp_mant_case_abc_g_aig,fp16_sigmoid,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_sign_exp_mant_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_sign_exp_mant_case_abc_g_aig.aig,1,1,1,7007,20,140140,108320,1.293759,1,0,7.392,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex231,ex231_exp_mant_pair_case_abc_g_aig,fp16_reciprocal,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_exp_mant_pair_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex231/aigs/ex231_exp_mant_pair_case_abc_g_aig.aig,1,1,1,1232,18,22176,14066,1.576568,0,0,8.259,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex231,ex231_positive_default_exp_mant_case_abc_g_aig,fp16_reciprocal,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_positive_default_exp_mant_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex231/aigs/ex231_positive_default_exp_mant_case_abc_g_aig.aig,1,1,1,1213,17,20621,14066,1.466017,1,0,6.665,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex231,ex231_semantic_arith_fields_abc_g_aig,fp16_reciprocal,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_semantic_arith_fields.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex231/aigs/ex231_semantic_arith_fields_abc_g_aig.aig,1,1,1,1212,17,20604,14066,1.464809,1,0,2.584,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex231,ex231_semantic_sign_exp_field_defaults_abc_g_aig,fp16_reciprocal,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_semantic_sign_exp_field_defaults.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex231/aigs/ex231_semantic_sign_exp_field_defaults_abc_g_aig.aig,1,1,1,1286,16,20576,14066,1.462818,1,0,13.869,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex231,ex231_sign_exp_default_expr_case_abc_g_aig,fp16_reciprocal,abc_g_aig,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_sign_exp_default_expr_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex231/aigs/ex231_sign_exp_default_expr_case_abc_g_aig.aig,1,1,1,1667,20,33340,14066,2.370255,0,0,13.350,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
