case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex218,ex218_special_shell_norm_lo15_abc_g_aig_r21,iverilog,not_run,,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,official evaluate.py used as final equivalence gate
ex218,ex218_special_shell_norm_hi7_lo8_abc_g_aig_r21,iverilog,not_run,,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,official evaluate.py used as final equivalence gate
ex205,ex205_blocked_round21_follow_checkpoint,not_run,not_run,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-follow-r21/ex205/diagnostics/ex205_round21_blocked_no_candidate_evidence.md,bf16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic-backed blocker; no simulation candidate emitted
ex204,ex204_blocked_round21_density_audit,not_run,not_run,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-r21/ex204/diagnostics/ex204_round21_blocked_no_candidate_evidence.md,bf16-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic-backed blocker; no simulation candidate emitted
ex223,ex223_blocked_highbit_run_lowcofactor_audit,not_run,not_run,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-follow-r21/ex223/diagnostics/ex223_round21_blocked_no_candidate_evidence.md,fp16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic-backed blocker; no simulation candidate emitted
ex225,ex225_blocked_sparse_residual_normalizer_audit,iverilog,not_run_blocked_no_candidate,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-log-r21/ex225/diagnostics/ex225_round21_blocked_no_candidate_evidence.md,fp16-log-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic blocker; no RTL candidate emitted
ex224,ex224_blocked_highbit_run_lowcofactor_audit,not_run,not_run,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-remain-r21/ex224/diagnostics/ex224_round21_blocked_no_candidate_evidence.md,fp16-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic-backed blocker; no simulation candidate emitted
ex249,ex249_r21_sqmid_round_pred,not_run,official_evaluate_used,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-final-r21/ex249/logs/ex249_r21_sqmid_round_pred.official_evaluate.log,fp8-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,iverilog skipped for file-first checkpoint; official evaluate.py is authoritative.
ex244,ex244_r21_class_split_residual,not_run,official_evaluate_used,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-remain-r21/ex244/logs/ex244_r21_class_split_residual.official_evaluate.log,fp8-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,iverilog skipped for hard checkpoint; official evaluate.py is authoritative.
ex247,ex247_blocked_output_grouped_residual_audit,not_run,BLOCKED_NO_CANDIDATE,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-tight-follow-r21/ex247/diagnostics/ex247_round21_blocked_no_candidate_evidence.md,fp8-tight-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,no simulation because no candidate emitted
