case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + raw,split delta table into shared inc1/inc2 predicates,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + raw,split delta table into shared inc1/inc2 predicates,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + raw,split delta table into shared inc1/inc2 predicates,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_split_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + synth_preset + raw,split delta table into shared inc1/inc2 predicates,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + default + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + extra_share + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + abc_g_aig + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + synth_preset + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_effgap_split_delta_default_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + default + raw,effective exponent gap plus split inc predicates,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_effgap_split_delta_extra_share_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + extra_share + raw,effective exponent gap plus split inc predicates,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r49,ex249_ex249_effgap_split_delta_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + abc_g_aig + raw,effective exponent gap plus split inc predicates,synth=abc_g_aig; post=raw; Yosys abc gate set aig
