case,output_aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,beats_reference,candidate_id,source_domain,source_run_id,source_run_path,source_csv,source_aig_path,source_kind,output_sha256,copied_at,notes
ex200,output/ex200.aig,3407,14,47698,40052,1.190902,0,ex200_r001_v3_ga_v3_ga_sequence_pex200_r000_seed_seed_pex_a3407_d14_adp47698_8a50ed79,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex200/artifacts/ex200_r001_v3_ga_v3_ga_sequence_pex200_r000_seed_seed_pex_a3407_d14_adp47698_8a50ed79.aig,run,8a50ed793de1fcb8912d57b0955e98696ecaf9f3395f09b7e078b752b45056aa,2026-06-15 12:11:46 +0800,
ex201,output/ex201.aig,1501,13,19513,16300,1.197117,0,ex201_r003_v3_ga_v3_ga_sequence_pex201_r001_v3_ga_v3_ga_s_a1501_d13_adp19513_d968d2f0,bf16,ex200_ex219_backend_v3_ga_20260613_0956,ex200_ex219_backend_v3_ga_20260613_0956,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/best.csv,student/work/ex200_ex219_backend_v3_ga_20260613_0956/ex201/artifacts/ex201_r003_v3_ga_v3_ga_sequence_pex201_r001_v3_ga_v3_ga_s_a1501_d13_adp19513_d968d2f0.aig,run,d968d2f0f0e30e03fc3661b2cdf36ee9de766389453d42e3d05ad86137752315,2026-06-15 12:11:46 +0800,
ex202,output/ex202.aig,3196,14,44744,43344,1.032300,0,ex202_r002_v3_ga_v3_ga_sequence_pex202_r000_seed_seed_pex_a3196_d14_adp44744_20d08215,bf16,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,student/runs/bf16/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/ex202/artifacts/ex202_r002_v3_ga_v3_ga_sequence_pex202_r000_seed_seed_pex_a3196_d14_adp44744_20d08215.aig,run,20d0821538c924a36a84ebe3c929f9dbb9116d50baf26035df415f41e85357ba,2026-06-15 12:11:46 +0800,
ex203,output/ex203.aig,4050,16,64800,56948,1.137880,0,ex203_r001_v3_ga_v3_ga_sequence_pex203_r000_v3_ga_v3_ga_s_a4050_d16_adp64800_34eba073,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex203/artifacts/ex203_r001_v3_ga_v3_ga_sequence_pex203_r000_v3_ga_v3_ga_s_a4050_d16_adp64800_34eba073.aig,run,34eba07369f60b0130a896f909e3847bf345c5032cc93dba6e0242981da99f08,2026-06-15 12:11:46 +0800,
ex204,output/ex204.aig,1399,14,19586,15180,1.290250,0,ex204_r000_seed_seed_pextra01_a1399_d14_adp19586_0638901a,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex204/seeds/ex204_r000_seed_seed_pextra01_a1399_d14_adp19586_0638901a.aig,run,0638901a0fc3e972f123a5fb617c23b42bd0bead05af4f6e2896f9b6d39ea096,2026-06-15 12:11:46 +0800,
ex205,output/ex205.aig,3916,16,62656,47128,1.329486,0,ex205_r003_v3_ga_v3_ga_sequence_pex205_r002_v3_ga_v3_ga_s_a3916_d16_adp62656_2252fdfd,bf16,targeted_backend_rescue_20260615_0424_high_gap_rescue_bf16,targeted_backend_rescue_20260615_0424_high_gap_rescue_bf16,student/runs/bf16/targeted_backend_rescue_20260615_0424_high_gap_rescue_bf16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_high_gap_rescue_bf16/ex205/artifacts/ex205_r003_v3_ga_v3_ga_sequence_pex205_r002_v3_ga_v3_ga_s_a3916_d16_adp62656_2252fdfd.aig,run,2252fdfdab68f531e0812caecf38498b040eca64e48dd7f04c75a872f62a93c9,2026-06-15 12:11:46 +0800,
ex206,output/ex206.aig,26129,17,444193,539049,0.824031,1,ex206_r001_v3_ga_v3_ga_sequence_pex206_r000_v3_ga_v3_ga_s_a26129_d17_adp444193_3cefed0f,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex206/artifacts/ex206_r001_v3_ga_v3_ga_sequence_pex206_r000_v3_ga_v3_ga_s_a26129_d17_adp444193_3cefed0f.aig,run,3cefed0f71b16114e6db3f4ebfb8aa43b6ed42dea8fbe2191f88f4bec982e0bd,2026-06-15 12:11:46 +0800,
ex207,output/ex207.aig,28820,18,518760,627817,0.826292,1,ex207_r001_v3_ga_v3_ga_sequence_pex207_r000_v3_ga_v3_ga_s_a28820_d18_adp518760_3ee3c68d,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex207/artifacts/ex207_r001_v3_ga_v3_ga_sequence_pex207_r000_v3_ga_v3_ga_s_a28820_d18_adp518760_3ee3c68d.aig,run,3ee3c68de44f23917204eeaecff83d6a3c2b3de89ab660f8ca4961d2eb1157fa,2026-06-15 12:11:46 +0800,
ex208,output/ex208.aig,1859,13,24167,24505,0.986207,1,ex208_r005_v3_ga_v3_ga_sequence_pex208_r004_v3_ga_v3_ga_s_a1859_d13_adp24167_1aafe5b9,bf16,ex200_ex219_backend_v3_ga_20260613_0956,ex200_ex219_backend_v3_ga_20260613_0956,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/best.csv,student/work/ex200_ex219_backend_v3_ga_20260613_0956/ex208/artifacts/ex208_r005_v3_ga_v3_ga_sequence_pex208_r004_v3_ga_v3_ga_s_a1859_d13_adp24167_1aafe5b9.aig,run,1aafe5b955208b11d3abcad1c98fc8f697eee8604778353bf07dbdf4a90d9e5f,2026-06-15 12:11:46 +0800,
ex209,output/ex209.aig,631,11,6941,7320,0.948224,1,ex209_r000_seed_seed_pextra01_a631_d11_adp6941_14453481,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex209/seeds/ex209_r000_seed_seed_pextra01_a631_d11_adp6941_14453481.aig,run,14453481c5e50d4771f28a7e9de6d00ba8b2164edae123648962a9daa7c8bae5,2026-06-15 12:11:46 +0800,
